,Text in Genlis_Adele,Text in B,Location in Genlis_Adele,Location in B
Diderot_Religieuse_2,"s; mais elle assure qu'elle a LES SENTIMENT LES PLUS NOBLES, ET ON LA croit. On dit toujours que le",en avoir agi à son égard avec LES SENTIMENTS LES PLUS NOBLES ET LA conduite la plus généreuse. J,"(1306014, 1306053)","(174240, 174276)"
Doppet_Memoires_0,"stion, vous devez comprendre, PAR CE QUE JE VIENS DE DIRE, QUE le spectacle de la mort est i","é vous coûta la vie? 
On voit PAR CE QUE JE VIENS DE DIRE QUE la plus agréable promenade d'","(582712, 582744)","(55826, 55857)"
Dorat_Malheurs_0,"erai pas. Il m'est si doux de VOUS RENDRE COMPTE DE TOUT CE QUI m'occupe, et d'être instruite",our se développer. Je ne puis VOUS RENDRE COMPTE DE TOUT CE QUI se passe en moi. Si je lutte ,"(22267, 22300)","(65339, 65372)"
Dorat_Malheurs_1,"s d'inquiétudes sur son sort. TOUT CE QUE JE VOUS AI DIT dans ma dernière lettre, sur ",ha jamais de l'âme de Sidley. TOUT CE QUE JE VOUS AI DIT m'a été confirmé par les pers,"(336888, 336914)","(65339, 65372)"
Dorat_Malheurs_2," adoucir mes peines. Adieu; j'AI UN MAL DE TÊTE AFFREUX, JE voudrais presque avoir une vr","moi ce soir? Mon dieu! Oui; j'AI UN MAL DE TÊTE AFFREUX, JE ne sortirai pas. D'ailleurs j","(345373, 345402)","(65339, 65372)"
Dorat_Malheurs_3,"Vous ne pouvez concevoir tout CE QUI SE PASSE DANS MON CŒUR, non; quoique vous le connais",sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"(1357387, 1357416)","(65339, 65372)"
Dorat_Sacrifices_0,"connais plus pour votre père, JE NE VOIS PLUS EN LUI QU'UN tyran détestable... et du moi","e un champ libre à ma fureur; JE NE VOIS PLUS EN LUI QU'UN indigne rival, et non le mort","(156695, 156723)","(290871, 290899)"
Dorat_Sacrifices_1,"de Madame De Valmont; puisque JE NE VOUS AI POINT PARLÉ DE lui avec détail, vous deviez ","mante, sans douter de l'amie. JE NE VOUS AI POINT PARLÉ DE Madame D'Ercy, et vous vous e","(246188, 246216)","(290871, 290899)"
Dorat_Sacrifices_2,omme il me récompense de tout CE QUE J'AI FAIT POUR LUI! ... IL m'a promis de ne jamais laiss,vent être que faux... il sait CE QUE J'AI FAIT POUR LUI; IL voit à quels maux je me suis ,"(1208861, 1208894)","(290871, 290899)"
Dorat_Sacrifices_3,"ment. 
Adieu, ma chère fille; JE N'AI POINT DE NOUVELLES À VOUS MANDER, sinon que Madame De Germeuil","uand ils me viennent de vous. JE N'AI POINT DE NOUVELLES À VOUS MANDER, si ce n'est le mariage du Ch","(1271457, 1271497)","(290871, 290899)"
Ducray_Cinquante_0,"point oublié, mon cher baron, LA PROMESSE QUE JE VOUS AI FAITE de vous envoyer une descripti","serais parti aujourd'hui sans LA PROMESSE QUE JE VOUS AI FAITE, je ne sais pourquoi, de rest","(498382, 498414)","(179189, 179221)"
Dulaurens_Imirce_0,"ersoient sur leurs chaises en LEVANT LES YEUX ET LES MAINS AU CIEL, et la plus jeune de toutes f","isa, étant sur ma bergère, d'éLEVER LES YEUX ET LES MAINS AU CIEL, en s'écriant avec enthousias","(253971, 254007)","(230936, 230971)"
Dulaurens_Imirce_1,tuation de Madame De Limours; JE NE SUIS PAS SURPRISE QUE VOUS ayant écrit le jour du mariag,"aux médecins et aux moines.---JE NE SUIS PAS SURPRIS QUE VOUS soyez mort.---Ah, ma foi il é","(345726, 345758)","(230936, 230971)"
Fievee_Dot_0,e serra la main et m'embrassa AVEC L'EXPRESSION DE LA PLUS VIVE RÉCONNAISSANCE: aussi-tôt que j'eus laissé a,"Suzette; elle serra la mienne AVEC L'EXPRESSION DE LA PLUS VIVE RÉCONNAISSANCE. ""Que je m'en veux aujourd'hu","(288403, 288451)","(124574, 124622)"
Florian_Estelle_0,"t, Cécile, baignée de pleurs, SE JETA DANS LES BRAS DE SA sœur, et la pressant contre s","obéit, vient saluer son père, SE JETTE DANS LES BRAS DE SA mère qu'elle presse fortement","(151146, 151173)","(46402, 46430)"
Florian_Estelle_1,"i répondis avec franchise, et JE NE LUI CACHAI PAS QUE JE découvrais chaque jour, dans "," l'instruire de ma naissance, JE NE LUI CACHAI PAS QUE JE n'avais plus d'asile, plus d'","(817767, 817794)","(46402, 46430)"
Florian_Galatee_0,", lui baisa la main, et resta LA TÊTE APPUYÉE SUR LES GENOUX DE sa tante, n'osant plus montre","é aux pieds de Galatée, avait LA TÊTE APPUYÉE SUR LES GENOUX DE la bergère, les yeux fixés su","(363989, 364022)","(91190, 91223)"
Fourqueux_Zely_0,"s d'inquiétudes sur son sort. TOUT CE QUE JE VOUS AI DIT dans ma dernière lettre, sur "," étions convenus “ensemble de TOUT CE QUE JE VOUS AI “DIT, et nous ne voulions que vous","(336888, 336914)","(42162, 42189)"
Fourqueux_Zely_1,"re parole de ne lui rien dire DE TOUT CE QUE VOUS AVEZ VU; je vous la donne, répondis-j","evez être surpris, Philogène, DE TOUT CE QUE VOUS AVEZ VU “jusqu'à ce jour; mais, si vo","(439107, 439134)","(42162, 42189)"
Genlis_Chevaliers_0,"t, Cécile, baignée de pleurs, SE JETA DANS LES BRAS DE SA sœur, et la pressant contre s","t fini, le jeune homme courut SE JETER DANS LES BRAS DE SA mère, qu'on avait déposée et ","(151146, 151173)","(259802, 259830)"
Genlis_Chevaliers_1,"ndre le bénir et le remercier AVEC LES EXPRESSIONS DE LA PLUS VIVE ET DE LA PLUS TENDRE RÉCONNAISSANCE. Au son de sa voix, nous vîme","s remerciement à Isambard, et AVEC LES EXPRESSIONS DE LA PLUS VIVE ET DE LA PLUS TENDRE RÉCONNAISSANCE. Comme Isambard ne répondit r","(554472, 554544)","(259802, 259830)"
Genlis_Chevaliers_2,"de vide et d'ennui. S André s'APPROCHA DE MOI, ET ME DIT TOUT BAS: vous faisiez-vous une idée d","se retirer. Éginard, outré, s'APPROCHA DE MOI, ET ME DIT TOUT BAS: il faut céder à l'autorité, ","(558151, 558186)","(259802, 259830)"
