,Text in Kimber_Thompson,Text in B,Location in Kimber_Thompson,Location in B
Segur_Correspondance_1,"x réflexions les plus amères. JE FIS TOUT MON POSSIBLE POUR LE tranquilliser, il reprit son ",. J'allai hier à la Bastille; JE FIS TOUT MON POSSIBLE POUR LE voir. Jamais mon ami Joncas n,"(620616, 620648)","(238615, 238644)"
Senac_Emigre_0,aître m'en a rendu témoïgnage LA DERNIÈRE FOIS QUE JE L'AI VU; puis s'adressant à mes deux ,jours ; il m'a paru bien tristE LA DERNIÈRE FOIS QUE JE L'AI vu. La cruelle destinée de la ,"(38165, 38196)","(463340, 463371)"
Senac_Emigre_1, pour „le reste de mes jours. JE N'AI QUE LE TEMPS „DE VOUS ÉCRIRE cette lettre sans être remarq,er quelque temps auprès de lui. JE N'AI QUE LE TEMPS DE VOUS ÉCRIre ces mots par un homme qui p,"(117528, 117564)","(463340, 463371)"
Senac_Emigre_2,"l'instant de tous mes papiers DE TOUT CE QUE J'AVAIS DE PLUS précieux. 
Je le fis manger à"," : me voilà donc privé à jamaiS DE TOUT CE QUE J'AVAIS DE PLus cher ; aimez-moi, s'il est ","(711930, 711960)","(463340, 463371)"
Souza_Adele_0,"e. Ces lettres m'allarmerent, JE CRAIGNAIS QUE CE NE FÛT UN ORDRE de retourner à Londres; etamp",ux. Revenait-il à la douceur? JE CRAIGNAIS QUE CE NE FÛT UN MOYEN de me dominer. Sa sévérité me,"(281462, 281497)","(63177, 63212)"
Souza_Adele_1,"les mains de ma chère Louise. IL N'Y AVAIT PAS DEUX HEURES QUE J'ÉTAIS parti, lorsqu'un homme avec l","eptembre, 6 heures du matin. 
IL N'Y AVAIT PAS DEUX HEURES QUE J'ÉTAIS couché, lorsque j'ai entendu ","(349239, 349279)","(63177, 63212)"
Tiphaigne_Amilec_0,ntre lui etamp; son neveu. Il LUI REMET UNE LETTRE DE LA PART DE Fidele: ce qu'elle contient. ,"dité: en un in tant le Génie COUTIER FUT AUX PIEDS D'AMILEC, ET lui remit une Lettre de la par","(417721, 417755)","(73749, 73783)"
Voltaire_Candide_0,"nt de preuves. Une des choses QUI ME FIT LE PLUS DE PLAISIR, CE FUT de recevoir une lettre de mon"," le surprit davantage, et qui LUI FIT LE PLUS DE PLAISIR, CE FUT le palais des sciences, dans ","(688392, 688429)","(94084, 94118)"
Voltaire_Princesse_0,"lère contre vous, mon enfant: TOUT CE QUE JE VOUS DEMANDE, C'EST de me confier votre embarras,","ans qu'il soit de la partie : TOUT CE QUE JE VOUS DEMANDE, C'EST que votre grand aumônier boiv","(173286, 173320)","(50844, 50878)"
Voltaire_Princesse_1,"lois exécuter mon dessein, j'éTAIS DÉJÀ SUR LE CHEMIN DE LA maison de Sir Walter, armé de"," D'AMAZAN. 
Cependant Amazan éTAIT DÉJÀ SUR LE CHEMIN DE LA capitale d'Albion, dans son c","(303774, 303803)","(50844, 50878)"
