,Text in Rousseau_Julie,Text in B,Location in Rousseau_Julie,Location in B
Loaisel_Ainsi_3," vous m’étiez cher, mon cœur éTAIT ÉMU, MAIS MA CONSCIENCE, ET MES SENS ÉTAIENT TRANQUILLES; et je connus des ce moment q","elle m'était chère encore, j'éTAIS ÉMU, MAIS MA CONSCIENCE ET MES SENS ÉTAIENT TRANQUILLES. L'amour était toujours dans ","(694679, 694740)","(32574, 32631)"
Louvet_Annee_0," s’attendrisse, en te voyant, POUR LA PREMIÈRE FOIS DE SA VIE; que toute une famille t’idol","ur! Un jeune parisien, engagé POUR LA PREMIÈRE FOIS DE SA VIE dans une promenade sur mer, n","(364590, 364621)","(567848, 567879)"
Louvet_Fin_0,ouvé l’artiste et l’occasion? VOILÀ CE QUE JE NE CONÇOIS PAS ENCORE: c’est un miracle de l’amour;,"s de ce siècle de corruption, VOILÀ CE QUE JE NE CONÇOIS PAS.—ENCORE, répondit le comte, faudrait-","(531215, 531252)","(102034, 102072)"
Marmontel_Contes_0," seul, dont l’accomplissement NE DÉPEND NI DE VOUS, NI DE MOI, ni de personne au monde, mai","euse.-cela peut être; mais il NE DÉPEND NI DE VOUS, NI DE MOI, de la rendre meilleure: croy","(1262988, 1263019)","(249644, 249675)"
Marmontel_Contes_1,n de ton crédit renaissant: c’EST TOUT CE QUE JE PUIS FAIRE POUR que la fête ne se fasse pas s,"e lieutenance d'infanterie, c'EST TOUT CE QUE JE PUIS FAIRE POUR vous. Jacquaut lui répondit a","(1311519, 1311553)","(249644, 249675)"
Marmontel_Incas_0,"ue ses derniers jours étaient LES PLUS DOUX MOMENT DE SA VIE, ET que le bonheur de sa fille ét","s. Il se rappelle avec effroi LES PLUS DOUX MOMENTS DE SA VIE, ET déteste l'amour qui l'a rendu","(625007, 625041)","(312730, 312765)"
Marmontel_Incas_1,"ée à la réponse de ma bouche: LE CIEL, ET LA TERRE SONT TÉMOINS de l’engagement sacré que je ","le en consacre les nœuds.-ah! LE CIEL ET LA TERRE ME SONT TÉMOINS, s'écrie Alonzo, que je suis ","(692257, 692290)","(312730, 312765)"
Mercier_Jezennemours_0," sentir que je lui convenois, ET POUR LA PREMIÈRE FOIS DE SA VIE il prit un attachement. Ce go","cœur de l'homme; elle aimait, ET POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher","(728344, 728378)","(75548, 75582)"
Mirabeau_Rideau_0,se est enfin le pire de tous. IL NE M’EN FALLUT PAS DAVANTAGE POUR CONCEVOIR son systeme; et je jugeai qu’," formé des desseins sur elle; IL NE M'EN FALLUT PAS DAVANTAGE POUR M'EMPRESSER, sans autre réflexion, à entr","(1112220, 1112266)","(99388, 99436)"
Nerciat_Aphrodites_0,"ut le monde, à toi peut-être, QUE JE N’AI PAS LE SENS COMMUN, qui pis est pas le moindre e",", et je commence à comprendre QUE JE N'AI PAS LE SENS COMMUN: pouvant me comparer à la Dam","(157158, 157188)","(174104, 174134)"
Nerciat_Aphrodites_1,"rieusement un point d’où doit DÉPENDRE LE BONHEUR OU LE MALHEUR DE mes jours. 
Autant que je pui","ffaire du plus grand intérêt, D'OÙ PEUT DÉPENDRE LE BONHEUR OU LE malheur de ma vie. 
Mad. Durut","(162836, 162872)","(174104, 174134)"
Nerciat_Aphrodites_2,"ntir que je lui convenois, et POUR LA PREMIÈRE FOIS DE SA VIE IL prit un attachement. Ce goût ",s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS DE sa vie il vient à s'imaginer ,"(728347, 728381)","(174104, 174134)"
Nerciat_Etourdi_0,"gis comme une lionne irritée; JE SUIS CAPABLE DE TOUT, HORS DE RENONCER À TOI, et il n’y a rien, non, rien ","tir le pistolet sur la gorge. JE SUIS CAPABLE DE TOUT, HORS DE RENONCER À TOI. "" Cette lettre, qui me fut r","(126708, 126755)","(33053, 33100)"
Nerciat_Etourdi_1," de faire penser à autrui; et LE ZÈLE APPARENT DE LA VÉRITÉ N’EST JAMAIS EN EUX QUE LE MASQUE DE L’INTÉRÊT. 
Vous croiriez que le gens i",". Il en est ainsi des hommes. LE ZÈLE APPARENT DE LA VÉRITÉ N'EST JAMAIS EN EUX QUE LE MASQUE DE L'INTÉRÊT, ou si tu veux ils ressemblen","(429292, 429368)","(33053, 33100)"
Nerciat_Etourdi_2,"eur caractère; elle les peint FRIVOLES, RUSÉES, ARTIFICIEUSES, ÉTOURDIES, VOLAGES, PARLANT BIEN, MAIS NE PENSANT POINT, SENTANT ENCORE MOINS ET DÉPENSANT AINSI TOUT LEUR MÉRITE EN VAIN BABIL. Tout cela me paraît à moi le","femmes, elles sont en général FRIVOLES, RUSÉES, ARTIFICIEUSES, ÉTOURDIES, VOLAGES, PARLANT BIEN, MAIS NE PENSANT POINT, SENTANT ENCORE MOINS, ET DÉPENSANT TOUT LEUR MÉRITE EN VAIN BABIL, ne connaissant ni le vrai am","(528216, 528376)","(33053, 33100)"
Nerciat_Etourdi_3," sentir que je lui convenois, ET POUR LA PREMIÈRE FOIS DE SA VIE il prit un attachement. Ce go","eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(728344, 728378)","(33053, 33100)"
Nerciat_Felicia_0," départ, il me fit confidence DE CE QUI VENAIT DE SE PASSER, et comme je prévis où il en ","s retournée, riant aux larmes DE CE QUI VENAIT DE SE PASSER. Son air humilié redoubla mes","(297057, 297086)","(316999, 317028)"
Nerciat_Felicia_1,"uniquement des organes, deux êTRES FORMÉS D’UN MÊME SANG NE DOIVENT-ils pas avoir entre eux une p","s, en accordant même que les êTRES FORMÉS D'UN MÊME SANG NE DOIVENT point serrer entre eux les no","(707067, 707104)","(316999, 317028)"
Prevost_Manon_0,"ration précédente, et j’avoue QUE CE N’EST PAS SANS RAISON QUE vous êtes surpris de ce contr",ver fort risible. Vous verrez QUE CE N'EST PAS SANS RAISON QUE je me suis étendu sur cette r,"(39069, 39101)","(114948, 114980)"
Prevost_Manon_1,"ute et mon amant, si je cède? OÙ TROUVERAI-JE ASSEZ DE FORCE POUR résister, dans l’abattement o",âme de toutes les créatures ! OÙ TROUVERAI-JE ASSEZ DE FORCE POUR ne pas mourir de douleur et d,"(385021, 385056)","(114948, 114980)"
Puttelange_Roi_0,"nnais à présent mon intérieur AUSSI BIEN ET PEUT-ÊTRE MIEUX QUE moi-même: mon honneur, mon bo"," qualités font les grands sois, AUSSI BIEN ET PEUT ÊTRE MIEUX ; Que les vastes projets d'une am","(1337754, 1337787)","(79791, 79826)"
Retif_Paysanne_0,e suis instruite avec soin de CE QUI S’EST PASSÉ ENTRE VOUS ET Milord Edouard. C’est sur l’e,re deux femmes ! Je sais tout CE QUI S'EST PASSÉ ENTRE VOUS ET mon mari : mais je ne sais po,"(254041, 254073)","(590848, 590880)"
Retif_Paysanne_1,"rend stupide, et impitoyable. TU N’ES PAS UN HOMME, TU N’ES rien, et si je ne regardais à","porteurs d'eau...--Malheureux ! TU N'ES PAS UN HOMME, TU es le diable envoyé sur la ter","(765616, 765645)","(590848, 590880)"
Retif_Paysanne_2,"amitié, plus il m’en inspire; JE NE SAURAIS VOUS DIRE COMBIEN JE craignais d’en être caressé. ","me bien sa maîtresse. Pour moi, JE NE SAURAIS VOUS DIRE COMBIEN je remercie Dieu de me l'avoir","(855423, 855457)","(590848, 590880)"
Reveroni_Pauliska_0," de celui qui me tourmentait. JE PRIS SUR-LE-CHAMP MON PARTI; et de peur d’en changer, je ","minuit, sous le vestibule. 
» JE PRIS SUR-LE CHAMP MON PARTI. Je coupai adroitement une pa","(1470475, 1470505)","(186698, 186728)"
Riccoboni_Histoire_0,"enir sage. Malgré la sécurité DE MON CŒUR, JE NE VEUX PLUS être juge en ma propre cause,","irs, quoique je me croie sûre DE MON CŒUR, JE NE VEUX PLUS vous regarder, de crainte qu'","(740177, 740205)","(90668, 90696)"
Riccoboni_LettreJuliette_0,"amitié, plus il m’en inspire; JE NE SAURAIS VOUS DIRE COMBIEN JE craignais d’en être caressé. ","iste, et j'étais embarrassée. JE NE SAURAIS VOUS DIRE COMBIEN JE crains une explication; je l'","(855423, 855457)","(82034, 82068)"
Riccoboni_LettresFanni_0,"x. 
Vous recevrez votre boete DANS LE MÊME ÉTAT OÙ VOUS L’AVEZ envoyée. C’est trop d’ajouter",tentions de personne. Je suis DANS LE MÊME ÉTAT OÙ VOUS M'AVEZ vue. Tout l'art de la médecin,"(74012, 74044)","(142676, 142708)"
Riccoboni_MissJenny_0,"n tel gendre. Je vous défends DE LE VOIR ET DE LUI PARLER de votre vie, et cela autant ",aissait souhaiter avec ardeur DE LE VOIR ET DE LUI PARLER. Milord s'attendrit beaucoup ,"(308758, 308785)","(450524, 450551)"
Riccoboni_MissJenny_1, inattendu! ô comme il ranime AU FOND DE MON CŒUR TOUS LES MOUVEMENT impétueux que ta présence y f,"es méditations, je retrouvois AU FOND DE MON CŒUR TOUS LES MOUVEMENT que je venais d'y condamner. ","(532938, 532976)","(450524, 450551)"
Riccoboni_MylordRivers_0,: “Courez à la fortune”; mais PEUT-ÊTRE AVEZ-VOUS RAISON DE LA dédaigner avec tant de trésor,"i la sensibilise est un bien? PEUT-ÊTRE AVEZ-VOUS RAISON DE LA redouter, de fuir la solitude","(741177, 741209)","(200013, 200045)"
Rosny_Firmin_0,"e je distinguai parfaitement, JE NE FUS PLUS MAÎTRE DE MOI; je pris mon épée sous mon br","e leur coupable intelligence. JE NE FUS PLUS MAÎTRE DE MOI-même, et tirant mon épée, je ","(396595, 396623)","(34278, 34306)"
Rousseau_Emile_0," qu’il n’est qu’un enfant. 
A CONSIDÉRER L’ENFANCE EN ELLE-MÊME, Y A-T-IL AU MONDE UN ÊTRE PLUS FAIBLE, PLUS MISÉRABLE, PLUS À LA MERCI DE TOUT CE QUI L’ENVIRONNE, QUI AIT SI GRAND BESOIN DE PITIÉ, d’amour, de protection, qu’u","; bave pour toute réponse. 
A CONSIDÉRER L'ENFANCE EN ELLE-MÊME, Y A-T-IL AU MONDE UN ÊTRE PLUS FAIBLE, PLUS MISÉRABLE, PLUS À LA MERCI DE TOUT CE QUI L'ENVIRONNE, QUI AIT SI GRAND BESOIN DE PITIÉ, de soins, de protection, qu'","(1167487, 1167653)","(155728, 155894)"
Rousseau_Emile_1,"e et un air si touchant, afin QUE TOUT CE QUI L’APPROCHE S’INTÉRESSE À SA FAIBLESSE ET S’EMPRESSE À LE SECOURIR? QU’Y A-T-IL DONC DE PLUS CHOQUANT, DE PLUS CONTRAIRE À L’ORDRE, QUE DE VOIR UN ENFANT IMPÉRIEUX ET MUTIN, COMMANDER À TOUT CE QUI l’entoure, prendre impudemmen","p; un air si touchant qu'afin QUE TOUT CE QUI L'APPROCHE S'INTÉRESSE À SA FAIBLESSE ETAMP; S'EMPRESSE À LE SECOURIR? QU'Y A-T-IL DONC DE PLUS CHOQUANT, DE PLUS CONTRAIRE À L'ORDRE, QUE DE VOIR UN ENFANTS IMPÉRIEUX ETAMP; MUTIN COMMANDER À TOUT CE QUI l'entoure etamp; prendre impu","(1167891, 1168103)","(155728, 155894)"
Rousseau_Emile_2,"e voir un enfant impérieux et MUTIN, COMMANDER À TOUT CE QUI L’ENTOURE, PRENDRE IMPUDEMMENT UN TON DE MAÎTRE AVEC CEUX QUI N’ONT QU’À L’ABANDONNER POUR LE FAIRE périr et d’aveugles parents a","r un enfants impérieux etamp; MUTIN COMMANDER À TOUT CE QUI L'ENTOURE ETAMP; PRENDRE IMPUDEMMENT LE TON DE MAÎTRE AVEC CEUX QUI N'ONT QU'À L'ABANDONNER POUR LE FAIRE périr? 
D'autre part, qui ne ","(1168073, 1168203)","(155728, 155894)"
Rousseau_Emile_3," qu’il demanderait, persuadée QUE LES PREMIERS MOUVEMENT DE LA NATURE SONT TOUJOURS bons et salutaires. Mais je n",ons pour maxime incontestable QUE LES PREMIERS MOUVEMENTS DE LA NATURE SONT TOUJOURS droits: il n'y a point de per,"(1172933, 1172986)","(155728, 155894)"
Rousseau_Emile_4,"nature a donné au cerveau des ENFANTS CETTE SOUPLESSE QUI LE REND PROPRE À RECEVOIR TOUTES SORTES D’IMPRESSIONS, CE N’EST PAS POUR QU’ON Y GRAVE DES NOMS DE ROIS, DES DATES, DES TERMES DE BLASON, DE SPHÈRE, DE GÉOGRAPHIE ET TOUS CES MOTS SANS AUCUN SENS pour leur âge et sans aucune "," nature donne au cerveau d'un ENFANTS CETTE SOUPLESSE QUI LE REND PROPRE À RECEVOIR TOUTES SORTES D'IMPRESSIONS, CE N'EST PAS POUR QU'ON Y GRAVE DES NOMS DE ROIS, DES DATES, DES TERMES DE BLASON, DE SPHÈRE, DE GÉOGRAPHIE, ETAMP; TOUS CES MOTS SANS AUCUN SENS pour son âge etamp; sans aucu","(1193131, 1193354)","(155728, 155894)"
Rousseau_Emile_5,", de sphère, de géographie et TOUS CES MOTS SANS AUCUN SENS POUR LEUR ÂGE ET SANS AUCUNE UTILITÉ POUR QUELQUE ÂGE QUE CE SOIT, DONT ON ACCABLE LEUR triste et stérile enfance; ma","sphère, de géographie, etamp; TOUS CES MOTS SANS AUCUN SENS POUR SON ÂGE ETAMP; SANS AUCUNE UTILITÉ POUR QUELQUE ÂGE QUE CE SOIT; DONT ON ACCABLE SA triste etamp; stérile enfance","(1193325, 1193442)","(155728, 155894)"
Rousseau_Emile_6,"ont on accable leur triste et STÉRILE ENFANCE; MAIS C’EST POUR QUE TOUTES LES IDÉES RELATIVES À L’ÉTAT DE L’HOMME, TOUTES CELLES QUI SE RAPPORTENT À SON BONHEUR et l’éclairent sur ses devoir","t on accable sa triste etamp; STÉRILE ENFANCE; MAIS C'EST POUR QUE TOUTES LES IDÉES QU'IL PEUT CONCEVOIR ETAMP; QUI LUI SONT UTILES, TOUTES CELLES QUI SE RAPPORTENT À SON BONHEUR etamp; doivent l'éclairer un ","(1193453, 1193583)","(155728, 155894)"
Rousseau_Emile_7," à son bonheur et l’éclairent SUR SES DEVOIRS, S’Y TRACENT DE BONNE HEURE EN CARACTÈRES INEFFAÇABLES ET LUI SERVENT À SE CONDUIRE, PENDANT SA VIE, D’UNE MANIÈRE CONVENABLE À SON ÊTRE ET À SES FACULTÉS. 
SANS ÉTUDIER DANS LES livres, la mémoire d’un enfan","p; doivent l'éclairer un jour SUR SES DEVOIRS, S'Y TRACENT DE BONNE HEURE EN CARACTÈRES INEFFAÇABLES, ETAMP; LUI SERVENT À SE CONDUIRE PENDANT SA VIE D'UNE MANIÈRE CONVENABLE À SON ÊTRE ETAMP; À SES FACULTÉS. 
SANS ÉTUDIER DANS LES livres, l'espèce de mémoire q","(1193599, 1193793)","(155728, 155894)"
Rousseau_Emile_8,"re convenable à son être et à SES FACULTÉS. 
SANS ÉTUDIER DANS LES LIVRES, LA MÉMOIRE D’UN ENFANT NE RESTE PAS POUR CELA OISIVE: TOUT CE qu’il voit, tout ce qu’il ent","onvenable à son être etamp; à SES FACULTÉS. 
SANS ÉTUDIER DANS LES LIVRES, L'ESPÈCE DE MÉMOIRE QUE PEUT AVOIR UN ENFANTS NE RESTE PAS POUR CELA OISIVE; TOUT CE qu'il voit, tout ce qu'il ent","(1193757, 1193863)","(155728, 155894)"
Rousseau_Emile_9," ce qu’il entend le frappe et IL S’EN SOUVIENT; IL TIENT REGISTRE EN LUI-MÊME DES ACTIONS, DES DISCOURS DES HOMMES; ET TOUT CE QUI L’ENVIRONNE EST LE LIVRE DANS LEQUEL, SANS Y SONGER, IL ENRICHIT CONTINUELLEMENT SA MÉMOIRE, EN ATTENDANT QUE SON JUGEMENT PUISSE EN PROFITER. C’EST DANS LE CHOIX DE CES OBJETS, C’EST DANS LE SOIN DE LUI PRÉSENTER SANS CESSE CEUX qu’il doit connaître et de lu","u'il entend le frappe, etamp; IL S'EN SOUVIENT; IL TIENT REGISTRE EN LUI-MÊME DES ACTIONS, DES DISCOURS DES HOMMES; ET TOUT CE QUI L'ENVIRONNE EST LE LIVRE DANS LEQUEL, SANS Y SONGER, IL ENRICHIT CONTINUELLEMENT SA MÉMOIRE EN ATTENDANT QUE SON JUGEMENT. PUISSE EN PROFITER. C'EST DANS LE CHOIX DE CES OBJETS, C'EST DANS LE SOIN, DE LUI PRÉSENTER SANS CESSE CEUX qu'il peut connaître etamp; d","(1193910, 1194240)","(155728, 155894)"
Rousseau_Emile_10,"e et de lui cacher ceux qu’il DOIT IGNORER, QUE CONSISTE LE VÉRITABLE ART DE CULTIVER la première de ses facultés; ","amp; de lui cacher ceux qu'il DOIT IGNORER, QUE CONSISTE LE VÉRITABLE ART DE CULTIVER en lui cette première faculté","(1194290, 1194345)","(155728, 155894)"
Rousseau_Emile_11,"cultés; et c’est par là qu’il FAUT TÂCHER DE LUI FORMER UN MAGASIN DE CONNAISSANCES QUI SERVE À SON ÉDUCATION DURANT LA JEUNESSE ET À SA CONDUITE DANS TOUS LES TEMPS. CETTE MÉTHODE, IL EST VRAI, NE FORME POINT DE PETITS PRODIGES ET NE FAIT PAS BRILLER LES GOUVERNANTES ET LES PRÉCEPTEURS; MAIS ELLE FORME DES HOMMES JUDICIEUX, ROBUSTES, SAINS DE CORPS ET D’ENTENDEMENT, QUI, SANS S’ÊTRE FAIT ADMIRER ÉTANT JEUNES, SE FONT HONORER ÉTANT grands. 
Ne pensez pas pourta","té; etamp; c'est par là qu'il FAUT TÂCHER DE LUI FORMER UN MAGASIN DE CONNAISSANCES QUI SERVENT À SON ÉDUCATION DURANT SA JEUNESSE, ETAMP; À SA CONDUITE DANS TOUS LES TEMPS. CETTE MÉTHODE, IL EST VRAI, NE FORME POINT DE PETITS PRODIGES ETAMP; NE FAIT PAS BRILLER LES GOUVERNANTES ET LES PRÉCEPTEURS; MAIS ELLE FORME DES HOMMES JUDICIEUX, ROBUSTES, SAINS DE CORPS ET D'ENTENDEMENT, QUI, SANS S'ÊTRE FAIT ADMIRER ÉTANT JEUNES, SE FONT HONORER ÉTANT grands. 
Émile n'apprendra ja","(1194397, 1194802)","(155728, 155894)"
Rousseau_Emile_12,"e point de petits prodiges et NE FAIT PAS BRILLER LES GOUVERNANTES ET LES PRÉCEPTEURS; MAIS ELLE FORME DES HOMMES JUDICIEUX, ROBUSTES, SAINS DE CORPS ET D’ENTENDEMENT, QUI, SANS S’ÊTRE FAIT ADMIRER ÉTANT JEUNES, SE FONT HONORER ÉTANT GRANDS. 
Ne pensez pas pourtant, con","int de petits prodiges etamp; NE FAIT PAS BRILLER LES GOUVERNANTES ET LES PRÉCEPTEURS; MAIS ELLE FORME DES HOMMES JUDICIEUX, ROBUSTES, SAINS DE CORPS ET D'ENTENDEMENT, QUI, SANS S'ÊTRE FAIT ADMIRER ÉTANT JEUNES, SE FONT HONORER ÉTANT GRANDS. 
Émile n'apprendra jamais ri","(1194599, 1194809)","(155728, 155894)"
Rousseau_Emile_13,"t parce que vous me le dites, MAIS PARCE QUE JE LE SENS. JE n’ai plus besoin que vous me ",anés; je vous dirai que je le SAIS PARCE QUE JE LE SENS. JE veux mouvoir mon bras etamp; ,"(1259776, 1259805)","(155728, 155894)"
Rousseau_Emile_14,"e j’aurois été moi-même. Tout CE QUE JE SAIS BIEN, C’EST QUE, si sa mauvaise étoile me l’e","ur des idées que je n'ai pas. CE QUE JE SAIS BIEN, C'EST QUE l'identité du moi ne se prolo","(1320900, 1320930)","(155728, 155894)"
Rousseau_Emile_15,est pas la peine d’anticiper. LE TEMPS NE VIENDRA QUE TROP TÔT D’ÊTRE prude et réservée; tandis que,nnocents plaisirs de son âge; LE TEMPS NE VIENDRA QUE TROP TÔT D'ÊTRE posée etamp; de prendre un ma,"(1330236, 1330275)","(155728, 155894)"
Rousseau_Emile_16,"nder et d’obtenir la force qu’IL NE DÉPEND PAS DE NOUS D’AVOIR par nous-mêmes. 
Apprenez don",isser vaincre aux tentations. IL NE DÉPEND PAS DE NOUS D'AVOIR ou de n'avoir pas des passion,"(1394225, 1394257)","(155728, 155894)"
Rousseau_Emile_17,"oses humaines, qu’hors l’Etre EXISTANT PAR LUI-MÊME IL N’Y A RIEN DE BEAU QUE CE QUI N’EST PAS. 
SI CET effet n’a pas toujours lieu s","possession. Hors le seul être EXISTANT PAR LUI-MÊME, IL N'Y A RIEN DE BEAU QUE CE QUI N'EST PAS. SI CET état eût pu durer toujours, v","(1440125, 1440198)","(155728, 155894)"
Rousseau_Emile_18,"s aimable qu’en santé même et LE DERNIER JOUR DE SA VIE EN fut aussi le plus charmant. 
","mblait les renouveler, etamp; LE DERNIER JOUR DE SA VIE, M'EN montra que je n'avais pas con","(1521136, 1521164)","(155728, 155894)"
Sade_Aline_0,es sentiment droits sont tous AU FOND DE MON CŒUR. JE NE suis point un vil séducteur c, quelle voix se fait entendre AU FOND DE MON CŒUR…. JE NE sais quel organe secret sembl,"(23475, 23501)","(12246, 12273)"
Sade_Aline_1,"nt, sur ce que tu me marques, JE N’AUROI PAS UN MOMENT DE REPOS QUE JE NE SOIS auprès de toi; car, si tu cra",e atteint ce maudit bâtiment; JE N’AURAI PAS UN MOMENT DE REPOS QUE JE NE SOIS instruit des raisons qui lui ,"(29806, 29854)","(12246, 12273)"
Sade_Aline_2," s’élança sur ta pauvre amie: POUR LA PREMIÈRE FOIS DE MA VIE, JE reçus un soufflet qui ne fut ","soin que j’en ai est tel, que POUR LA PREMIÈRE FOIS DE MA VIE, JE ne sais pas même si je vous o","(303643, 303678)","(12246, 12273)"
Sade_Infortunes_0, est bien près de l’évidence. TOUT CE QUE JE PUIS TE DIRE pour ta consolation c’est qu’,", c'est là notre secret, mais TOUT CE QUE JE PUIS TE DIRE, c'est que discrète ou non, i","(298087, 298114)","(173656, 173683)"
Sade_Justine_0," chère Julie, et sur le récit DE CE QUI VIENT DE SE PASSER, connais, et partage les sent","us avisez de dire un seul mot DE CE QUI VIENT DE SE PASSER, en vous chargeant des crimes","(277674, 277702)","(599453, 599481)"
Sade_Justine_1, nouvelles avec impatience et JE N’AI PAS BESOIN DE VOUS DIRE combien vos lettres ont fait ,s mains de M. de Cardoville ; JE N'AI PAS BESOIN DE VOUS DIRE la place qu'il occupe ; qu'il,"(1277242, 1277273)","(599453, 599481)"
Sade_Philosophie_0,crets qui déchirent mon cœur. IL NE S’AGIT PAS DE SAVOIR SI j’ai droit de disposer de moi,"ifs ; en partant de ce point, IL NE S'AGIT PAS DE SAVOIR SI nos procédés plairont ou dépl","(374571, 374600)","(136140, 136169)"
Segur_Correspondance_0,"pas de beaucoup. 
Vous voyez, PAR CE QUE JE VIENS DE VOUS marquer du baron, que notre r","s achevée. Vous pouvez juger, PAR CE QUE JE VIENS DE VOUS dire, que, si je vous suis in","(1247186, 1247213)","(325381, 325408)"
Senac_Emigre_0," ou je me trompe moi-même, ou VOTRE BONHEUR M’EST PLUS CHER QUE LE mien. 
Cependant en revenant ","i son amitié, pour un homme à QUI VOTRE BONHEUR EST PLUS CHER QUe le sien. Je vous félicite et","(12375, 12411)","(708040, 708074)"
Senac_Emigre_1, nouvelles avec impatience et JE N’AI PAS BESOIN DE VOUS DIRE COMBIEN vos lettres ont fait de plais,t le commandement d'un bataillON. JE N'AI PAS BESOIN DE VOUS DIRE COMbien il est flatteur d'avoir d,"(1277242, 1277281)","(708040, 708074)"
Souza_Adele_0,d en Italie. Je passerai près DE VOUS! ET JE NE VOUS VERRAIS point! Pensez-vous que cela s,"lui dire: Je ne me soucie pas DE VOUS, ET JE NE VOUS VERRAI pas non plus . Cependant, ell","(826458, 826488)","(227037, 227066)"
Tiphaigne_Galligenes_0,"n même, non, charmante Julie, JE NE BALANCEROIS PAS UN INSTANT. MAIS d’où viendrait cette amère al","es fixer sur un „autre objet, JE NE BALANCEROIS PAS UN „INSTANT; MAIS ne pouvant leur donner „un au","(44011, 44049)","(50641, 50680)"
Voltaire_Micromegas_0,à jouir de la mienne jusqu’au BOUT: IL NE S’AGIT QUE DE SAVOIR prendre son parti; tout le re,prétendent un fétu sur ce tas BOUE. IL NE S'AGIT QUE DE SAVOIR s'il appartiendra à un certai,"(1494227, 1494259)","(31429, 31461)"
Voltaire_Princesse_0,", tu vis maintenant au séjour DE LA GLOIRE ET DE LA FÉLICITÉ; tu vis; et moi, livré eau re","ouris, environnés et pénétrés DE LA GLOIRE ET DE LA FÉLICITÉ célestes. 
CHAPITRE VI. 
SUIT","(607813, 607843)","(39354, 39384)"
