,Text in Sade_Infortunes,Text in B,Location in Sade_Infortunes,Location in B
Sade_Justine_218,"ons ce qu'elle y peut faire. 
JE NE LEUR DONNAI PAS LA PEINE DE M'AIDER À SORTIR DE MON ASILE ; M'EN ARRACHANT AUSSITÔT MOI-MÊME ET TOMBANT À LEURS PIEDS : --Oh messieurs, m'écriai-je","sachons pourquoi elle y est. 
JE NE LEUR DONNAI PAS LA PEINE DE ME TIRER DE MON ASILE ; M'EN ARRACHANT AUSSITÔT MOI-MÊME, ET TOMBANT À LEURS PIEDS : --Ô messieurs m'écriai-je, ","(56516, 56639)","(76, 272)"
Sade_Justine_219," tombant à leurs pieds : --Oh MESSIEURS, M'ÉCRIAI-JE EN ÉTENDANT LES BRAS VERS EUX, DAIGNEZ AVOIR PITIÉ D'UNE MALHEUREUSE DONT LE SORT EST PLUS À PLAINDRE QUE VOUS NE PENSEZ ; IL EST BIEN PEU DE REVERS QUI PUISSENT ÉGALER LES MIENS ; QUE LA SITUATION OÙ VOUS M'AVEZ TROUVÉE NE VOUS FASSE NAÎTRE AUCUN SOUPÇON SUR MOI, ELLE EST L'OUVRAGE DE MA MISÈRE BIEN PLUTÔT QUE DE MES TORTS ; LOIN D'AUGMENTER la somme des maux qui m'accab","t tombant à leurs pieds : --Ô MESSIEURS M'ÉCRIAI-JE, EN ÉTENDANT LES BRAS VERS EUX, DAIGNEZ AVOIR PITIÉ D'UNE MALHEUREUSE DONT LE SORT EST PLUS À PLAINDRE QUE VOUS NE PENSEZ ; IL EST BIEN PEU DE REVERS QUI PUISSENT ÉGALER LES MIENS ; QUE LA SITUATION OÙ VOUS M'AVEZ TROUVÉE NE VOUS FASSE NAÎTRE AUCUN SOUPÇON SUR MOI ; ELLE EST LA SUITE DE MA MISÈRE, BIEN PLUTÔT QUE DE MES TORTS ; LOIN D'AUGMENTER les maux qui m'accablent, veu","(56647, 57014)","(76, 272)"
Sade_Justine_220," rigueur qui me poursuit. 
M. DE BRESSAC, C'ÉTAIT LE NOM DU JEUNE HOMME ENTRE LES MAINS DUQUEL JE TOMBAIS, AVEC UN GRAND FONDS DE libertinage dans l'esprit, n'","qui me poursuivent. 
Le comte DE BRESSAC (C'ÉTAIT LE NOM DU JEUNE HOMME), ENTRE LES MAINS DE QUI JE TOMBAIS, AVEC UN GRAND FONDS DE méchanceté et de libertinage ","(57157, 57256)","(76, 272)"
Sade_Justine_221," tombais, avec un grand fonds DE LIBERTINAGE DANS L'ESPRIT, N'ÉTAIT PAS POURVU D'UNE DOSE BIEN ABONDANTE DE COMMISÉRATION DANS LE CŒUR. IL N'EST MALHEUREUSEMENT QUE TROP COMMUN DE VOIR la débauche des sens éteindre"," grand fonds de méchanceté et DE LIBERTINAGE DANS L'ESPRIT, N'ÉTAIT PAS POURVU D'UNE DOSE TRÈS ABONDANTE DE COMMISÉRATION DANS LE CŒUR. IL N'EST MALHEUREUSEMENT QUE TROP COMMUN DE VOIR le libertinage éteindre la pi","(57254, 57408)","(76, 272)"
Sade_Justine_222, des sens éteindre absolument LA PITIÉ DANS L'HOMME ; SON EFFET ORDINAIRE EST D'ENDURCIR ; SOIT QUE LA PLUS GRANDE PARTIE DE SES ÉCARTS NÉCESSITE une sorte d'apathie dans l'âm," voir le libertinage éteindre LA PITIÉ DANS L'HOMME ; SON EFFET ORDINAIRE EST D'ENDURCIR : SOIT QUE LA PLUS GRANDE PARTIE DE SES ÉCARTS NÉCESSITE l'apathie de l'âme, soit que ","(57450, 57565)","(76, 272)"
Sade_Justine_223," la secousse violente qu'elle IMPRIME À LA MASSE DES NERFS DIMINUE LA SENSIBILITÉ DE LEUR ACTION, TOUJOURS EST-IL QU'UN débauché de profession est ra","se violente que cette passion IMPRIME À LA MASSE DES NERFS DIMINUE LA FORCE DE LEUR ACTION, TOUJOURS EST-IL QU'UN libertin est rarement un homm","(57636, 57725)","(76, 272)"
Sade_Justine_224,"uauté naturelle dans l'esprit DE GENS DONT J'ESQUISSE LE CARACTÈRE, IL SE JOIGNAIT ENCORE DANS M. DE BRESSAC UN DÉGOÛT SI MARQUÉ POUR NOTRE SEXE, UNE HAINE si invétérée pour tout ce qui","ureté naturelle dans l'espèce DE GENS DONT J'ESQUISSE LE CARACTÈRE, IL SE JOIGNAIT ENCORE DANS M. DE BRESSAC UN DÉGOÛT SI INVÉTÉRÉ POUR NOTRE SEXE, UNE HAINE si forte pour tout ce qui le ","(57827, 57952)","(76, 272)"
Sade_Justine_225," sexe, une haine si invétérée POUR TOUT CE QUI LE CARACTÉRISAIT, QU'IL ÉTAIT DIFFICILE QUE JE PARVINSSE À PLACER DANS SON ÂME LES SENTIMENTS DONT JE VOULAIS L'ÉMOUVOIR. 
--Que fais-tu là enfin, tou","otre sexe, une haine si forte POUR TOUT CE QUI LE CARACTÉRISAIT, QU'IL ÉTAIT BIEN DIFFICILE QUE JE PARVINSSE À PLACER DANS SON ÂME LES SENTIMENTS DONT JE VOULAIS L'ÉMOUVOIR. 
--Tourterelle des bois, me ","(57966, 58103)","(76, 272)"
Sade_Justine_226,"ela pour ta tranquillité, car SI J'IMAGINAIS QUE TU EUSSES PU VOIR AUTRE CHOSE, TU NE SORTIRAIS JAMAIS DE CE BUISSON... ALLONS, JASMIN, IL EST DE BONNE HEURE, NOUS AVONS LE TEMPS D'OUÏR LES AVENTURES DE CETTE catin ; qu'elle nous les dise","omte, et cela pour ton bien ; SI J'IMAGINAIS QUE TU EUSSES PU VOIR AUTRE CHOSE, TU NE SORTIRAIS JAMAIS DE CE BUISSON... JASMIN, IL EST DE BONNE HEURE, NOUS AVONS LE TEMPS D'OUÏR LES AVENTURES DE CETTE fille, et nous verrons après ","(58715, 58893)","(76, 272)"
Sade_Justine_227,"s'assirent, ils m'ordonnèrent DE ME PLACER PRÈS D'EUX ET LÀ, JE LEUR racontai ingénument tout ce q","s s'asseyent, ils m'ordonnent DE ME PLACER PRÈS D'EUX, ET LÀ JE LEUR fais part avec ingénuité de t","(59090, 59128)","(76, 272)"
Sade_Justine_228,"vé depuis que j'étais dans le MONDE. 
--ALLONS, JASMIN, DIT M. DE BRESSAC EN SE LEVANT DÈS QUE J'EUS FINI, SOYONS JUSTES UNE FOIS dans notre vie, mon cher ; l'","cablent depuis que je suis au MONDE. 
--ALLONS, JASMIN, DIT M. DE BRESSAC EN SE LEVANT, DÈS QUE J'EUS FINI, SOYONS JUSTE UNE FOIS ; l'équitable Thémis a condam","(59203, 59302)","(76, 272)"
Sade_Justine_229,"mis a condamné cette coquine, NE SOUFFRONS PAS QUE LES VUES DE LA DÉESSE SAIENT AUSSI CRUELLEMENT FRUSTRÉES, et faisons subir à la crimin","is a condamné cette créature, NE SOUFFRONS PAS QUE LES VUES DE LA DÉESSE SAIENT AUSSI CRUELLEMENT FRUSTRÉES ; faisons subir à la délinqua","(59375, 59452)","(76, 272)"
Sade_Justine_230," l'ordre moral des choses, et PUISQUE NOUS AVONS LE MALHEUR DE LE DÉRANGER QUELQUEFOIS, RÉTABLISSONS-LE COURAGEUSEMENT DU MOINS QUAND L'OCCASION S'EN PRÉSENTE. 
ET LES CRUELS M'AYANT ENLEVÉE DE MA PLACE ME TRAÎNAIENT DÉJÀ vers l'arbre indiqué, sans êt","paration dans l'ordre moral ; PUISQUE NOUS AVONS LE MALHEUR DE LE DÉRANGER QUELQUEFOIS, RÉTABLISSONS-LE COURAGEUSEMENT DU MOINS QUAND L'OCCASION SE PRÉSENTE... 
ET LES CRUELS, M'AYANT ENLEVÉE DE MA PLACE, ME TRAÎNENT DÉJÀ vers le bois, riant de mes pl","(59654, 59845)","(76, 272)"
Sade_Justine_231,"nt mes liens, rhabillez-vous, SOYEZ DISCRÈTE ET SUIVEZ-NOUS ; SI VOUS VOUS ATTACHEZ À MOI, VOUS N'AUREZ PAS LIEU DE VOUS EN REPENTIR, mon enfant, il faut une seco","et m'ordonnant de m'habiller, SOYEZ DISCRÈTE ET SUIVEZ-NOUS : SI VOUS VOUS ATTACHEZ À MOI, VOUS N'AUREZ PAS LIEU DE VOUS EN REPENTIR. Il faut une seconde femme à ","(60703, 60805)","(76, 272)"
Sade_Justine_232,"e femme de chambre à ma mère, JE VAIS VOUS PRÉSENTER À ELLE... SUR LA FOI DE VOS RÉCITS JE VAIS LUI RÉPONDRE DE VOTRE CONDUITE, MAIS SI VOUS ABUSEZ DE MES BONTÉS, ou que vous trahissiez ma co","une seconde femme à ma tante, JE VAIS VOUS PRÉSENTER À ELLE, SUR LA FOI DE VOS RÉCITS ; JE VAIS LUI RÉPONDRE DE VOTRE CONDUITE ; MAIS SI VOUS ABUSEZ DE MES BONTÉS, si vous trahissiez ma confia","(60867, 60998)","(76, 272)"
Sade_Justine_233,"unèbre, souvenez-vous qu'il n'EST QU'À UNE LIEUE DU CHÂTEAU OÙ JE VOUS CONDUIS ET QU'À LA PLUS LÉGÈRE FAUTE VOUS Y SEREZ À L'INSTANT ramenée... 
Déjà rhabillée, à","vous que ce funeste endroit n'EST QU'À UNE LIEUE DU CHÂTEAU OÙ JE VOUS CONDUIS, ET QU'À LA PLUS LÉGÈRE FAUTE, VOUS Y SEREZ AUSSITÔT ramenée. 
A l'instant j'oubli","(61122, 61224)","(76, 272)"
Sade_Justine_234,"tous les serments possibles d'UNE BONNE CONDUITE, MAIS AUSSI INSENSIBLE À MA JOIE QU'À MA DOULEUR : --MARCHONS, DIT M. de Bressac, c'est votre co","fais, en larmes, le serment d'UNE BONNE CONDUITE ; MAIS AUSSI INSENSIBLE À MA JOIE QU'À MA DOULEUR : --MARCHONS, DIT Bressac, c'est cette conduite","(61418, 61503)","(76, 272)"
Sade_Justine_235,"maître causaient ensemble, et JE LES SUIVAIS HUMBLEMENT SANS MOT DIRE ; UNE PETITE HEURE NOUS RENDIT AU CHÂTEAU DE MME la comtesse de Bressac et la ","ître causaient bas ensemble ; JE LES SUIVAIS HUMBLEMENT SANS MOT DIRE. UNE PETITE HEURE NOUS REND AU CHÂTEAU DE MME la marquise de Bressac, dont ","(61668, 61756)","(76, 272)"
Sade_Justine_236,"gnificence des entours me fit VOIR QUE QUELQUE POSTE QUE JE DUSSE REMPLIR DANS CETTE maison-ci, il serait assuréme","valets qu'il renferme me font VOIR QUE QUELQUE POSTE QUE JE DOIVE REMPLIR DANS CETTE maison, il sera sûrement plus","(61818, 61872)","(76, 272)"
Sade_Justine_237,rait assurément plus lucratif POUR MOI QUE CELUI DE LA GOUVERNANTE EN CHEF DE M. et de Mme Du Harpin. On me,sera sûrement plus avantageux POUR MOI QUE CELUI DE LA GOUVERNANTE EN CHEF DE M. du Harpin. On me fait atte,"(61919, 61966)","(76, 272)"
Sade_Justine_238,"me pour me présenter à elle. 
MME DE BRESSAC ÉTAIT UNE FEMME DE QUARANTE-CINQ ANS, TRÈS BELLE encore et qui me parut fort h"," me présenter à la marquise. 
MME DE BRESSAC ÉTAIT UNE FEMME DE QUARANTE-SIX ANS, TRÈS BELLE encore, qui me parut honnête ","(62215, 62278)","(76, 272)"
Sade_Justine_239," principalement fort humaine, QUOIQU'ELLE MÊLÂT UN PEU DE SÉVÉRITÉ DANS SES PRINCIPES ET DANS SES PROPOS ; VEUVE DEPUIS DEUX ans d'un homme de fort grande","me parut honnête et sensible, QUOIQU'ELLE MÊLÂT UN PEU DE SÉVÉRITÉ DANS SES PRINCIPES ET DANS SES PROPOS ; VEUVE DEPUIS DEUX ans de l'oncle du jeune comte","(62347, 62441)","(76, 272)"
Sade_Justine_240,"me de fort grande maison mais QUI L'AVAIT ÉPOUSÉE SANS AUTRE FORTUNE QUE LE BEAU NOM QU'IL LUI DONNAIT, TOUS LES BIENS QUE POUVAIT ESPÉRER le jeune marquis de Bressac d","ns de l'oncle du jeune comte, QUI L'AVAIT ÉPOUSÉE SANS AUTRE FORTUNE QUE LE BEAU NOM QU'IL LUI DONNAIT. TOUS LES BIENS QUE POUVAIT ESPÉRER M. de Bressac dépendaient de ","(62484, 62592)","(76, 272)"
Sade_Justine_241,"ndaient donc de cette mère et CE QU'IL AVAIT EU DE SON PÈRE LUI DONNAIT À PEINE DE QUOI S'ENTRETENIR. MME DE BRESSAC Y JOIGNAIT UNE PENSION CONSIDÉRABLE, MAIS il s'en fallait bien qu'elle "," dépendaient de cette tante ; CE QU'IL AVAIT EU DE SON PÈRE LUI DONNAIT À PEINE DE QUOI FOURNIR À SES PLAISIRS ; MME DE BRESSAC Y JOIGNAIT UNE PENSION CONSIDÉRABLE, MAIS cela ne suffisait point : rie","(62655, 62783)","(76, 272)"
Sade_Justine_242,"u moins soixante mille livres DE RENTES DANS CETTE MAISON, ET M. DE BRESSAC n'avait ni frère ni sœur ; on"," y avait cinquante mille écus DE RENTE DANS CETTE MAISON, ET M. DE BRESSAC était seul. On n'avait jamais","(62925, 62970)","(76, 272)"
Sade_Justine_243,ais pu le déterminer à entrer AU SERVICE ; TOUT CE QUI L'ÉCARTAIT DE SES PLAISIRS DE CHOIX ÉTAIT SI INSUPPORTABLE POUR LUI QU'IL était impossible de lui faire,"avait jamais pu le déterminer AU SERVICE ; TOUT CE QUI L'ÉCARTAIT DE SON LIBERTINAGE ÉTAIT SI INSUPPORTABLE POUR LUI, QU'IL ne pouvait en adopter la chaî","(63042, 63140)","(76, 272)"
Sade_Justine_244," terre et le reste du temps à PARIS, ET CES TROIS MOIS QU'ELLE EXIGEAIT DE SON FILS DE PASSER AVEC ELLE étaient déjà une bien grande ", ; elle en passait le reste à PARIS ; ET CES TROIS MOIS QU'ELLE EXIGEAIT DE SON NEVEU DE PASSER AVEC ELLE étaient une sorte de supplice,"(63298, 63371)","(76, 272)"
Sade_Justine_245," que j'eus fini mon récit : --VOTRE CANDEUR ET VOTRE NAÏVETÉ, ME DIT MME DE BRESSAC, NE ME PERMETTENT PAS DE DOUTER DE VOTRE INNOCENCE. JE NE PRENDRAI D'AUTRES INFORMATIONS SUR VOUS QUE de savoir si vous êtes réelle","rt, et dès que j'eus fini : --VOTRE CANDEUR ET VOTRE NAÏVETÉ, ME DIT MME DE BRESSAC, NE ME PERMETTENT PAS DE DOUTER QUE VOUS NE SOYEZ VRAIE. JE NE PRENDRAI D'AUTRES INFORMATIONS SUR VOUS QUE celles de savoir si vous êtes","(63625, 63780)","(76, 272)"
Sade_Justine_246,"res informations sur vous que DE SAVOIR SI VOUS ÊTES RÉELLEMENT COMME VOUS ME LE DITES LA FILLE DE L'HOMME QUE VOUS M'INDIQUEZ ; SI CELA EST, J'AI CONNU VOTRE PÈRE, ET cela me deviendra une raison ","ormations sur vous que celles DE SAVOIR SI VOUS ÊTES RÉELLEMENT LA FILLE DE L'HOMME QUE VOUS M'INDIQUEZ ; SI CELA EST, J'AI CONNU VOTRE PÈRE, ET ce sera pour moi une raison d","(63781, 63918)","(76, 272)"
Sade_Justine_247,"re père, et cela me deviendra UNE RAISON DE PLUS POUR M'INTÉRESSER À VOUS. QUANT À VOTRE AFFAIRE DE CHEZ DU HARPIN, JE ME CHARGE d'arranger cela en deux visit","tre père, et ce sera pour moi UNE RAISON DE PLUS POUR M'INTÉRESSER À VOUS. QUANT À L'AFFAIRE DE CHEZ DU HARPIN, JE ME CHARGE de l'arranger en deux visites","(63937, 64035)","(76, 272)"
Sade_Justine_248," je me charge d'arranger cela EN DEUX VISITES CHEZ LE CHANCELIER, MON AMI DEPUIS DES SIÈCLES ; C'EST L'HOMME LE PLUS INTÈGRE QU'IL Y AIT EN FRANCE ; IL NE S'AGIT QUE DE LUI PROUVER VOTRE INNOCENCE POUR ANÉANTIR TOUT CE QUI A ÉTÉ FAIT CONTRE VOUS et pour que vous puissiez rep","n, je me charge de l'arranger EN DEUX VISITES CHEZ LE CHANCELIER, MON AMI DEPUIS DES SIÈCLES. C'EST L'HOMME LE PLUS INTÈGRE QU'IL Y AIT AU MONDE ; IL NE S'AGIT QUE DE LUI PROUVER VOTRE INNOCENCE POUR ANÉANTIR TOUT CE QUI A ÉTÉ FAIT CONTRE VOUS. Mais réfléchissez bien, Thér","(64052, 64267)","(76, 272)"
Sade_Justine_249,"hissez bien, Sophie, que tout CE QUE JE VOUS PROMETS ICI N'EST QU'AU PRIX D'UNE CONDUITE INTACTE ; AINSI VOUS VOYEZ QUE LES RECONNAISSANCES QUE J'EXIGE DE VOUS TOURNERONT TOUJOURS À VOTRE PROFIT. 
JE ME JETAI AUX PIEDS DE Mme de Bressac, je l'assurai ","fléchissez bien, Thérèse, que CE QUE JE VOUS PROMETS ICI N'EST QU'AU PRIX D'UNE CONDUITE INTACTE ; AINSI VOUS VOYEZ QUE LES EFFETS DE LA RECONNAISSANCE QUE J'EXIGE TOURNERONT TOUJOURS À VOTRE PROFIT. 
JE ME JETAI AUX PIEDS DE la marquise, l'assurai qu'ell","(64376, 64567)","(76, 272)"
Sade_Justine_250," sa seconde femme de chambre. AU BOUT DE TROIS JOURS LES INFORMATIONS QU'AVAIT FAITES MME DE BRESSAC À PARIS ARRIVÈRENT TELLES QUE JE POUVAIS LES DÉSIRER, et toutes les idées de malhe","me de chambre à son service. 
AU BOUT DE TROIS JOURS, LES INFORMATIONS QU'AVAIT FAITES MME DE BRESSAC, À PARIS, ARRIVÈRENT ; ELLES ÉTAIENT TELLES QUE JE POUVAIS LES DÉSIRER ; la marquise me loua de ne l","(64741, 64864)","(76, 272)"
Sade_Justine_251,"sirer, et toutes les idées de MALHEUR S'ÉVANOUIRENT ENFIN DE MON ESPRIT POUR N'ÊTRE PLUS REMPLACÉES QUE PAR L'ESPOIR DES PLUS DOUCES CONSOLATIONS QU'IL DÛT M'ÊTRE PERMIS D'ATTENDRE ; MAIS IL N'ÉTAIT PAS ÉCRIT DANS LE CIEL QUE LA pauvre Sophie dût jamais être","mposé, et toutes les idées du MALHEUR S'ÉVANOUIRENT ENFIN DE MON ESPRIT, POUR N'ÊTRE PLUS REMPLACÉES QUE PAR L'ESPOIR DES PLUS DOUCES CONSOLATIONS QU'IL PÛT M'ÊTRE PERMIS D'ATTENDRE ; MAIS IL N'ÉTAIT PAS ARRANGÉ DANS LE CIEL QUE LA pauvre Thérèse dût jamais êtr","(64889, 65087)","(76, 272)"
Sade_Justine_252,"e ; mais il n'était pas écrit DANS LE CIEL QUE LA PAUVRE SOPHIE DÛT JAMAIS ÊTRE HEUREUSE, ET SI QUELQUES MOMENTS DE CALME NAISSAIENT FORTUITEMENT POUR ELLE, CE N'ÉTAIT QUE POUR LUI RENDRE PLUS AMERS CEUX D'HORREUR QUI DEVAIENT LES SUIVRE. 
A PEINE FÛMES-NOUS À PARIS QUE MME DE BRESSAC S'EMPRESSA DE TRAVAILLER POUR MOI. LE PREMIER PRÉSIDENT VOULUT ME VOIR, IL ÉCOUTA mes malheurs avec intérêt, la","; mais il n'était pas arrangé DANS LE CIEL QUE LA PAUVRE THÉRÈSE DÛT JAMAIS ÊTRE HEUREUSE, ET SI QUELQUES MOMENTS DE CALME NAISSAIENT FORTUITEMENT POUR ELLE, CE N'ÉTAIT QUE POUR LUI RENDRE PLUS AMERS CEUX D'HORREUR QUI DEVAIENT LES SUIVRE. 
A PEINE FÛMES-NOUS À PARIS, QUE MME DE BRESSAC S'EMPRESSA DE TRAVAILLER POUR MOI : LE PREMIER PRÉSIDENT VOULUT ME VOIR ; IL ÉCOUTA le récit de mes malheurs avec","(65068, 65405)","(76, 272)"
Sade_Justine_253," approfondie fut reconnue, on SE CONVAINQUIT QUE SI J'AVAIS PROFITÉ DE l'incendie des prisons du pal","die des prisons du Palais, on SE CONVAINQUIT QUE, SI J'AVAIS PROFITÉ DE cet événement, au moins n'y a","(65495, 65535)","(76, 272)"
Sade_Justine_254," participé pour rien et toute PROCÉDURE S'ANÉANTIT (M'ASSURA-T-ON) SANS QUE LES MAGISTRATS QUI S'EN MÊLÈRENT CRUSSENT DEVOIR Y EMPLOYER D'AUTRES FORMALITÉS. 
IL EST AISÉ D'IMAGINER COMBIEN DE TELS PROCÉDÉS M'ATTACHAIENT À MME DE BRESSAC ; N'EÛT-ELLE PAS EU D'AILLEURS POUR MOI TOUTE SORTE DE BONTÉS, COMMENT de pareilles démarches ne m'e","s-je participé en rien, et ma PROCÉDURE S'ANÉANTIT, M'ASSURA-T-ON, SANS QUE LES MAGISTRATS QUI S'EN MÊLÈRENT CRUSSENT DEVOIR Y EMPLOYER D'AUTRES FORMALITÉS ; JE N'EN SAVAIS PAS DAVANTAGE, JE ME CONTENTAI DE CE QU'ON ME DIT : VOUS VERREZ BIENTÔT SI J'EUS TORT. 
IL EST AISÉ D'IMAGINER COMBIEN DE PAREILS PROCÉDÉS M'ATTACHAIENT À MME DE BRESSAC ; N'EÛT-ELLE PAS EU, D'AILLEURS, POUR MOI TOUTES SORTES DE BONTÉS, COMMENT de telles démarches ne m'euss","(65621, 65898)","(76, 272)"
Sade_Justine_255,"sé d'imaginer combien de tels PROCÉDÉS M'ATTACHAIENT À MME DE BRESSAC ; N'EÛT-ELLE PAS EU D'AILLEURS POUR MOI TOUTE SORTE DE BONTÉS, COMMENT DE PAREILLES DÉMARCHES NE M'EUSSENT-ELLES PAS LIÉE POUR JAMAIS À UNE PROTECTRICE AUSSI PRÉCIEUSE ? IL S'EN FALLAIT bien pourtant que l'intention","d'imaginer combien de pareils PROCÉDÉS M'ATTACHAIENT À MME DE BRESSAC ; N'EÛT-ELLE PAS EU, D'AILLEURS, POUR MOI TOUTES SORTES DE BONTÉS, COMMENT DE TELLES DÉMARCHES NE M'EUSSENT-ELLES PAS LIÉE POUR JAMAIS À UNE PROTECTRICE AUSSI PRÉCIEUSE ? IL S'EN FALLAIT pourtant bien que l'intention","(65788, 66013)","(76, 272)"
Sade_Justine_256," trop de rigueur, le marquis, PLUS ENFLAMMÉ PAR LES EFFETS MÊMES DE CETTE SÉVÉRITÉ, NE s'y livrait qu'avec plus d'ar","il en résultait que le comte, PLUS ENFLAMMÉ PAR LES EFFETS MÊMES DE CETTE SÉVÉRITÉ, NE se livrait à ses goûts que pl","(66534, 66590)","(76, 272)"
Sade_Justine_257,"ardeur, et la pauvre comtesse NE RETIRAIT DE SES PERSÉCUTIONS QUE DE SE FAIRE SOUVERAINEMENT HAÏR. 
--NE VOUS IMAGINEZ PAS, ME DISAIT TRÈS SOUVENT LE MARQUIS, QUE CE SOIT D'ELLE-MÊME que ma mère agisse dans tout ","re, et que la pauvre marquise NE RETIRAIT DE SES PERSÉCUTIONS QUE DE SE FAIRE HAÏR DAVANTAGE. 
--NE VOUS IMAGINEZ PAS, ME DISAIT TRÈS SOUVENT LE COMTE, QUE CE SOIT D'ELLE-MÊME que ma tante agisse dans tout","(66648, 66800)","(76, 272)"
Sade_Justine_258,"sait très souvent le marquis, QUE CE SOIT D'ELLE-MÊME QUE MA MÈRE AGISSE DANS TOUT CE QUI VOUS intéresse ; croyez, Sophie, q","disait très souvent le comte, QUE CE SOIT D'ELLE-MÊME QUE MA TANTE AGISSE DANS TOUT CE QUI VOUS concerne, Thérèse ; croyez qu","(66777, 66841)","(76, 272)"
Sade_Justine_259,", que si je ne la harcelais à TOUT INSTANT, ELLE SE RESSOUVIENDRAIT À PEINE DES SOINS QU'ELLE VOUS A PROMIS ; ELLE VOUS FAIT VALOIR TOUS SES PAS, TANDIS QU'ILS n'ont été faits que par moi. ","que si je ne la persécutais à TOUT INSTANT, ELLE SE RESSOUVIENDRAIT À PEINE DES SOINS QU'ELLE VOUS A PROMIS. ELLE VOUS FAIT VALOIR TOUS SES PAS, TANDIS QU'ILS ne sont que mon seul ouvrage ","(66898, 67027)","(76, 272)"
Sade_Justine_260,"i seul que vous devez quelque RECONNAISSANCE, ET CELLE QUE J'EXIGE DE VOUS DOIT paraître d'autant plus désint","moi seul que vous devez de la RECONNAISSANCE, ET CELLE QUE J'EXIGE DE VOUS DOIT vous paraître d'autant plus d","(67117, 67166)","(76, 272)"
Sade_Justine_261,"ez assez pour être bien sûre, QUELQUE JOLIE QUE VOUS PUISSIEZ ÊTRE, QUE CE N'EST PAS À VOS FAVEURS QUE JE PRÉTENDS... NON, Sophie, non, les services qu","autant plus désintéressée que QUELQUE JOLIE QUE VOUS PUISSIEZ ÊTRE, VOUS SAVEZ BIEN QUE CE N'EST PAS À VOS FAVEURS QUE JE PRÉTENDS ; NON, Thérèse, les services que j'","(67250, 67341)","(76, 272)"
Sade_Justine_262,"prétends... Non, Sophie, non, LES SERVICES QUE J'ATTENDS DE VOUS SONT D'UN TOUT AUTRE GENRE, ET QUAND VOUS SEREZ BIEN CONVAINCUE DE tout ce que j'ai fait pour vo","e je prétends ; non, Thérèse, LES SERVICES QUE J'ATTENDS DE VOUS SONT D'UN TOUT AUTRE GENRE, ET QUAND VOUS SEREZ BIEN CONVAINCUE DE ce que j'ai fait pour votre t","(67356, 67457)","(76, 272)"
Sade_Justine_263,"ce que j'ai fait pour vous, j'ESPÈRE QUE JE TROUVERAI DANS VOTRE ÂME TOUT CE QUE JE SUIS EN DROIT D'EN ATTENDRE... 
CES DISCOURS ME PARAISSAIENT SI OBSCURS, QUE JE NE SAVAIS COMMENT Y RÉPONDRE ; JE LE FAISAIS POURTANT À TOUT HASARD ET PEUT-ÊTRE AVEC TROP DE FACILITÉ. 
C'est ici le moment de vous","it pour votre tranquillité, j'ESPÈRE QUE JE TROUVERAI DANS VOTRE ÂME CE QUE JE SUIS EN DROIT D'EN ATTENDRE. 
CES DISCOURS ME PARAISSAIENT SI OBSCURS QUE JE NE SAVAIS COMMENT Y RÉPONDRE : JE LE FAISAIS POURTANT À TOUT HASARD, ET PEUT-ÊTRE AVEC TROP DE FACILITÉ. Faut-il vous l'avouer ? Héla","(67493, 67729)","(76, 272)"
Sade_Justine_264,"ma vie... que dis-je un tort, UNE EXTRAVAGANCE QUI N'EUT JAMAIS RIEN D'ÉGAL... MAIS AU MOINS CE N'EST PAS UN CRIME, C'EST UNE SIMPLE ERREUR QUI N'A PUNI QUE MOI ET DONT IL NE ME PARAÎT PAS QUE LA MAIN ÉQUITABLE DU CIEL AIT DÛ SE SERVIR POUR M'ENTRAÎNER DANS L'ABÎME QUI s'ouvrait insensiblement sous","dis-je une faute ? une folie, UNE EXTRAVAGANCE... QUI N'EUT JAMAIS RIEN D'ÉGAL ; MAIS AU MOINS CE N'EST PAS UN CRIME, C'EST UNE SIMPLE ERREUR, QUI N'A PUNI QUE MOI, ET DONT IL NE PARAÎT POINT QUE LA MAIN ÉQUITABLE DU CIEL AIT DÛ SE SERVIR POUR ME PLONGER DANS L'ABÎME QUI s'ouvrit peu après sous mes p","(67857, 68096)","(76, 272)"
Sade_Justine_265,de voir le marquis de Bressac SANS ME SENTIR ENTRAÎNÉE VERS LUI PAR UN MOUVEMENT DE TENDRESSE QUE RIEN N'AVAIT PU VAINCRE en moi. Quelques réflexions q,ant été impossible de le voir SANS ME SENTIR ENTRAÎNÉE VERS LUI PAR UN MOUVEMENT DE TENDRESSE QUE RIEN N'AVAIT PU VAINCRE. Malgré toutes mes réflexions,"(68192, 68283)","(76, 272)"
Sade_Justine_266,"isse sur son éloignement pour LES FEMMES, SUR LA DÉPRAVATION DE SES GOÛTS, SUR LES DISTANCES MORALES QUI NOUS SÉPARAIENT, RIEN, RIEN AU MONDE NE POUVAIT ÉTEINDRE CETTE PASSION NAISSANTE ET SI LE MARQUIS M'EÛT DEMANDÉ MA VIE, JE LA LUI AURAIS SACRIFIÉE MILLE fois, croyant encore ne rien "," cruauté, sur son éloignement DES FEMMES, SUR LA DÉPRAVATION DE SES GOÛTS, SUR LES DISTANCES MORALES QUI NOUS SÉPARAIENT, RIEN AU MONDE NE POUVAIT ÉTEINDRE CETTE PASSION NAISSANTE, ET SI LE COMTE M'EÛT DEMANDÉ MA VIE, JE LA LUI AURAIS SACRIFIÉE MILLE fois. Il était loin de soupço","(68350, 68577)","(76, 272)"
