,Text in Rousseau_Emile,Text in B,Location in Rousseau_Emile,Location in B
Rousseau_Julie_8,"r etamp; qui lui sont utiles, TOUTES CELLES QUI SE RAPPORTENT À SON BONHEUR ETAMP; DOIVENT L'ÉCLAIRER UN JOUR SUR SES DEVOIRS, S'Y TRACENT DE BONNE HEURE EN CARACTÈRES INEFFAÇABLES, ETAMP; LUI SERVENT À SE CONDUIRE PENDANT SA VIE D'UNE MANIÈRE CONVENABLE À SON être etamp; à ses facultés. 
","elatives à l’état de l’homme, TOUTES CELLES QUI SE RAPPORTENT À SON BONHEUR ET L’ÉCLAIRENT SUR SES DEVOIRS, S’Y TRACENT DE BONNE HEURE EN CARACTÈRES INEFFAÇABLES ET LUI SERVENT À SE CONDUIRE, PENDANT SA VIE, D’UNE MANIÈRE CONVENABLE À SON être et à ses facultés. 
Sans","(230321, 230551)","(458846, 458878)"
Rousseau_Julie_9,"ractères ineffaçables, etamp; LUI SERVENT À SE CONDUIRE PENDANT SA VIE D'UNE MANIÈRE CONVENABLE À SON ÊTRE ETAMP; À SES FACULTÉS. 
SANS ÉTUDIER DANS LES LIVRES, l'espèce de mémoire que peut","en caractères ineffaçables et LUI SERVENT À SE CONDUIRE, PENDANT SA VIE, D’UNE MANIÈRE CONVENABLE À SON ÊTRE ET À SES FACULTÉS. 
SANS ÉTUDIER DANS LES LIVRES, la mémoire d’un enfant ne re","(230480, 230609)","(458846, 458878)"
Rousseau_Julie_10,"èce de mémoire que peut avoir UN ENFANTS NE RESTE PAS POUR CELA OISIVE; TOUT CE qu'il voit, tout ce qu'il ent","dans les livres, la mémoire d’UN ENFANT NE RESTE PAS POUR CELA OISIVE: TOUT CE qu’il voit, tout ce qu’il ent","(230646, 230695)","(458846, 458878)"
Rousseau_Julie_11,"u'il entend le frappe, etamp; IL S'EN SOUVIENT; IL TIENT REGISTRE EN LUI-MÊME DES ACTIONS, DES DISCOURS DES HOMMES; ET TOUT CE QUI L'ENVIRONNE EST LE LIVRE DANS LEQUEL, SANS Y SONGER, IL ENRICHIT CONTINUELLEMENT SA MÉMOIRE EN ATTENDANT QUE SON JUGEMENT. PUISSE EN PROFITER. C'EST DANS LE CHOIX DE CES OBJETS, C'EST DANS LE SOIN, DE LUI PRÉSENTER SANS CESSE CEUX qu'il peut connaître etamp; d"," ce qu’il entend le frappe et IL S’EN SOUVIENT; IL TIENT REGISTRE EN LUI-MÊME DES ACTIONS, DES DISCOURS DES HOMMES; ET TOUT CE QUI L’ENVIRONNE EST LE LIVRE DANS LEQUEL, SANS Y SONGER, IL ENRICHIT CONTINUELLEMENT SA MÉMOIRE, EN ATTENDANT QUE SON JUGEMENT PUISSE EN PROFITER. C’EST DANS LE CHOIX DE CES OBJETS, C’EST DANS LE SOIN DE LUI PRÉSENTER SANS CESSE CEUX qu’il doit connaître et de lu","(230747, 231078)","(458846, 458878)"
Rousseau_Julie_12,"amp; de lui cacher ceux qu'il DOIT IGNORER, QUE CONSISTE LE VÉRITABLE ART DE CULTIVER en lui cette première faculté","e et de lui cacher ceux qu’il DOIT IGNORER, QUE CONSISTE LE VÉRITABLE ART DE CULTIVER la première de ses facultés; ","(231132, 231187)","(458846, 458878)"
Rousseau_Julie_13,"té; etamp; c'est par là qu'il FAUT TÂCHER DE LUI FORMER UN MAGASIN DE CONNAISSANCES QUI SERVENT À SON ÉDUCATION DURANT SA JEUNESSE, ETAMP; À SA CONDUITE DANS TOUS LES TEMPS. CETTE MÉTHODE, IL EST VRAI, NE FORME POINT DE PETITS PRODIGES ETAMP; NE FAIT PAS BRILLER LES GOUVERNANTES ET LES PRÉCEPTEURS; MAIS ELLE FORME DES HOMMES JUDICIEUX, ROBUSTES, SAINS DE CORPS ET D'ENTENDEMENT, QUI, SANS S'ÊTRE FAIT ADMIRER ÉTANT JEUNES, SE FONT HONORER ÉTANT grands. 
Émile n'apprendra ja","cultés; et c’est par là qu’il FAUT TÂCHER DE LUI FORMER UN MAGASIN DE CONNAISSANCES QUI SERVE À SON ÉDUCATION DURANT LA JEUNESSE ET À SA CONDUITE DANS TOUS LES TEMPS. CETTE MÉTHODE, IL EST VRAI, NE FORME POINT DE PETITS PRODIGES ET NE FAIT PAS BRILLER LES GOUVERNANTES ET LES PRÉCEPTEURS; MAIS ELLE FORME DES HOMMES JUDICIEUX, ROBUSTES, SAINS DE CORPS ET D’ENTENDEMENT, QUI, SANS S’ÊTRE FAIT ADMIRER ÉTANT JEUNES, SE FONT HONORER ÉTANT grands. 
Ne pensez pas pourta","(231245, 231661)","(458846, 458878)"
Rousseau_Julie_14,"int de petits prodiges etamp; NE FAIT PAS BRILLER LES GOUVERNANTES ET LES PRÉCEPTEURS; MAIS ELLE FORME DES HOMMES JUDICIEUX, ROBUSTES, SAINS DE CORPS ET D'ENTENDEMENT, QUI, SANS S'ÊTRE FAIT ADMIRER ÉTANT JEUNES, SE FONT HONORER ÉTANT GRANDS. 
Émile n'apprendra jamais ri","e point de petits prodiges et NE FAIT PAS BRILLER LES GOUVERNANTES ET LES PRÉCEPTEURS; MAIS ELLE FORME DES HOMMES JUDICIEUX, ROBUSTES, SAINS DE CORPS ET D’ENTENDEMENT, QUI, SANS S’ÊTRE FAIT ADMIRER ÉTANT JEUNES, SE FONT HONORER ÉTANT GRANDS. 
Ne pensez pas pourtant, con","(231458, 231668)","(458846, 458878)"
Rousseau_Julie_15,anés; je vous dirai que je le SAIS PARCE QUE JE LE SENS. JE veux mouvoir mon bras etamp; ,"t parce que vous me le dites, MAIS PARCE QUE JE LE SENS. JE n’ai plus besoin que vous me ","(733725, 733754)","(458846, 458878)"
Rousseau_Julie_16,"ur des idées que je n'ai pas. CE QUE JE SAIS BIEN, C'EST QUE l'identité du moi ne se prolo","e j’aurois été moi-même. Tout CE QUE JE SAIS BIEN, C’EST QUE, si sa mauvaise étoile me l’e","(768728, 768758)","(458846, 458878)"
Rousseau_Julie_17,nnocents plaisirs de son âge; LE TEMPS NE VIENDRA QUE TROP TÔT D'ÊTRE posée etamp; de prendre un ma,est pas la peine d’anticiper. LE TEMPS NE VIENDRA QUE TROP TÔT D’ÊTRE prude et réservée; tandis que,"(1045547, 1045586)","(458846, 458878)"
Rousseau_Julie_18,isser vaincre aux tentations. IL NE DÉPEND PAS DE NOUS D'AVOIR ou de n'avoir pas des passion,"nder et d’obtenir la force qu’IL NE DÉPEND PAS DE NOUS D’AVOIR par nous-mêmes. 
Apprenez don","(1276498, 1276530)","(458846, 458878)"
Rousseau_Julie_19,"possession. Hors le seul être EXISTANT PAR LUI-MÊME, IL N'Y A RIEN DE BEAU QUE CE QUI N'EST PAS. SI CET état eût pu durer toujours, v","oses humaines, qu’hors l’Etre EXISTANT PAR LUI-MÊME IL N’Y A RIEN DE BEAU QUE CE QUI N’EST PAS. 
SI CET effet n’a pas toujours lieu s","(1282008, 1282081)","(458846, 458878)"
Rousseau_Julie_20,"mblait les renouveler, etamp; LE DERNIER JOUR DE SA VIE, M'EN montra que je n'avais pas con","s aimable qu’en santé même et LE DERNIER JOUR DE SA VIE EN fut aussi le plus charmant. 
","(1398570, 1398601)","(458846, 458878)"
Sade_120_0,"moins d'honneur à son auteur. CE QU'IL Y A DE BIEN SÛR, C'EST QUE, si ce livre était bon, il ne","elle avait été si maltraitée. CE QU'IL Y A DE BIEN SÛR, C'EST QUE rien ne l'avait corrigée et s","(1061269, 1061304)","(68641, 68676)"
Sade_Aline_0,"nnera pas moins d'éloignement POUR TOUT CE QUI NE LUI RESSEMBLE PAS, que s'il avait un objet réel","ette pitié douce qui s’alarme POUR TOUT CE QUI NE LUI RESSEMBLE PAS; non, que cette chère fille s","(910573, 910610)","(828110, 828147)"
Sade_Justine_0,"'impossibilité d'y vivre; car LA PREMIÈRE LOI DE LA NATURE EST le soin de se conserver. 
Ain","ilà dérangé. Si l'égoïsme est LA PREMIÈRE LOI DE LA NATURE, C'EST bien sûrement plus qu'ailleur","(488844, 488876)","(338385, 338420)"
Sade_Justine_1,ôt appris de lui-même. Oh que CE N'EST PAS LÀ CE QU'IL FAUT faire Il s'agit moins de lui ,rts superflus s'écrie-t-il... CE N'EST PAS LÀ CE QU'IL ME FAUT ... au fait ... au fait ... q,"(529129, 529158)","(338385, 338420)"
Sade_Justine_2,"udie, je les observe; etamp;, LE PREMIER OBJET QUI SE PRÉSENTE À MOI pour les comparer, c'est moi-",our paraît enfin : juste ciel LE PREMIER OBJET QUI SE PRÉSENTE À MOI... c'est le comte lui-même : ,"(732248, 732286)","(338385, 338420)"
Sade_Justine_3,"ment des voyageurs. Monsieur, LUI DIT LE MAÎTRE DE LA MAISON, vous me paraissez un jeune h","ous l'allez voir, mon enfant, LUI DIT LE MAÎTRE DE LA MAISON en l'attirant brusquement ver","(1173777, 1173807)","(338385, 338420)"
Sade_Philosophie_0,"son sexe etamp; du nôtre. 
En TOUT CE QUI NE TIENT PAS AU sexe, la femme est homme elle","ont elles sont pénétrées pour TOUT CE QUI NE TIENT PAS AU culte admis... Eh, dis-moi, m","(992041, 992068)","(5965, 5992)"
Sade_Philosophie_1,; folâtres jeux. Je n'imagine RIEN DE PLUS RIDICULE QUE DE VOIR UN vieux maître à danser ou à ch,nge ces chaînes ? Et y a-t-il RIEN DE PLUS RIDICULE QUE DE VOIR UNE jeune fille de quinze ou seiz,"(1047916, 1047952)","(5965, 5992)"
Sade_Philosophie_2,"voit partir comme un oiseau. 
LES FEMMES NE SONT PAS FAITES POUR courir; quand elles fuient, c","bientôt fatal à vos plaisirs. LES FEMMES NE SONT PAS FAITES POUR un seul homme, c'est pour tou","(1248168, 1248202)","(5965, 5992)"
Segur_Correspondance_0,"gardes, etamp; par conséquent TOUT CE QUI EST LE PLUS PROPRE à m'effrayer. 
N'entends-je a",a faire souvenir de leur dire TOUT CE QUI EST LE PLUS PROPRE à les gagner. Quand je vous d,"(302361, 302391)","(40259, 40289)"
Senac_Emigre_0,"yale en imposait aux peuples. DES MARQUES DE DIGNITÉ, UN TRÔNE, UN SCEPTRE, UNE ROBE DE POURPRE, UNE COURONNE, UN BANDEAU, ÉTAIENT POUR eux des choses sacrées. Ces s","e me trouvais à Versailles. « DES MARQUES DE DIGNITÉ, UN TRÔNE, UN SCEPTRE, UNE ROBE DE POURPRE, UNE COURONNE, UN BANDEAU, ÉTAIENT POUR les hommes des choses sacrées","(885156, 885261)","(60618, 60723)"
Senac_Emigre_1,"es. Ces signes respectés leur RENDAIENT VÉNÉRABLE L'HOMME QU'ILS EN VOYAIENT ORNÉ: SANS SOLDATS, SANS MENACES, SITÔT QU'IL PARLAIT IL ÉTAIT OBÉI. MAINTENANT QU'ON AFFECTE D'ABOLIR CES SIGNES, QU'ARRIVE-T-IL DE CE MÉPRIS? QUE LA MAJESTÉ ROYALE S'EFFACE DE TOUS LES CŒURS, QUE LES ROIS NE se font plus obéir qu'à force","hommes des choses sacrées, et RENDAIENT VÉNÉRABLE L'HOMME QU'ILS EN VOYAIENT ORNÉ. SANS SOLDATS, SANS MENACES, SITÔT QU'IL PARLAIT IL ÉTAIT OBÉI ; MAINTENANT QU'ON AFFECTE D'ABOLIR CES FIGUES, QU'ARRIVE-T-IL DE CE MÉPRIS ? QUE LA MAJESTÉ ROYALE S'EFFACE DE TOUS LES CŒURS, QUE LES ROIS NE sont plus obéis qu'à force de","(885312, 885568)","(60618, 60723)"
Senac_Emigre_2,"dans la crainte du châtiment. LES ROIS N'ONT PLUS LA PEINE DE PORTER LEUR DIADÈME, NI LES GRANDS LES MARQUES DE LEURS DIGNITÉS; MAIS IL FAUT AVOIR CENT MILLE BRAS TOUJOURS PRÊTS POUR FAIRE EXÉCUTER LEURS ORDRES. QUOIQUE CELA LEUR SEMBLE PLUS BEAU PEUT-ÊTRE, IL EST AISÉ DE VOIR QU'À LA LONGUE CET ÉCHANGE NE leur tournera pas à profit. 
"," obéis qu'à force de troupes. LES ROIS N'ONT PLUS LA PEINE DE PORTER LEUR DIADÈME, NI LES GRANDS LES MARQUES DE LEURS DIGNITÉS ; MAIS IL FAUT AVOIR CENT MILLE BRAS POUR FAIRE EXÉCUTER LEURS ORDRES. QUOIQUE CELA LEUR SEMBLE PLUS BEAU, PEUT-ÊTRE, IL EST AISÉ DE VOIR QU'À LA LONGUE CET ÉCHANGE NE tournera pas à leur profit. »","(885684, 885961)","(60618, 60723)"
Senac_Emigre_3,"s?... je n'en sais rien; mais CE QUE JE SAIS, C'EST QUE JE NE reverrais de ma vie celui qui","n revient à dire avec Socrate : CE QUE JE SAIS, C'EST QUE JE ne sais rien . La plupart des ","(1265523, 1265554)","(60618, 60723)"
Souza_Adele_0," Sophie, etamp; rebutait tout CE QUI N'ÉTAIT PAS ELLE. JE NE la cherchais plus, je la poss"," l'environnait, ne louant que CE QUI N'ÉTAIT PAS À ELLE, JE NE doutais pas qu'elle ne devinâ","(1403376, 1403406)","(31786, 31818)"
Tiphaigne_Galligenes_0,mp; fournissent plus de lait. JE NE SUIS POINT DU TOUT DE ce sentiment; etamp; j'ai pou,"oujours été ce qu'ils sont“. 
JE NE SUIS POINT DU TOUT DE l'avis de Duncan, etamp; je c","(64691, 64718)","(78246, 78273)"
Tiphaigne_Galligenes_1,"s, les rivières sont chaudes; IL N'EN EST PAS DE MÊME DES SOURCES, qui n'ont pas reçu le contac",elque abondant qu'ils saient. IL N'EN EST PAS DE MÊME DES CLIMATS qui inclinent au froid. Ils d,"(284490, 284525)","(78246, 78273)"
Voltaire_Homme_0,longement redevient vertical. IL EN EST DE MÊME DES INCLINATIONS des hommes. Tant qu'on reste ,strie grossière du laboureur. IL EN EST DE MÊME DES RECEVEURS des deniers publics. Votre ta,"(4530, 4564)","(29037, 29068)"
Voltaire_Princesse_0," Vous lui dites sans cesse: "" TOUT CE QUE JE VOUS DEMANDE EST POUR votre avantage; mais vous n'ê","ans qu'il soit de la partie : TOUT CE QUE JE VOUS DEMANDE, C'EST QUE votre grand aumônier boive av","(440938, 440974)","(50844, 50882)"
