,Text in LaPlace_Collection,Text in B,Location in LaPlace_Collection,Location in B
Lagrave_Sophie_0,"portrait d'Oronoko, m'inspira LE PLUS GRAND DÉSIRS DE LE VOIR, sur tout lorsque j'appris qu", garçon charmant. Elle avait sAIT NAÎTRE EN MOI LE PLUS GRAND désirs de le voir. Ma tête ét,"(19459, 19490)","(170754, 170785)"
Lagrave_Sophie_1,"sse, dès lors, l'aveu sincère DE TOUT CE QUI SE PASSAIT DANS mon âme. Ce ne fut point le d","yeux fixément arrêtés sur lui, JE POUVAIS JUGER DE TOUT CE Qui se passait dans son âme. 
E","(429232, 429262)","(170754, 170785)"
Lagrave_Zabeth_0,n allait rendre compte au roi DE CE QUI VENAIT DE SE PASSER. On suppliait enfin le prince," avec son fils, le cœur serré DE CE QUI VENAIT DE SE PASSER. 
Zabeth resta près de sa tan","(51633, 51662)","(197963, 197992)"
Lagrave_Zabeth_1,"ns à votre rang, et regardons TOUT CE QUI VIENT DE SE PASSER, comme non avenu. 
Ce discour","vez être étonné, monsieur, de TOUT CE QUI VIENT DE SE PASSER vis-à-vis de vous? La mission","(134710, 134740)","(197963, 197992)"
Lagrave_Zabeth_2,"ire qu'un mot. Mais sur-tout, AU NOM „DE L'AMITIÉ QUE J'AI POUR toi, sois tranquille, „et ne ","--Mon cher fils! calmez-vous, AU NOM DE L'AMITIÉ QUE J'AI POUR vous! Ecoutez le récit des ma","(269701, 269734)","(197963, 197992)"
Leonard_Lettres_0,"ir ne vous quitter jamais, et VOUS DIRE „SANS CESSE QUE JE VOUS AIME, que je vous aimerai „toujour","r etamp; mon amie! Je pourrai VOUS DIRE SANS CESSE QUE JE VOUS AIME! Vous m'écouterez, etamp; vot","(370522, 370560)","(40937, 40974)"
Lesuire_Crime_0,"s son espèce. Elles possédant TOUT CE QUI EST DU RESSORT DE ce que nous appelons Beauté, ","mes, la Philosophie, les Arts, “TOUT CE QUI EST DU RESSORT de l'esprit “humain. Sa Majest","(11795, 11824)","(659957, 659986)"
Lesuire_Crime_1,"étais proposé de vous donner; MAIS „IL NE M'A PAS ÉTÉ POSSIBLE DE vous en entretenir, et bientô","t affreux, je voulais l'éviter; MAIS IL NE M'A PAS ÉTÉ POSSIBLE de le faire. La malédiction du","(223155, 223190)","(659957, 659986)"
Louvet_Annee_0,"vous „devez bien m'aimer! car JE SENS BIEN QUE JE „VOUS AIME plus que ma sœur elle-même, e","imère. "" Sophie! M'écriai-je, JE SENS BIEN QUE JE VOUS AIME; mais avez-vous partagé mon t","(298624, 298654)","(5682, 5711)"
Louvet_Annee_1,"pable„. Je lui racontai alors TOUT CE QUI M'ÉTAIT ARRIVÉ DEPUIS LE MOMENT DE cette cruelle séparation, les",sés; je lui racontais ensuite TOUT CE QUI M'ÉTAIT ARRIVÉ DEPUIS LE MOMENT DE notre séparation jusqu'à celu,"(445985, 446031)","(5682, 5711)"
Louvet_Fin_0," dussé-je être plus dangereux QUE JE NE LE SUIS EN EFFET, mon cœur n'aima ni n'aimera ",ces me montrent plus coupable QUE JE NE LE SUIS EN EFFET.—Comment! vous ne m'avez peut,"(84640, 84666)","(85240, 85266)"
Marmontel_Belisaire_0,"i „les dons que je vous fais, IL EN EST UN QUE JE „DÉSIRE ET QUE je crois devoir vous être plu","nstitutions de nos empereurs, IL EN EST UNE QUE JE RÉVÉRE, ET QUE je désire ardemment de voir r","(226627, 226661)","(141357, 141392)"
Marmontel_Contes_0,ils ne voyaient qu'eux seuls. TOUT CE QUE L'AMOUR A DE PLUS TENDRE dans ses caresses et de plus ,e de s'y réduire; et dès-lors TOUT CE QUE L'AMOUR A DE PLUS TENDRE fut mis en usage pour la touc,"(87022, 87058)","(80182, 80218)"
Marmontel_Contes_1,"quer d'y produire leur effet, ET JE NE FUS PAS LONG-TEMPS sans éprouver encore d'une ma",".-je vous en répons, mon ami, ET JE NE FUS PAS LONG-TEMPS à m'en apercevoir. Je le trai","(269934, 269961)","(80182, 80218)"
Marmontel_Incas_0,".... Vous voyez ma situation: JE N'AI PLUS QUE QUELQUES JOURS À „VIVRE; je me soumets, sans murmure,",riez vous-mêmes. Laissez-moi. JE N'AI PLUS QUE QUELQUES JOURS À VIVRE. Ce n'est pas la peine de pri,"(186440, 186480)","(186338, 186377)"
Mercier_Jezennemours_0,"ndant le reste du voyage, fut TRAITÉ AVEC TOUS LES ÉGARDS DÛ À SON rang. 
Mais rien ne pouvait l","due sur la place. Elle se vit TRAITÉE AVEC TOUS LES ÉGARDS DÛ À SON sexe, avant même qu'elle appr","(72787, 72823)","(324054, 324091)"
Mirabeau_Conversion_0,"e n'avais point encore „vu. C'EST UN JEUNE HOMME, DE LA PLUS HEUREUSE espérance; nous voulons le pl","int-Dominique. Le fils unique EST UN JEUNE HOMME DE LA PLUS GRANDE espérance ; il a de l'esprit,","(237462, 237501)","(170496, 170532)"
Mirabeau_Rideau_0,"satisfait. Je me flattais que LA PASSION QU'IL AVAIT PRISE POUR MOI, contribuait au progrès que l"," moyen de me faire apercevoir LA PASSION QU'IL AVAIT PRISE POUR MOI. Il me cherchait, il me suiva","(424224, 424261)","(92738, 92775)"
Mirabeau_Rideau_1," lui attira aucune jalousie. 
DEPUIS CE MOMENT, NOUS NE NOUS QUITTIONS PRESQUE PLUS, et la sœur Agathe me servait","elâmes dès lors notre secret. DEPUIS CE MOMENT NOUS NE NOUS QUITTIONS PRESQUE PLUS. 
Quelques jours après, nous ","(452932, 452985)","(92738, 92775)"
Nerciat_Aphrodites_0,", les yeux baignés de larmes, QUE „VOULEZ-VOUS QUE JE VOUS DISE? et que puis-je „répondre à u","rer d'agrément. 
Mad. Durut. 
QUE VOULEZ-VOUS QUE JE VOUS DISE, Madame!--Il est galant-homme","(248250, 248283)","(13741, 13773)"
Nerciat_Etourdi_0," persécutions de sa „famille; ET, SI JE SUIS ASSEZ MALHEUREUSE POUR „qu'il soit capable de change",", il est brûlant et sensible, ET SI JE SUIS ASSEZ MALHEUREUSE POUR ne pas inspirer au Chevalier ","(372794, 372831)","(128033, 128069)"
Nerciat_Felicia_0,"tout exiger d'elle... et „que JE NE PUIS ÊTRE HEUREUX QUE PAR son assistance„. 
Aboan enten","e ne prends point le change ; JE NE PUIS ÊTRE HEUREUX QUE PAR...---Vous le serez, mon cher ","(43625, 43656)","(503044, 503075)"
Popeliniere_Daira_0," des vœux de la défunte, dont JE N'EUS RIEN DE PLUS PRESSÉ QUE DE remplir les intentions. Et, s","port qu'elle me causa, etamp; JE N'EUS RIEN DE PLUS PRESSÉ QUE DE préparer nos équipages. Nous ","(190433, 190468)","(229847, 229882)"
Prevost_Manon_0," et je retombai dans l'état d'OÙ JE NE FAISAIS QUE DE SORTIR. 
Quand je revins à moi, je m",t où elle était et de celui d'OÙ JE NE FAISAIS QUE DE SORTIR. M. de T*** nous consola par ,"(164720, 164750)","(160096, 160126)"
Prevost_Monde_0,"ême n'influe pas toujours sur LES QUALITÉS DU CŒUR ET DE L'ESPRIT. Ces dons de la fortune, ou d","nclinations douces, et toutes LES QUALITÉS DU CŒUR ET DE L'ESPRIT, qui font les plus puissant c","(59712, 59747)","(446020, 446055)"
Prevost_Monde_1,"re si différent „du sien, que VOUS NE DEVEZ PAS ÊTRE SURPRIS „QUE J'EN sois alarmée.... Soyez sûre, ","ien à la vérité du sentiment. VOUS NE DEVEZ PAS ÊTRE SURPRIS QUE JE sois grec, comme vous êtes ro","(249197, 249237)","(446020, 446055)"
Retif_AntiJustine_0,e de confusion. Le commandeur NE ME DONNA PAS LE TEMPS DE RÉFLÉCHIR sur une nouvelle si imprévue;,"ain tiède. 
Mon amoureux père NE ME DONNA PAS LE TEMPS DE RÉFLÉCHIR. Dès qu'une serviette fine eu","(200089, 200126)","(192193, 192230)"
Retif_Paysanne_0, il s'est „plaint à moi de ce QUE VOUS NE LUI AVIEZ PAS „FAIT RÉPONSE. Je lui ai dit que la retenue,"bonnement que dire, si ce n'esT QUE VOUS NE LUI AVIEZ PAS FAIT RÉPONse ; et deux larmes qu'elle tâ","(312944, 312983)","(904521, 904559)"
Riccoboni_LettreJuliette_0,de me faire entrer à l'Opéra? JE NE SAIS CE QUE „C'EST; MAIS JE me souviens que madame la com,t je suis occupée... c'est... JE NE SAIS CE QUE C'EST; MAIS JE suis triste. Je vais me mettr,"(248421, 248454)","(98551, 98583)"
Riccoboni_LettreJuliette_1,es gardes s'approcher de moi. JE NE SAIS CE QUE LE COMTE DIT au chef de cette troupe; pour,; un froid mortel m'a saisie. JE NE SAIS CE QUE LE COMTE M'A DIT; je ne sais comment il a rass,"(390212, 390242)","(98551, 98583)"
Riccoboni_LettresFanni_0,"a lui avoir donnée! La beauté DE SON ÂME, LA BONTÉ DE SON CŒUR, LA sûreté de son caractère et la",", je me rappelle les qualités DE SON ÂME, LA BONTÉ DE SON CŒUR, LA générosité, la candeur, l'élé","(410577, 410613)","(7702, 7738)"
Riccoboni_MissJenny_0,"nstruit, l'amour de la patrie REPRIT TOUS SES DROITS SUR SON CŒUR. 
Amis! dit-il, en demandant ","it naturellement susceptible, REPRIT TOUS SES DROITS SUR SON CŒUR: elle pleurait encore; mais e","(61067, 61102)","(513438, 513473)"
Rosny_Firmin_0,"mpte exact de ma conduite, et DE TOUT CE QUI M'ÉTAIT ARRIVÉ DEPUIS que je ne l'avais vu. Je m'en","ui fis, à mon tour, le détail DE TOUT CE QUI M'ÉTAIT ARRIVÉ DEPUIS notre séparation, et je lui r","(350258, 350294)","(175122, 175158)"
Rousseau_Emile_0,"on. 
Byam, en arrivant, n'eut RIEN DE PLUS PRESSÉ QUE DE FAIRE châtier cruellement les nègre","es autres corps, nous n'avons RIEN DE PLUS PRESSÉ QUE DE FAIRE une machine semblable à celle","(137876, 137908)","(431048, 431080)"
Rousseau_Julie_0,"urait par moi la connaissance DE CE QUI VENAIT DE SE PASSER, ET QUE je n'entretiendrois madame la"," départ, il me fit confidence DE CE QUI VENAIT DE SE PASSER, ET COMME je prévis où il en allait ven","(406251, 406288)","(297057, 297096)"
Rousseau_Julie_1," „ma chère bonne, lui dis-je, JE N'AI PAS LA FORCE „DE VOUS parler; mais soyez assurée qu","z toutes mes faiblesses, mais JE N’AI PAS LA FORCE DE VOUS les dire. Cher Wolmar, c’est ","(442033, 442062)","(297057, 297096)"
Rousseau_Julie_2," âme. “... Ah! ma chère mère, LUI „DIS-JE, IL EST TROP VRAI qu'on m'a trompée. Que „dites","e; mais vous n’êtes rien. Ah! LUI DIS-JE, IL EST TROP VRAI. Tout ce que j’avais de bon m","(548762, 548791)","(297057, 297096)"
Rousseau_Julie_3,"epos? Vous devez avoir besoin DE L'UN ET „DE L'AUTRE, ET VOUS ne devez plus songer à quitte",us deux ce que j’avais espéré DE L’UN ET DE L’AUTRE; ET VOUS avez trop bien justifié le ju,"(586774, 586805)","(297057, 297096)"
Sade_Aline_0,n allait rendre compte au roi DE CE QUI VENAIT DE SE PASSER. On suppliait enfin le prince,"c la promesse de ne rien dire DE CE QUI VENAIT DE SE PASSER. Partez, monsieur, me dit le ","(51633, 51662)","(223921, 223950)"
Sade_Aline_1,"able; d'un état trop peu fait POUR DES ÂMES COMME LES NÔTRES. S'IL faut périr, cher Jamoan, la m"," une impunité bien délicieuse POUR DES ÂMES COMME LES NÔTRES . 
IL me paraît d’ailleurs essentie","(118932, 118968)","(223921, 223950)"
Sade_Aline_2,"t chez moi le ressentiment de LA PERTE QUE JE VENAIS DE FAIRE, je suis obligée d'avouer que","ion, lorsque huit jours après LA PERTE QUE JE VENAIS DE FAIRE, et comme je réfléchissais au","(212736, 212767)","(223921, 223950)"
Sade_Aline_3," yeux baignés de larmes, que „VOULEZ-VOUS QUE JE VOUS DISE? ET que puis-je „répondre à un di","ophète tel que vous me voyez, VOULEZ-VOUS QUE JE VOUS DISE CE qui va arriver; la France épr","(248255, 248287)","(223921, 223950)"
Sade_Aline_4,"n elle employa le souvenir de CE QUI M'ÉTAIT LE PLUS CHER AU MONDE, pour me distraire du projet ","prendre des nouvelles de tout CE QUI M’ÉTAIT LE PLUS CHER AU MONDE, toutes ces raisons me décidè","(569158, 569194)","(223921, 223950)"
Sade_Infortunes_0,"osé pendant quelques heures, (CE QUI NE LUI ÉTAIT PAS ARRIVÉ DEPUIS quatre jours) il fut invité à","t me voir la veille à minuit, CE QUI NE LUI ÉTAIT PAS ARRIVÉ DEPUIS bien longtemps ; ce fut lui-m","(71232, 71269)","(227664, 227701)"
Sade_Infortunes_1,"édictions sur mon entreprise. LE LENDEMAIN, DÈS LA POINTE DU JOUR, on vint, comme il me l'avait","us d'éclaircissement, je suis LE LENDEMAIN DÈS LA POINTE DU JOUR ramenée dans la prison de Lyo","(378488, 378523)","(227664, 227701)"
Sade_Justine_0,"ns à votre rang, et regardons TOUT CE QUI VIENT DE SE PASSER, COMME non avenu. 
Ce discours ne fa","ame, vous ici m'écriai-je. 
--TOUT CE QUI VIENT DE SE PASSER EST mon ouvrage, me répondit ce m","(134710, 134747)","(581044, 581078)"
Sade_Philosophie_0,"ant de „son autorité, a tenté DE L'ÉTENDRE AU-DELÀ DES „BORNES QUE mylord y avait prescrites! Ma",ne pas lui laisser les moyens DE S'ÉTENDRE AU-DELÀ DES BORNES QUE sa félicité lui prescrit. Gar,"(110519, 110555)","(316304, 316339)"
Segur_Correspondance_0,"e, il paraît assez nécessaire DE METTRE SOUS LES YEUX DU LECTEUR un tableau racourci des mœurs","orts, il doit l'être au moins DE METTRE SOUS LES YEUX DU LECTEUR tout ce qui peut contribuer à","(9885, 9919)","(329713, 329747)"
Segur_Correspondance_1,us m'avez envoyé par lui des „LETTRES QUE VOUS AVEZ EU LA BONTÉ DE M'ÉCRIRE: „il s'est servi de la permis,"II. 
Paris, 1726 J'ai reçu la LETTRE QUE VOUS AVEZ EU LA BONTÉ DE M'ÉCRIRE de votre campagne: je ne dout","(303598, 303643)","(329713, 329747)"
Segur_Correspondance_2,"t qu'elle vous avait informée DE „TOUT CE QUE JE VIENS DE VOUS apprendre. Jugez, „mademoisel","ien. Vous pouvez être assurée DE TOUT CE QUE JE VIENS DE VOUS conter, je le tiens d'un ami ","(337639, 337671)","(329713, 329747)"
Segur_Correspondance_3,"e. Mais non, ma chère Cécile: JE CONNAIS „LA BONTÉ DE VOTRE CŒUR, VOUS en seriez moins „heureuse....","ends part à votre affliction. JE CONNAIS LA BONTÉ DE VOTRE CŒUR; VOUS serez toujours affligée, de q","(567141, 567181)","(329713, 329747)"
Senac_Emigre_0,"César, Byam, quoique flottant ENTRE LA VIE ET LA MORT, NE songeait qu'à consommer sa ve","ureux prisonnier, qui se voit ENTRE LA VIE ET LA MORT, NE chicane pas sur les termes. L","(157902, 157929)","(85348, 85375)"
Senac_Emigre_1,"re et par les bonnes qualités DE SON CŒUR ET DE SON ESPRIT, l'estime et la considération",", et il pourra parler la languE DE SON CŒUR ET DE SON ESPRit. Cette circonstance ajoute ","(411422, 411450)","(85348, 85375)"
Souza_Adele_0, vouloir en savoir davantage. JE NE FUS PAS LONG-TEMPS SANS être mieux éclaircie des indi,"…. Je suis resté, Henri! mais JE NE FUS PAS LONG-TEMPS SANS me le reprocher. A peine fus-","(242930, 242959)","(110474, 110503)"
Tiphaigne_Galligenes_0," que César nous fit le détail DE TOUT CE QUE JE VIENS DE raconter, et qu'il nous suppl"," servira de titre à la vérité DE TOUT CE QUE JE VIENS DE narrer comme j'ai pu. 
J'ai o","(157188, 157214)","(232064, 232090)"
Voisenon_Histoire_0,"ondit-il, ce serait dommage„! JE NE PUS M'EMPÊCHER DE RIRE DE CETTE saillie; mais je lui dis, en "," quoi est le génie des maris. JE NE PUS M'EMPÊCHER DE RIRE DE CETTE peinture, sur-tout dans la bo","(275012, 275049)","(48373, 48410)"
Voltaire_Candide_0,"inda de son extrême fidélité, DE TOUT CE QU'IL AVAIT SOUFFERT, ET de tout ce qu'il lui avait di","né de tout ce qu'il avait vu, DE TOUT CE QU'IL AVAIT SOUFFERT, ET encore plus de la charité de ","(39695, 39730)","(28223, 28258)"
Voltaire_Candide_1,"s, je me croirai, sans doute, LE PLUS HEUREUX DE TOUS LES HOMMES.... Mais, je vous en „donne i", ; avançons ; vous allez être LE PLUS HEUREUX DE TOUS LES HOMMES. Quel plaisir auront Los Padr,"(246987, 247021)","(28223, 28258)"
