,Text in Genlis_Chevaliers,Text in B,Location in Genlis_Chevaliers,Location in B
Riccoboni_MissJenny_0,"s et n'entendais plus rien de CE QUI SE PASSAIT AUTOUR DE MOI, lorsque tout à coup une port",ût été difficile d'apercevoir CE QUI SE PASSAIT AUTOUR DE MOI. Nous sortîmes de chez le min,"(125953, 125984)","(184206, 184237)"
Riccoboni_MissJenny_1,"s mes forces m'abandonnèrent, ET JE TOMBAI SANS CONNAISSANCE AUX PIEDS d'Ordalie. Maintenant, poursu"," froid mortel glaça mon cœur, ET JE TOMBAI SANS CONNAISSANCE AUX PIEDS de miladi. Au cri perçant que","(491320, 491360)","(184206, 184237)"
Rosny_Firmin_0,premier objet que j'aie aimé; JE VOUS VIS POUR LA PREMIÈRE FOIS à votre retour de la Lombardi, est à vous depuis le jour où JE VOUS VIS POUR LA PREMIÈRE FOIS. J'ai cru devoir vous laisser,"(650449, 650482)","(26431, 26464)"
Rosny_Firmin_1,"avec indignité une femme qui, DAIGNANT OUBLIER LA DISTANCE QUI NOUS SÉPARAIT, me préférait aux plus illust","cieuses ! mon adorable Sophie DAIGNA OUBLIER LA DISTANCE QUI NOUS SÉPARAIT, pour ne s'occuper que de mon","(740748, 740794)","(26431, 26464)"
Rousseau_Emile_0,"rche: il m'a répondu qu'après CE QUE VOUS AVEZ FAIT POUR LUI, il vous l'aurait offerte, s'","s yeux sur lui-même, il verra CE QUE VOUS AVEZ FAIT POUR LUI; quand il pourra se comparer ","(73859, 73889)","(612896, 612926)"
Rousseau_Emile_1,"t ce que j'ai souffert, après TOUT CE QUE VOUS AVEZ FAIT POUR moi, vous n'avez plus le droi",faut prendre le contrepied de TOUT CE QUE VOUS AVEZ FAIT POUR conduire un enfant. Ne balanc,"(305117, 305148)","(612896, 612926)"
Rousseau_Julie_0,"rche: il m'a répondu qu'après CE QUE VOUS AVEZ FAIT POUR LUI, il vous l'aurait offerte, s'", trompé. Il est digne de tout CE QUE VOUS AVEZ FAIT POUR LUI sans le bien connaître; vous ,"(73859, 73889)","(378058, 378088)"
Rousseau_Julie_1,"e; je descendis en frémissant AU FOND DE MON CŒUR, JE N'Y TROUVAI que toi... la vie me devint o",e nourrir une honte éternelle AU FOND DE MON CŒUR. JE SAVAIS que mon père me donnerait la ,"(302980, 303015)","(378058, 378088)"
Rousseau_Julie_2,"t un moment toute son audace; ET, POUR LA PREMIÈRE FOIS DE SA VIE, un sentiment qui ressemblait"," sentir que je lui convenois, ET POUR LA PREMIÈRE FOIS DE SA VIE il prit un attachement. Ce go","(432576, 432611)","(378058, 378088)"
Rousseau_Julie_3,"a première lettre d'Abassa, j'AUROIS DONNÉ LA MOITIÉ DE MA VIE POUR une demi-heure de liberté; ma","incèrement mon pauvre mari, j’AUROIS DONNÉ LA MOITIÉ DE MA VIE POUR passer l’autre avec lui; et p","(597988, 598025)","(378058, 378088)"
Rousseau_Julie_4," dans une obscurité profonde. POUR LA PREMIÈRE FOIS DE MA VIE JE CONNUS la terreur. Mon imagination, ","’affligeait avant le temps et POUR LA PREMIÈRE FOIS DE MA VIE, JE CONNUS l’inquiétude et la tristesse.","(617645, 617686)","(378058, 378088)"
Sade_120_0,"nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, c'est que, dans une de nos s","faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","(184248, 184277)","(428067, 428096)"
Sade_120_1,"tout le sentiment de l'amitié LA PLUS TENDRE ET LA PLUS EXALTÉE; en me parlant d'elle, ses pl","et de la physionomie du monde LA PLUS TENDRE ET LA PLUS AGRÉABLE. ? En vérité, monsieur,"" dit ","(187595, 187628)","(428067, 428096)"
Sade_Aline_0,"nom de mon indigne ravisseur; TOUT CE QUE JE PUIS VOUS DIRE, C'EST que, dans une de nos solennit","sés à des collatéraux … c’est TOUT CE QUE JE PUIS VOUS DIRE, QUI que ce fut que vous interroge","(184248, 184284)","(273080, 273114)"
Sade_Aline_1,"u château... eh, pourquoi? M'éCRIAI-JE EN LA SAISISSANT DANS MES BRAS... ah! Répondit-elle, parce q"," de cette aventure… . Non, m’éCRIAI-JE, EN LA SAISISSANT DANS MES BRAS… . Non, je ne mangerai pas le","(365232, 365271)","(273080, 273114)"
Sade_Aline_2,"u'ils sentiront véritablement LE PRIX DE TOUT CE QUE JE FAIS POUR eux... mais, seigneur, repris","nsport, recevrai-je enfin ici LE PRIX DE TOUT CE QUE JE FAIS POUR te mériter; Ah! répondis-je, ","(549702, 549737)","(273080, 273114)"
Sade_Aline_3, dans une obscurité profonde. POUR LA PREMIÈRE FOIS DE MA VIE JE connus la terreur. Mon imagin,"soin que j’en ai est tel, que POUR LA PREMIÈRE FOIS DE MA VIE, JE ne sais pas même si je vous o","(617645, 617679)","(273080, 273114)"
Sade_Infortunes_0,"un pêcheur, et un jeune homme DE LA FIGURE LA PLUS INTÉRESSANTE, ET décoré des marques de la chev","fille de l'âge de quinze ans, DE LA FIGURE LA PLUS INTÉRESSANTE ET la plus délicate ; ses yeux q","(230116, 230153)","(184566, 184602)"
Sade_Justine_0," amoureux de tous les hommes. JE NE FERMAI PAS L'ŒIL DE LA NUIT; je me levai avec le jour, et","oulait me dire cet homme, que JE NE FERMAI PAS L'ŒIL DE LA NUIT. J'arrive enfin à l'adresse i","(359248, 359281)","(452624, 452657)"
Sade_Philosophie_0,"ouverains. Pour vous, prince, VOUS ÊTES TROP ÉCLAIRÉ POUR NE PAS SENTIR qu'il n'existe de roi légitim","u'on va promulguer. 
Français VOUS ÊTES TROP ÉCLAIRÉS POUR NE PAS SENTIR qu'un nouveau gouvernement va","(312613, 312654)","(248108, 248150)"
Segur_Correspondance_0,"igneurs chevaliers, dit-elle, JE VAIS VOUS CONTER TOUTE CETTE HISTOIRE; mais ça commence par une cha",Couvreur l'a beaucoup occupé. JE VAIS VOUS CONTER TOUTE CETTE HISTOIRE un peu au long. Madame de Bou,"(78147, 78187)","(533155, 533195)"
Senac_Emigre_0,"u dîner. Enfin, Olivier parut AU MOMENT DE SE METTRE À TABLE; IL était si faible qu'il pouvait",ez monsieur de *** le ChevalieR AU MOMENT DE SE METTRE À TABLE. Il me fit une révérence respec,"(36849, 36883)","(508104, 508138)"
Senac_Emigre_1,"souvenirs oppressent mon cœur DANS TOUS LES INSTANTS DE MA VIE, ILS me poursuivent dans mes songe","ns ses plus petits replis, et QUE DANS TOUS LES INSTANTS DE MA VIE, il lise toujours la plus sec","(57631, 57668)","(508104, 508138)"
Souza_Adele_0,"ne voyais et n'entendais plus RIEN DE CE QUI SE PASSAIT AUTOUR de moi, lorsque tout à coup u","ête d'Adèle, qui n'apercevait RIEN DE CE QUI SE PASSAIT AUTOUR d'elle. Sa mère m'a repoussé,","(125945, 125977)","(240461, 240493)"
Tiphaigne_Galligenes_0,"meurtrier! ... Idée terrible, MILLE FOIS PLUS CRUELLE QUE LA MORT! ... Ô crime de l'amour, en e","tamp; suffoqués, est pour lui MILLE FOIS PLUS CRUELLE QUE LA MORT. Il ne peut se sauver avec eu","(454343, 454378)","(32168, 32203)"
Tiphaigne_Galligenes_1,"ne, il n'aurait pu dissimuler CE QUI SE PASSAIT DANS SON CŒUR. Connoissant sa faiblesse, et","aient de voir, dans ses yeux, CE QUI SE PASSAIT DANS SON CŒUR. Almont, comme un homme qui a","(898545, 898576)","(32168, 32203)"
