,Text in Lesuire_Aventurier,Text in B,Location in Lesuire_Aventurier,Location in B
Sade_Infortunes_0,ment une par“tie de plaisir.“ IL N'EN FALLUT PAS DAVANTAGE POUR ME FAIRE consentir à tout. „Je “suis p,"t cent mille écus de rentes. 
IL N'EN FALLUT PAS DAVANTAGE POUR FAIRE sa réputation ; l'aveuglement","(352950, 352992)","(14594, 14633)"
Sade_Infortunes_1,ux de ma compagne me disoient QUE JE NE LUI ÉTAIS PAS INDIFFÉRENT. Je ne pus m'empêcher de lui ,"elquefois l'orgueil de croire QUE JE NE LUI ÉTAIS PAS INDIFFÉRENTE, mais combien l'excès de ses ","(495496, 495531)","(14594, 14633)"
Sade_Infortunes_2,"du ton le plus déterminé, que SI VOUS “NE VOULEZ PAS QUE JE vous serve, comme “ci-devant,",nstant vous ouvrir à mes yeux SI VOUS NE VOULEZ PAS QUE JE me révolte contre vos lois De,"(505157, 505186)","(14594, 14633)"
Sade_Infortunes_3,mais.“Cette menace m'effraya; JE FIS TOUT CE QUE JE PUS POUR LA faire changer de résolution; ,"e vais-je devenir, grand Dieu JE FIS TOUT CE QUE JE PUS POUR LA calmer, mais rien n'y parvint","(505270, 505303)","(14594, 14633)"
Sade_Justine_0,émoignai quelques attentions. IL N'EN FALLAIT PAS DAVANTAGE POUR FAIRE prendre feu à ce laid personn,ait cent mille écus de rente. IL N'EN FALLAIT PAS DAVANTAGE POUR FAIRE sa réputation ; l'aveuglement,"(448554, 448594)","(17127, 17167)"
Sade_Justine_1,ux de ma compagne me disoient QUE JE NE LUI ÉTAIS PAS INDIFFÉRENT. Je ne pus m'empêcher de lui ,uefois la faiblesse de croire QUE JE NE LUI ÉTAIS PAS INDIFFÉRENTE. Mais combien l'excès de ses ,"(495496, 495531)","(17127, 17167)"
Sade_Justine_2,"du ton le plus déterminé, que SI VOUS “NE VOULEZ PAS QUE JE vous serve, comme “ci-devant,","i-je, vous ouvrir à mes yeux, SI VOUS NE VOULEZ PAS QUE JE me révolte contre vous » Des ","(505157, 505186)","(17127, 17167)"
Sade_Philosophie_0,"? comment avais-je pu prendre UNE JEUNE FILLE DE QUINZE OU SEIZE ans, pour un Confesseur? C'es"," de plus ridicule que de voir UNE JEUNE FILLE DE QUINZE OU SEIZE ans, brûlée par des désirs qu","(229541, 229575)","(65198, 65232)"
Sade_Philosophie_1,"gue, sans nous en apercevoir. IL FAUT BIEN QUE CELA SOIT, PUISQU'AU bout de deux mois il se trouv","a superstition au royalisme , IL FAUT BIEN QUE CELA SOIT SANS doute, puisqu'un des premiers","(321577, 321614)","(65198, 65232)"
Segur_Correspondance_0," Il avait attenté à l'honneur DE TOUTES LES FEMMES, ET DE TOUTES “les filles. Toute la Ville e",i une conjuration universelle DE TOUTES LES FEMMES ET DE TOUS les hommes qui venaient chez ,"(233986, 234020)","(392038, 392069)"
Souza_Adele_0,"t, d'un ton absolu et décidé, QUE JE NE LUI AVAIS JAMAIS VU prendre. On nous proposa, du ","ec un sérieux presque sévère, QUE JE NE LUI AVAIS JAMAIS VU, il m'a prouvé qu'il fallait ","(8847, 8876)","(166640, 166669)"
Souza_Adele_1,"e, étant si près d'elle; mais IL Y AVAIT QUELQUE CHOSE DE SI PIQUANT dans mon tête-à-tête avec la ","adieu avec un faible sourire. IL Y AVAIT QUELQUE CHOSE DE SI TENDRE dans ce mot adieu , que le re","(360140, 360178)","(166640, 166669)"
Souza_Adele_2,ancher.Je me levai subitement DÈS QUE JE FUS SEUL; JE MIS le mannequin dans mon lit; je,"e qu'elle ne me rendit pas…. 
DÈS QUE JE FUS SEUL, JE ME MIS à rêver à la crainte affreuse","(691834, 691861)","(166640, 166669)"
Tiphaigne_Galligenes_0,"vous deman“der, lui dis-je, s'IL Y A LONG-TEMPS QUE “VOUS AVEZ VU la France?--Oh, me répon“diti","s, Monsieur le Censeur, y a-t-IL LONG-TEMPS QUE VOUS N'AVEZ VU celui qui, l'autre jour, comm","(560823, 560858)","(19354, 19386)"
Voltaire_Princesse_0,dions. C'était là un voyage à PEU PRÈS DANS LE GOÛT DE CELUI QU'ON fait faire aux récipiendaires,emple avait été dédié était à PEU PRÈS DANS LE GOÛT DE CELUI QU'ON adora depuis à Lampsaque. Non,"(356535, 356571)","(48342, 48378)"
