,Text in Retif_Paysanne,Text in B,Location in Retif_Paysanne,Location in B
Riccoboni_LettresFanni_0, vie lui était abandonnée. Eh ! COMMENT NE MEURT-ON PAS DE CE QUE J'ai souffert !... J'ai prié le ,"tter le spectacle. Je ne sais COMMENT ON NE MEURT PAS DE CE QUE J'AI senti. Hé bien, en vous en pa","(797601, 797639)","(96789, 96827)"
Rosny_Firmin_0," que bénir un mariage, qui va RESSERRER LES NŒUDS QUI NOUS UNISSAIENT, ET donner à l'aîné de notre fami","fut cette douce espérance qui RESSERRA LES NŒUDS QUI NOUS UNISSAIENT, ET qui fit le charme de notre ex","(20639, 20682)","(31399, 31441)"
Rousseau_Emile_0,"ce naturelle l'offusquerait ; IL NE FAUT PAS NON PLUS QUE les choses à faire, quelques ",n'acquerrait aucune justesse. IL NE FAUT PAS NON PLUS QUE l'enfant passe tout d'un coup,"(371872, 371899)","(330189, 330216)"
Rousseau_Emile_1,"z désunis, vous êtes perdus l'UN OU L'AUTRE, ET PEUT-ÊTRE TOUS LES DEUX. Je vous donnerai de bouche u"," crains qu'elle ne tourne à l'UN OU À L'AUTRE, ET PEUT-ÊTRE À TOUS LES DEUX. Crains l'attrait spécieux du","(567028, 567069)","(330189, 330216)"
Rousseau_Emile_2,"s vous y eussent réduite ; ce QUE TOUTE LA PRUDENCE HUMAINE NE PEUT quelquefois prévoir. Vous, po",'être fort savant pour sentir QUE TOUTE LA PRUDENCE HUMAINE NE PEUT lui répondre si dans une heur,"(649155, 649192)","(330189, 330216)"
Rousseau_Emile_3,"de, et les grandes compagnies : MAIS CE QUE JE SAIS, C'EST Que tous ceux qui nous connaiss","ferais?... je n'en sais rien; MAIS CE QUE JE SAIS, C'EST QUE je ne reverrais de ma vie cel","(928216, 928246)","(330189, 330216)"
Rousseau_Julie_0,moi. Vous êtes charmante ! Et JE NE DOUTE PAS QUE VOUS NE fassiez de brillantes conquêt,"leur dis-je assez froidement, JE NE DOUTE PAS QUE VOUS NE sachiez faire dire à des mari","(155042, 155069)","(1181915, 1181942)"
Rousseau_Julie_1,", j'ajouterai quelque chose à CE QUE JE VIENS DE VOUS MARQUER : on m'a dit que vous n'aviez","de beaucoup. 
Vous voyez, par CE QUE JE VIENS DE VOUS MARQUER du baron, que notre réconcili","(156114, 156145)","(1181915, 1181942)"
Sacy_Amours_0,"x, ou passionnément généreux, VOTRE TRÈS HUMBLE ET TRÈS OBÉISSANT SERVITEUR. ** ***. 
Après avoir lu ce s","s avec bien du respect, MADAME, VOTRE TRÈS-HUMBLE ET TRÈS-OBÉISSANT SERVITEur ***. 
CHANT I. 
LES AMOURS ","(190371, 190416)","(709, 754)"
Sade_120_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu","faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","(18833, 18862)","(428067, 428096)"
Sade_120_1,"est passée : c'est à l'amitié LA PLUS TENDRE ET LA PLUS VIVE à t'en féliciter. Mais, chère","et de la physionomie du monde LA PLUS TENDRE ET LA PLUS AGRÉABLE. ? En vérité, monsieur,"" dit ","(422919, 422949)","(428067, 428096)"
Sade_Aline_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, C'EST que si j'ai fait manquer le m","sés à des collatéraux … c’est TOUT CE QUE JE PUIS VOUS DIRE, QUI que ce fut que vous interroge","(18833, 18869)","(273080, 273114)"
Sade_Aline_1,"dit : « Mes fils, mes filles, JE SUIS BIEN AISE, QUE VOUS VOYIEZ ce cœur de mère, à celle fin ",", toujours dans notre langue: JE SUIS BIEN AISE QUE VOUS VOYIEZ un Européen; mais je suis fâc","(100573, 100607)","(273080, 273114)"
Sade_Aline_2,"n sort dans sa main, et celui DE CE QUE J'AI DE PLUS CHER, de ma sœur. Adieu, bonne ami"," honneurs, achetés aux dépens DE CE QUE J’AI DE PLUS CHER au monde? Dussai je être le p","(178760, 178787)","(273080, 273114)"
Sade_Aline_3,"uer, souvent il s'est préparé POUR ÊTRE PLUS SÛR DE SON FAIT. LE suicide y est également, en c","à, ne l’imaginez donc point … POUR ÊTRE PLUS SÛR DE SON FAIT, LE président a proposé au curé l","(382897, 382931)","(273080, 273114)"
Sade_Infortunes_0," ce qu'il y avait de pis ; et ELLE M'A DIT, QU'ELLE AIMERAIT MIEUX MOURIR QUE d'en ouvrir la bouche : car e","eur de ce pernicieux exemple, ELLE DIT QU'ELLE AIMERAIT MIEUX MOURIR QUE de le suivre et refusa décidé","(3935, 3982)","(7183, 7225)"
Sade_Infortunes_1,"r, et ce malheureux fouillait TOUTES LES PARTIES DE MON CORPS, PAR ces criminels hommages. Je su","excursions si meurtrières sur TOUTES LES PARTIES DE MON CORPS, PAR des morsures enfin si semblab","(287237, 287273)","(7183, 7225)"
Sade_Justine_0,"ment je leur parlerai de toi, ET DE CE QUE JE TE DIS ici en finissant. 
Il n'y a q","urtout de jamais dire un mot, ET DE CE QUE JE TE DIS, et de ce que tu vas voir. 
I","(178990, 179012)","(181193, 181215)"
Sade_Justine_1,"'avoir une réponse favorable. JE N'AI JAMAIS RIEN VU DE SI beau que vos yeux, comme je n",sant fortement cette partie ; JE N'AI JAMAIS RIEN VU DE SI bien attaché : ce sera divin ,"(214829, 214857)","(181193, 181215)"
Sade_Philosophie_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu","us ferez sera bienfait, c'est TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","(18833, 18862)","(343588, 343617)"
Segur_Correspondance_0," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu",". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","(18833, 18862)","(59642, 59671)"
Segur_Correspondance_1,"ance jamais : cette partie-ci LUI FAIT BIEN DE L'HONNEUR DANS MON ESPRIT, et s'il ne change pas... » E","petite duchesse un mérite qui LUI FAIT BIEN DE L'HONNEUR DANS MON ESPRIT, c'est qu'elle a un goût si n","(609331, 609373)","(59642, 59671)"
Senac_Emigre_0,"adorée, pour y être heureuse. MAIS IL FAUT QUE JE VOUS DISE un mot des désagréments dont ",vous ne vous êtes pas trompée ; MAIS IL FAUT QUE JE VOUS DIse comment elle m'est tombée e,"(84209, 84238)","(332723, 332752)"
Senac_Emigre_1,"ur. 
Pardonnez, mademoiselle, LA LIBERTÉ QUE JE PRENDS DE VOUS ÉCRIRE : mais il le faut. Je ne sais","faveur du motif, vous excusereZ LA LIBERTÉ QUE JE PRENDS DE VOUS ÉCRIre sans avoir l'honneur d'être","(273228, 273267)","(332723, 332752)"
Senac_Emigre_2," ôté mon innocence, pour prix DE LA TENDRE AMITIÉ QUE JE VOUS portais, et que... je ne saur","c un plaisir extrême, l'assuraNCE DE LA TENDRE AMITIÉ QUE JE vous ai consacrée pour ma vie.","(338411, 338442)","(332723, 332752)"
Souza_Adele_0,"le caresses, avec une émotion QUE JE NE LUI AVAIS JAMAIS VUE. Mon frère a ramené Mme Paran"," m'aimait, avec une affection QUE JE NE LUI AVAIS JAMAIS VUE; mais toutes ses assurances n","(51902, 51932)","(262909, 262939)"
Tiphaigne_Amilec_0,"anchette. 
Chère petite amie, JE SUIS SUR LE POINT DE PARTIR, POUR me rejoindre à toi et à ta bo"," et de moillonner. Maintenant JE SUIS SUR LE POINT DE PARTIR POUR Mars , dont la maturité s'ava","(121270, 121306)","(14540, 14575)"
