,Text in Lagrave_Sophie,Text in B,Location in Lagrave_Sophie,Location in B
Laclos_Liaisons_1,"t les combats de son amant, leS PARTAGE, ET JE NE DOUTE PAS que ce ne soit là le sujet qui"," retour de Valmont. Pour moi, JE NE DOUTE PAS QUE CE NE SOIT, en grande partie, l'ouvrage ","(123992, 124022)","(401680, 401714)"
Laclos_Liaisons_2,"lui dire que c'est moi, obteniR MON PARDON (CAR IL N'Y A QUE LE PREmier pas qui coûte avec les fe"," surtout en fait de procédés, IL N'Y A QUE LE PREMIER PAS QUI COÛTE. 
À présent, comme vous pouve","(155991, 156028)","(401680, 401714)"
Lagrave_Zabeth_0,.. C'est en vain que j'avais pROMIS DE RENFERMER DANS LE PLUS PROFOND DE MOn cœur les sentiment que vous ,"hez vous, et j'aurai la force DE RENFERMER DANS LE PLUS PROFOND DE MON CŒUR, tous les déplaisirs que je p","(89686, 89731)","(86733, 86778)"
Lagrave_Zabeth_1,"rasser mademoiselle de BeauregARD, S'ARRÊTA, ET FUT SE JETER DANS LEs bras de son père. 
Ces deux "," un peu d'inclination. Zabeth FUT SE JETER DANS LES BRAS DE SON PÈRE, et l'embrassa tendrement: ce","(297581, 297619)","(86733, 86778)"
LaPlace_Collection_0,"anglotant, le plus grand secreT SUR CE QUI VENAIT DE SE PASSer.--Ma sœur parut à l'instant"," „fille„! Puis, réfléchissant SUR CE QUI VENAIT DE SE PASSER, je frémis, et fus pénétrée d","(36377, 36407)","(419448, 419478)"
LaPlace_Collection_1,"ec sa prétendue. 
Vous voyez, PAR CETTE LETTRE, MON AMI, QUE JE NE M'ÉTais pas trompé sur les coupabl"," pour elle, elle m'apprit, au MOINS, QUE JE NE M'ÉTAIS PAS TROMPÉE SUR ses sentiment. Elle nous appo","(145101, 145142)","(419448, 419478)"
Leonard_Clementine_0,our qui s'est emparé de mon cœUR? C'EST EN VAIN QUE JE VOUDRAIS LE DISSimuler; je suis en proie à tou,joie. Je renais au bonheur. C'EST EN VAIN QUE JE VOUDRAIS ME LE DISSIMULER: Seligny m'est cher. Ce n'est,"(83674, 83715)","(4965, 5009)"
Leonard_Lettres_0,"aisers, fut toute sa réponse ... JE NE VIS PLUS CE QUI SE PASsait autour de moi; un voile é","chinalement, sans trop savoir CE QUI SE PASSAIT AUTOUR DE MOI; je le croyais même encore pr","(159696, 159727)","(10772, 10803)"
Lesuire_Crime_0,"çois votre lettre, ma chère amIE, AVEC UN PLAISIR QUE JE NE puis vous rendre. Toutes celle",lèvres vermeilles. Nous dînâmeS AVEC UN PLAISIR QUE JE NE PUis décrire. Nous fîmes quelque,"(51401, 51431)","(832773, 832803)"
Louvet_Fin_0,"pleine de trouble et d'effroi. 
IL N'Y AVAIT PAS UN QUART D'HEURE Que j'y étais, que j'entendis m","cupait une heure auparavant. 
IL N'Y AVAIT PAS UN QUART D'HEURE QUE la comtesse et moi goûtions l","(43596, 43633)","(304608, 304645)"
Marmontel_Contes_0,esse. J'ai senti la nécessité DE LUI DISSIMULER CE QUI SE PASsait dans mon cœur; il m'en co,aisser éclater sur mon visage CE QUI SE PASSAIT DANS MON CŒUR! Vous auriez vu bien autre ch,"(147099, 147130)","(203328, 203359)"
Merard_Bergeries_0,esse. J'ai senti la nécessité DE LUI DISSIMULER CE QUI SE PASsait dans mon cœur; il m'en co,"i je ne t'ai pas avoué plutôt CE QUI SE PASSAIT DANS MON CŒUR, c'est que je craignais tes r","(147099, 147130)","(95713, 95744)"
Mercier_An_0,"r ma sœur; ils peuvent être heUREUX, ET MOI, MA VIE NE PEUT ÊTRE Mieux employée qu'à défendre l'","Hélas! tout le temps de notre VIE NE PEUT ÊTRE MIEUX EMPLOYÉ, QU'À lui dresser au fond de notre ","(146730, 146766)","(133070, 133106)"
Mercier_Jezennemours_0,"s arrangement sont pris, et avANT PEU DE JOURS, JE SERAI LE PLUS fortuné des hommes. Oui, mon a"," seul mot de votre bouche, et JE SERAI LE PLUS FORTUNÉ DES HOMMES, et vous ne vous repentirez j","(227697, 227732)","(136494, 136529)"
Mercier_Jezennemours_1,"UREGARD après son enlèvement, ÉCRITS PAR ELLE. 
APEINE AVAIS-je eu le temps de m'a percevo",dans la profondeur du bois. à-PEINE AVAIS-JE EU LE TEMPS DE regarder pourquoi il prenait ,"(268221, 268251)","(136494, 136529)"
Nerciat_Aphrodites_0,"le chevalier!Je vous dirai donC, MONSIEUR, AVEC TOUT LE RESPECt que je vous dois, qu'elle es","'y prend: Mad. Durut. 
Malgré TOUT LE RESPECT QUE JE VOUS DOIS, Mad. la Duchesse, vous me pe","(257748, 257780)","(46986, 47018)"
Nerciat_Felicia_0," coulaient aussi. Nous tombâmeS DANS LES BRAS L'UN DE L'AUTRE, et, pour la première fois depu", furent tomber sur l'ottomane DANS LES BRAS L'UN DE L'AUTRE ET reprirent haleine en attendan,"(42568, 42601)","(353496, 353528)"
Prevost_Monde_0,"chevalier, il était méconnaissABLE; DEUX RUISSEAUX DE LARMES COULAIENT SUR SES joues décolorées; il me tenai","ises au couvent. à la vérité, DEUX RUISSEAUX DE LARMES COULAIENT SUR SES JOUES; mais lorsque ses yeux se fur","(86848, 86896)","(680882, 680930)"
Prevost_Monde_1,"x fixément arrêtés sur lui, je POUVAIS JUGER DE TOUT CE QUI Se passait dans son âme. 
Enfin","rincipes. Si je ne lisais pas TOUT CE QUI SE PASSAIT DANS SON cœur, j'en connaissais si par","(210816, 210847)","(680882, 680930)"
Retif_Paysanne_0,"gard. 
Tu dois être inquiète, MON AMIE, DU LONG SILENCE QUE J'AI GARDÉ. Ma mère a éprouvé une crise ","uillet. 
Ne m'en veux pas, ma BONNE AMIE, DU LONG SILENCE QUE J'AI GARDÉ avec toi, quoique je t'eusse ","(20887, 20927)","(80484, 80526)"
Retif_Paysanne_1,"ur les qualités de son mari. ELLE FAIT L'ÉLOGE DE SON CŒUR Et de son âme, de manière à ne ","e qu'elle me porte, haine qui FAIT L'ÉLOGE DE SON CŒUR ET DE sa vertu. Haïssez-moi tous de","(45778, 45808)","(80484, 80526)"
Retif_Paysanne_2," 
Un Anonyme à M. DARCY. 
MonsIEUR, PARDONNEZ À LA LIBERTÉ QUE JE PREnds de vous écrire ces lignes.","ur. 
Pardonnez, mademoiselle, LA LIBERTÉ QUE JE PRENDS DE VOUS ÉCRIRE : mais il le faut. Je ne sais","(257246, 257285)","(80484, 80526)"
Retif_Paysanne_3,"it arrêter, se précipita hors DE CETTE VOITURE, ET VINT SE Jeter dans mes bras en versant ","re, l'œil égaré. Il m'aperçut ET VINT SE JETER DANS MES BRAS. « Ah ! mon cher Edmond ! » j","(260965, 260995)","(80484, 80526)"
Reveroni_Pauliska_0,"il ne veut le devoir qu'à votrE SEULE VOLONTÉ. 
RECEVEZ LE SERMENT QUE JE fais de respecter toute ma vi","je prenne mes précautions, et RECEVEZ LE SERMENT QUE JE FAIS DE LUI donner tous mes soins pour le","(151893, 151936)","(56373, 56410)"
Riccoboni_LettresAdelaide_0,"jets: je ne puis te dire à queL POINT JE RAGE. 
EST-CE QUE je ne pourrais pas venir à bou",ec lui chez Madame De Thianges; EST-CE QUE JE NE POURRAIS Pas m'en dispenser? Mais qu'ima,"(188837, 188866)","(226812, 226841)"
Riccoboni_LettresFanni_0,"r. 
Je ne puis te dire, mon amIE, CE QUI SE PASSE DANS MON cœur à cette idée; il semble q","vilain visage qui décèle tout CE QUI SE PASSE DANS MON CŒUR; ma joie me trahiroit, on la ","(55158, 55187)","(113921, 113950)"
Riccoboni_MissJenny_0,"aisers, fut toute sa réponse ... JE NE VIS PLUS CE QUI SE PASsait autour de moi; un voile é",ût été difficile d'apercevoir CE QUI SE PASSAIT AUTOUR DE MOI. Nous sortîmes de chez le min,"(159696, 159727)","(184206, 184237)"
Riccoboni_MylordRivers_0,"nt me prendre la main, et me dIT: JE SUIS FÂCHÉ DU PEU DE CONFIance que vous avez en moi; une"," taire combien je suis blessé DU PEU DE CONFIANCE QUE VOUS M'AVEZ montre. Eh pourquoi, pourquoi","(216023, 216056)","(61866, 61901)"
Rosny_Firmin_0,"r. 
Je ne puis te dire, mon amIE, CE QUI SE PASSE DANS MON cœur à cette idée; il semble q",ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,"(55158, 55187)","(58607, 58636)"
Rousseau_Emile_0,e sa femme; il fait pour elle TOUT CE QUI EST EN SON POUVOIR pour la rendre heureuse; mais,'homme de regarder comme sien TOUT CE QUI EST EN SON POUVOIR. En ce sens le principe de Ho,"(10162, 10192)","(152207, 152237)"
Rousseau_Emile_1,oumettre à tout. Je me persuadE PLUS QUE JAMAIS QUE TOUTE LA PRUDENce humaine ne peut rien contre,'être fort savant pour sentir QUE TOUTE LA PRUDENCE HUMAINE NE PEUT lui répondre si dans une heur,"(186299, 186336)","(152207, 152237)"
Rousseau_Julie_0,"re dans la plus tendre enfance; MAIS CE QUE TU NE SAIS Pas, c'est que j'avais une sœur","comme si tu n’en savais rien. MAIS CE QUE TU NE SAIS PAS et qu’il faut t’apprendre, c’","(33467, 33493)","(816667, 816693)"
Rousseau_Julie_1,e; ma sœur me pousse: je retouRNAIS SANS SAVOIR CE QUE JE FAISAis. Je lui présente le bras. A, Je me jette à bas de mon lit SANS SAVOIR CE QUE JE FAISAIS. JE me mets à errer par la chambr,"(82241, 82274)","(816667, 816693)"
Sade_120_0,ses richesses qu'elle a trouvéES. JE NE VOUS CACHE PAS QUe je suis très-affligé: j'admi,"endus.""---""Non pas vous, mais JE NE VOUS CACHE PAS, QUE JE condamnerais de bon cœur ces ","(47554, 47581)","(569057, 569085)"
Sade_120_1,commencement pompeux? ... Je vEUX QUE LE DIABLE M'EMPORTE SI Je ne l'aime réellement. Est-ce,"it, et joue si bien son rôle, QUE LE DIABLE M'EMPORTE, SI JE NE le crus mort, je ne perds pas","(56199, 56231)","(569057, 569085)"
Sade_Aline_0,s. Un mari qui m'adore et qui NE NÉGLIGE RIEN DE TOUT CE QUI PEUT flatter les fantaisies d'une ,e cette importante recherche; NE NÉGLIGE RIEN DE TOUT CE QUI PEUT te la faire faire avec autant,"(431, 466)","(169977, 170012)"
Sade_Aline_1,er dans le plus profond de mon CŒUR LES SENTIMENT QUE VOUS Y AVEZ FAIT naître ... Oh! croyez que mon ,"ginez pas, continua-t-il, que LES SENTIMENT QUE VOUS AVEZ FAIT NAÎTRE en moi puissent me permettre ","(89732, 89773)","(169977, 170012)"
Sade_Aline_2,der mon visage. Elle revint à ELLE; SES YEUX SE TOURNÈRENT VERS MOi avec une langueur ... Je vou,"e de bouteilles de vin, leurs YEUX SE TOURNÈRENT VERS MOI AVEC UN peu plus d’intérêt, et comme ","(99041, 99077)","(169977, 170012)"
Sade_Aline_3," émue. 
J'ai été hier chez le COMTE D'AUTERIVE; JE LUI AI DIT QUE JE croyais prudent de hâter le ma",ntl’état decette chère fille; JE LUI AI DIT QUE JE CROYAIS PRUDENT DE la laisser quelques jours tra,"(223561, 223600)","(169977, 170012)"
Segur_Correspondance_0,"Adieu. Je suis toute à toi pouR LA VIE: JE T'EMBRASSE DE TOUT MON CŒUr. 
Sophie de Beauregard. 
LET","t service; en réconnaissance, JE L'EMBRASSE DE TOUT MON CŒUR. 
MADAME de Nesle est morte, dit-on, d","(105522, 105561)","(564991, 565030)"
Segur_Correspondance_1,"ma sœur pour la quitter dans cE MOMENT-CI. 
JE NE SAIS si je vous ai parlé d'un chev","geole, s'en tirent très-bien. JE NE SAIS SI JE VOUS AI mandé que M. 
de la Ferrière ","(124495, 124519)","(564991, 565030)"
Senac_Emigre_0,"re partir celle-ci. Adieu, mon AMIE. JE T'EMBRASSE MILLE FOIS DU PLUS PROFOND de mon cœur; et je suis toute",ransports de ma joie. Je vous EMBRASSE MILLE FOIS DU PLUS PROFOND DE MON CŒUR que vous remplissez entièreme,"(118531, 118578)","(1345, 1392)"
Senac_Emigre_1,d'avance qu'elle ne vous paraîTRA PAS TELLE. JE NE VOUS LAISSERAI RIEN IGNOrer de tout ce qui arrivera. J,"omment je l'ai rencontrée, et NE VOUS LAISSERA RIEN IGNORER DE TOUT CE QUI l'intéresse. Les maîtres de l","(186546, 186591)","(1345, 1392)"
Senac_Emigre_2,". 
.Intéressant jeune homme! ... IL M'AVAIT ÉMU JUSQU'AU PLUS PROFOnd de mon cœur; je l'ai serré ","ils ont pénétré, ces regards, JUSQU'AU PLUS PROFOND DE MON CŒUR ; JE ne me croyais plus sur la ter","(194009, 194046)","(1345, 1392)"
Senac_Emigre_3," 
Un Anonyme à M. DARCY. 
MonsIEUR, PARDONNEZ À LA LIBERTÉ QUE JE PREnds de vous écrire ces lignes.","faveur du motif, vous excusereZ LA LIBERTÉ QUE JE PRENDS DE VOUS ÉCRIre sans avoir l'honneur d'être","(257246, 257285)","(1345, 1392)"
Souza_Adele_0,"nnez, mon respectable ami, si JE NE VOUS AI PAS ÉCRIT DEPUIS long-temps: soyez sûr que ni ","LIX. 
Paris, ce 25 novembre. 
JE NE VOUS AI PAS ÉCRIT DEPUIS quelques jours, mon cher Henr","(9578, 9608)","(266771, 266801)"
Tiphaigne_Galligenes_0,"r. 
Je ne puis te dire, mon amIE, CE QUI SE PASSE DANS MON cœur à cette idée; il semble q", ne puis-je „t'expliquer tout CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,"(55158, 55187)","(52539, 52569)"
Voisenon_Histoire_0,ns des démarches tout-à-fait cONTRAIRES À CE QUE JE ME DOIS À moi-même et à M. de Beauregar,"dans vos motifs; mais je sais CE QUE JE DOIS À MOI-MÊME, ET je vous défends de me revoir.","(116243, 116274)","(39846, 39875)"
