,Text in Lagrave_Zabeth,Text in B,Location in Lagrave_Zabeth,Location in B
Riccoboni_MissJenny_1,"peu d'inclination. Zabeth fut SE JETER DANS LES BRAS DE SON père, et l'embrassa tendremen","s elle le toucha vivement. Il SE JETA DANS LES BRAS DE SON frère, il y pleura long-temps","(89460, 89489)","(51600, 51630)"
Riccoboni_MissJenny_2,posé d'atteindre. Tout-à-coup JE CESSAI DE RECEVOIR DE SES NOUVELLES. Je ne pus me procurer au-{??,"ieurs années hors du royaume; JE CESSAI DE RECEVOIR DE SES NOUVELLES, et d'autres soins l'éloignèr","(184856, 184894)","(51600, 51630)"
Riccoboni_MylordRivers_0,"au coup! Tiens, Noriss, voilà UN BILLET DE BANQUE DE CENT LIVRES STERLING. Amuse-toi, mon ami. Quand il",ans le paquet adresse à James UN BILLET DE BANQUE DE CENT LIVRES STERLING. Mais cache-lui soigneusement,"(245095, 245138)","(83700, 83743)"
Rosny_Firmin_0,e..... Je ne puis rendre tout CE QUI SE PASSE DANS MON CŒUR! cœur! Pauvre Zabeth!... La t,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,"(349756, 349785)","(58607, 58636)"
Rousseau_Emile_0,"ademoiselle de Saint-Silvain, QUI AVAIT PASSÉ UNE PARTIE DE SA VIE dans les chagrins, pouvait à ","'en pas mêler. Le sage Locke, QUI AVAIT PASSÉ UNE PARTIE DE SA VIE à l'étude de la médecine, rec","(394777, 394813)","(56317, 56353)"
Rousseau_Julie_0,sienne. Laissez-vous toucher: VOTRE CŒUR NE VOUS DIT-IL RIEN pour cette aimable petite cré,"regardant avec un œil humide, VOTRE CŒUR NE VOUS DIT-IL RIEN ici et ne sentez-vous point q","(22618, 22648)","(1057493, 1057523)"
Sacy_Amours_0,nt leur cours ordinaire. Elle NE DOUTA PLUS QUE CE NE FÛT de Dupuis dont il était quest,t une oreille attentive. MirtiL NE DOUTA PLUS QUE CE NE Fût là le Berger si vanté. Il a,"(270683, 270710)","(40198, 40225)"
Sade_120_0,"es de la Dupuis redoublèrent. AH! DIT-ELLE, VOUS NE CONNAISSEZ PAS toutes mes peines! avant de v","vous me paraissez chérir.""---""AH,"" ME DIT-ELLE, ""VOUS NE CONNAISSEZ PAS tous nos mystères ""---Il me f","(48714, 48750)","(414733, 414774)"
Sade_Aline_0,"prouver ..... Ils se jetèrent DANS LES BRAS L'UN DE L'AUTRE, ET confondirent leurs larmes. Hé","is. Et elles se sont rejetées DANS LES BRAS L’UNE DE L’AUTRE, ET leurs larmes ont encore arros","(86847, 86880)","(136091, 136125)"
Sade_Aline_1,"ille. Chacun s'était éloigné, COMME JE VIENS DE LE DIRE. LES paysans même qui dansaient da","sa denrée, et s’en fait payer COMME JE VIENS DE LE DIRE. 
LES établissement de ce peuple, a","(119650, 119680)","(136091, 136125)"
Sade_Aline_2," ah! je suis perdue! dit-elle EN SE JETANT DANS LES BRAS DE Victoire. Ma chère amie, sanv",". Oh! madame, a-t-elle ajouté EN SE JETANT DANS LES BRAS DE la présidente, que de maux on","(200569, 200598)","(136091, 136125)"
Sade_Aline_3,"e. 
Aussi-tôt après le repas, ELLE DEMANDA LA PERMISSION DE SE RETIRER. M. Dubreuil ne fut pas fâché"," dès qu’Aline me vit revenir, ELLE DEMANDA LA PERMISSION DE SE RETIRER, elle lui fut accordée, monsi","(299602, 299642)","(136091, 136125)"
Sade_Justine_0," ah! je suis perdue! dit-elle EN SE JETANT DANS LES BRAS DE Victoire. Ma chère amie, sanv",it la malheureuse prisonnière EN SE JETANT DANS LES BRAS DE Mme de Lorsange... toi... ma ,"(200569, 200598)","(637990, 638019)"
Sade_Philosophie_0,"t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, c'est que la vieille femme c","us ferez sera bienfait, c'est TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","(285896, 285925)","(343588, 343617)"
Segur_Correspondance_0,invisible m'a fait passer. Je NE DOUTE POINT QUE CE NE FÛT celle de mon père. J'ai fait ,"ée et interdite; il l'arrêta, NE DOUTANT POINT QUE CE NE FÛT quelqu'aventurier déguisé, et","(187484, 187512)","(425367, 425397)"
Segur_Correspondance_1,e aurait désiré lui parler du SOUPÇON MAL FONDÉ QU'IL AVAIT EU SUR Frédérique; mais l'air sérieu,"; il lui a demandé pardon des SOUPÇONS MAL FONDÉS QU'IL AVAIT EUS SUR sa conduite, lui a nommé son ","(223096, 223132)","(425367, 425397)"
Senac_Emigre_0,"je revins chez la Dupuis, non SANS UN TROUBLE QUE JE NE PUIS VOUS RENDRE. Je me hâtai de m'assurer d'u"," le panse, et je me suis enfuiE DANS UN TROUBLE QUE JE NE PUIS VOUS RENDre. En vérité, ma chère Émilie","(182557, 182599)","(364932, 364974)"
Senac_Emigre_1,"e serment que je fais, dit-il EN PORTANT LA MAIN SUR SON CŒUR, que je ne pordrai jamais de ","iétude : c'est là, m'a-t-il diT EN PORTANT LA MAIN SUR SON CŒur, qu'est le principe du mal.","(197252, 197283)","(364932, 364974)"
Senac_Emigre_2,'ai bien aimé mon frère; mais JE NE VEUX PLUS ENTENDRE PARLER DE lui! Qu'il reste avec sa lady," un spectacle si déchirant... ! JE NE VEUX PLUS ENTENDRE PARLER de la France, je puis tout cra","(327837, 327871)","(364932, 364974)"
Senac_Emigre_3," dit Anna, que cela m'étonne! JE N'AI PAS DORMI DE LA NUIT, parce que je pensais à ce qu","n à Melle Émilie de WergentheiM. 
JE N'AI PAS DORMI DE LA nuit, ma chère amie, en songea","(342933, 342961)","(364932, 364974)"
Souza_Adele_0,"peu d'inclination. Zabeth fut SE JETER DANS LES BRAS DE SON père, et l'embrassa tendremen"," vis s'élancer de la voiture, SE JETER DANS LES BRAS DE SON amie, l'embrasser, lui demand","(89460, 89489)","(5248, 5277)"
Souza_Adele_1," mère, patience et constance. VOUS NE VOUDRIEZ PAS FAIRE LE MALHEUR d'une fille aimable qui mérit",ration utile à tous deux; car VOUS NE VOUDRIEZ PAS FAIRE LE MALHEUR de ma vie en troublant le rep,"(168045, 168082)","(5248, 5277)"
Tiphaigne_Galligenes_0,tourne..... Je ne puis rendre TOUT CE QUI SE PASSE DANS MON CŒUR! cœur! Pauvre Zabeth!... La t,. Que ne puis-je „t'expliquer TOUT CE QUI SE PASSE DANS „MON CŒUR; mais je ne le conçois pas „m,"(349751, 349785)","(52534, 52569)"
Voltaire_Princesse_0,"oie. Oh! lui dit-elle, depuis QUE JE SUIS AU MONDE, JE N'AI point encore joui d'une journ",euf cents années et sept mois QUE JE SUIS AU MONDE ; JE N'AI encore rien vu de comparable ,"(142954, 142983)","(85142, 85172)"
