,Text in Sade_Aline,Text in B,Location in Sade_Aline,Location in B
Marmontel_Contes_1," passés à des collatéraux … c’EST TOUT CE QUE JE PUIS VOUS DIRE, qui que ce fut que vous inte",uis encore plus malheureux: c'EST TOUT CE QUE JE PUIS VOUS DIRE. Ne vous offensez pas de mon ,"(273076, 273109)","(241461, 241507)"
Marmontel_Contes_2,"si cela est, ne cherchez donc PAS À ME RENDRE PLUS MALHEUREUSE QUE JE NE le suis; doutez-vous que ce n","ère; enfin, si vous ne voulez PAS ME RENDRE PLUS MALHEUREUSE QUE JE NE l'étais avant de vous avoir c","(280162, 280204)","(241461, 241507)"
Marmontel_Contes_3,mais en restant je manquais à CE QUE J’AVAIS DE PLUS CHER AU MONDE; ce malheur là n’était-il pas,"our me détacher enfin de tout CE QUE J'AVAIS DE PLUS CHER AU MONDE; mais cette folie, vous l'ave","(1179154, 1179190)","(241461, 241507)"
Marmontel_Incas_0,"nneurs, achetés aux dépens de CE QUE J’AI DE PLUS CHER AU MONDE? Dussai je être le plus malhe"," Le ciel réunit dans mes bras CE QUE J'AI DE PLUS CHER AU MONDE. Ah! S'il est possible, aidez","(1093727, 1093760)","(277956, 277989)"
Merard_Bergeries_0,ossible; je ne négligeai rien DE TOUT CE QUI POUVAIT RELEVER L’ÉCLAT DE quelques traits dont j’attend,", fait usage, pour sa parure, DE TOUT CE QUI POUVAIT RELEVER L'ÉCLAT DE ses charmes. Elle invoque aus","(1162494, 1162535)","(31415, 31456)"
Mercier_An_0,"bilité est un des plus cruels PRÉSENT QUE NOUS AIT FAIT LA NATURE; en ce moment, cet exès fait ","t le plus beau, le plus digne PRÉSENT QUE NOUS AIT FAIT LA NATURE . 
CHAPITRE XXIV. 
Le Prince ","(275274, 275309)","(157979, 158014)"
Mercier_Jezennemours_0,mais en restant je manquais à CE QUE J’AVAIS DE PLUS CHER AU MONDE; ce malheur là n’était-il pas,"ute ma vie; que j'avais perdu CE QUE J'AVAIS DE PLUS CHER AU MONDE, mon amante, que j'allois épo","(1179154, 1179190)","(232857, 232893)"
Mirabeau_Rideau_0,"ues, nous attirant davantage, IL NE SE PASSAIT GUÈRES DE SEMAINES que Léonore et moi n’allassio",uvent ils venaient me voir et IL NE SE PASSAIT GUÈRE DE JOURS que nous ne fussions ensemble,"(319187, 319222)","(90897, 90928)"
Mirabeau_Rideau_1,"; le comte nullement au fait, NE SAVAIT LUI-MÊME OÙ IL EN ÉTAIT. Madame de Senneval plus inst",", au centre de mes désirs; il NE SAVAIT LUI-MÊME OÙ IL EN ÉTAIT: mon papa calculait la gradat","(743987, 744020)","(90897, 90928)"
Mirabeau_Rideau_2,"s n’aspirons qu’à vivre, et c’EST LA PREMIÈRE DE TOUTES LES LOIS. —Nous ne desirons plus rien ",de femmes; alors la nécessité EST LA PREMIÈRE DE TOUTES LES LOIS. C'est ce qu'on voit dans les,"(990626, 990660)","(90897, 90928)"
Montesquieu_Arsace_0,"ur seul s’est chargé de moi ; SES YEUX SE REMPLIRENT DE LARMES, … ET elle se livra à la plus profo"," et encore plus d'y répondre. SES YEUX SE REMPLIRENT DE LARMES, ET l'eunuque en fut attendri. So","(1560180, 1560218)","(2923, 2959)"
Morelly_Naufrage_0,"es de terrasses au-dessus, et SÉPARÉES LES UNES DES AUTRES PAR DES haies couvertes de fleurs et ","lusieurs enceintes de terres, SÉPARÉES LES UNES DES AUTRES, PAR DES eaux larges etamp; profondes,","(860702, 860738)","(317954, 317991)"
Nerciat_Aphrodites_0," dit effrontément Clémentine, TOUT CELA EST BEL ET BON, MAIS je vous dis encore une fois, ","aut être juste. 
Mad. Durut. 
TOUT CELA EST BEL ET BON.--MAIS est-il juste aussi que cette ","(927372, 927402)","(94557, 94588)"
Nerciat_Aphrodites_1,"vi d’une foule innombrable… . DANS TOUS LES PAYS DU MONDE, ET peut-être plus en Espagne, qu","nom fort respectable sans doutE DANS TOUS LES PAYS DU MONDE, et qui, s'il n'était pas si du","(1078402, 1078433)","(94557, 94588)"
Nerciat_Felicia_0,"is. Et elles se sont rejetées DANS LES BRAS L’UNE DE L’AUTRE, ET leurs larmes ont encore arros", furent tomber sur l'ottomane DANS LES BRAS L'UN DE L'AUTRE ET reprirent haleine en attendan,"(136091, 136125)","(353496, 353528)"
Nerciat_Felicia_1,"c la promesse de ne rien dire DE CE QUI VENAIT DE SE PASSER. Partez, monsieur, me dit le ",ar il paraissait fort au fait DE CE QUI VENAIT DE SE PASSER. Nous avions sans doute négli,"(223921, 223950)","(353496, 353528)"
Nerciat_Felicia_2," un cercle autour de nous, en NOUS ÉCOUTANT AVEC LE PLUS VIF INTÉRÊT . 
Il est temps de vous repos","e l'espérance et la crainte : NOUS ÉCOUTIONS AVEC LE PLUS VIF INTÉRÊT. « Enfin, ajouta Mme de Kerla","(968888, 968926)","(353496, 353528)"
Popeliniere_Daira_0,"us offrir pour le présent que CE QUE JE VIENS DE VOUS DIRE, acceptez-le, croyez-moi, ou "," plus rien à vous céler après CE QUE JE VIENS DE VOUS DIRE, etamp; qu'il faut indispensa","(82801, 82829)","(80618, 80646)"
Popeliniere_Daira_1,"Zilia, magnifiquement vêtue, éTAIT ASSISE SUR UNE ESPÈCE DE TRÔNE placé sur la crête d’un roche",ans cette Salle: Aly Oglou y éTAIT ASSIS SUR UNE ESPÈCE DE TRÔNE; on me fit avancer au milieu;,"(681786, 681821)","(80618, 80646)"
Prevost_Manon_0,pas ma seule pensionnaire … c’EST CE QUI FAIT QUE JE NE POURRAI vous voir que trois fois la s,retour ne tarderait point : c'EST CE QUI FAIT QUE JE NE VOUS vois point ici sans inquiétud,"(97914, 97947)","(237999, 238029)"
Prevost_Monde_0,"e fuite qu’après mes couches, JE LA PRIAI DE NE PAS M’OUBLIER et de disposer tout pour ce m","ans le récit de l'hermite, et JE LA PRIAI DE NE PAS OUBLIER cette circonstance. Ma questi","(106141, 106172)","(555992, 556021)"
Retif_AntiJustine_0,"elle était déjà toute alarmée SUR LE PIED DU LIT DE SA mère, quand le président peu ","mettez de vous le mettre ici, SUR LE PIED DU LIT DE VOTRE père ?... 
Consentez-y ! » Je","(175851, 175875)","(195221, 195248)"
Retif_Paysanne_0,le vous oblige à penser à moi QUAND JE NE SERAI PLUS … ET MOI que cette idée trouble et dés,"nts, voilà votre second père, QUAND JE NE SERAI PLUS ; ET MOI-même je le regarde comme l'im","(67066, 67097)","(109612, 109643)"
Retif_Paysanne_1,"ici. 
Il faut que j’achève de TE METTRE AU FAIT DE CE QUI regarde le maître que tu vas ",", à notre retour ici, je vais TE METTRE AU FAIT DE CE QUI se passe. C'est pour moi un s","(384014, 384041)","(109612, 109643)"
Retif_Paysanne_2,"à, ne l’imaginez donc point … POUR ÊTRE PLUS SÛR DE SON FAIT, LE président a proposé au curé l","uer, souvent il s'est préparé POUR ÊTRE PLUS SÛR DE SON FAIT. LE suicide y est également, en c","(1374761, 1374795)","(109612, 109643)"
Reveroni_Pauliska_0,"ubens ? Adieu, ne me fais pas ATTENDRE LA FIN DE CETTE AVENTURE; TROP de sentiment de mon âme y son"," ... J'étais bien déterminé à ATTENDRE LA FIN DE CETTE AVENTURE, SÛR de détromper les gens de la m","(148555, 148594)","(191788, 191826)"
Riccoboni_Histoire_0," pour prouver l’impossibilité DE VOUS VOIR ET DE VOUS PARLER; ces détours, trop absurdes, ",t ma parole m'engage à éviter DE VOUS VOIR ET DE VOUS PARLER; je n'abuserai point de l'ind,"(333760, 333790)","(36611, 36641)"
Riccoboni_LettresAdelaide_0," Oui, j’ose être sûr de vous, PARCE QUE JE VOUS AIME, PARCE QUE vous m’avez dit que je ne vou","trême répugnance; mais j'y cèdE PARCE QUE JE VOUS AIME, PARCE Que je ne puis vous refuser une","(19410, 19443)","(56960, 56993)"
Riccoboni_LettresAdelaide_1,"soin que j’en ai est tel, que POUR LA PREMIÈRE FOIS DE MA VIE, JE ne sais pas même si je vous o","faire la possession d'un autre. POUR LA PREMIÈRE FOIS DE MA VIE, je me suis dit avec complaisan","(1430283, 1430318)","(56960, 56993)"
Riccoboni_MissJenny_0,"utes les parties mises à nud; IL PRIT UNE DE MES MAINS ET LA porta sur lui, mais je la ret"," peignit sur tous ses traits. IL PRIT UNE DE MES MAINS, ET LA pressant doucement: "" que voi","(1137689, 1137719)","(157545, 157576)"
Rosny_Firmin_0,"puis que nous étions à table, JE NE M’OCCUPAIS QUE DES MOYENS DE la placer dans son verre. Éto",arrassai fort peu des suites. JE NE M'OCCUPAI QUE DES MOYENS DE réussir. J'ai déjà dit que Ca,"(1177941, 1177975)","(55644, 55677)"
Rousseau_Emile_0,"ette pitié douce qui s’alarme POUR TOUT CE QUI NE LUI RESSEMBLE PAS; non, que cette chère fille s","nnera pas moins d'éloignement POUR TOUT CE QUI NE LUI RESSEMBLE PAS, que s'il avait un objet réel","(828110, 828147)","(910573, 910610)"
Rousseau_Julie_0, quelle voix se fait entendre AU FOND DE MON CŒUR…. JE NE sais quel organe secret sembl,es sentiment droits sont tous AU FOND DE MON CŒUR. JE NE suis point un vil séducteur c,"(12246, 12273)","(23475, 23501)"
Rousseau_Julie_1,e atteint ce maudit bâtiment; JE N’AURAI PAS UN MOMENT DE REPOS QUE JE NE SOIS instruit des raisons qui lui ,"nt, sur ce que tu me marques, JE N’AUROI PAS UN MOMENT DE REPOS QUE JE NE SOIS auprès de toi; car, si tu cra","(346491, 346539)","(23475, 23501)"
Rousseau_Julie_2,"troces, on le ramènerait à la VERTU, ET PEUT-ÊTRE UN JOUR À L’HÉROÏSME. Nos punitions ne consistent ",ndrons à mieux compter sur sa VERTU; ET PEUT-ÊTRE UN JOUR JOUIRONS-nous avec plus d’avantage que,"(581311, 581351)","(23475, 23501)"
Rousseau_Julie_3,"ires; quoique tous saient nés SOLDATS POUR LA DÉFENSE DE LA PATRIE, quoique tous saient égaux là","ultiver leurs terres, de bons SOLDATS POUR LA DÉFENSE DE LA PATRIE et des gens de bien pour tous","(583285, 583321)","(23475, 23501)"
Rousseau_Julie_4,"ien de bon, on vous fera voir TOUT CE QU’IL PEUT AVOIR DE funeste. En payant le bijou, ", en général; on ajoute en lui TOUT CE QU’IL PEUT AVOIR DE plus qu’un autre: on le suit ,"(1274240, 1274267)","(23475, 23501)"
Sade_120_0,oges…. Aline s’est précipitée DANS LES BRAS DE SA MÈRE ET l’a accablée de caresses….—Ce,our dépuceler la petite fille DANS LES BRAS DE SA MÈRE ET tout fut arrangé avec tant d',"(139886, 139913)","(39477, 39504)"
Sade_120_1,"at de la sorte d’organisation QUE NOUS AVONS REÇUE DE LA NATURE, que chaque genre d’organisat","dégrade tout à fait la fierté QUE NOUS AVONS REÇUE DE LA NATURE, avec tous les défauts \[dis-","(460983, 461016)","(39477, 39504)"
Sade_120_2,"her dessus, j’en fis le tour, OBSERVANT AVEC LE PLUS GRAND SOIN TOUT CE QUI POUVAIT l’environner, et me permettre","e m'emparer de cette somme, j'OBSERVAI AVEC LE PLUS GRAND SOIN TOUT CE QUI POUVAIT me l'approprier. D'Aucourt ne","(723363, 723416)","(39477, 39504)"
Sade_120_3,le pour Cadix où l’appelaient DES AFFAIRES DE LA PLUS GRANDE IMPORTANCE. Il était parti depuis une he,"ransporté de joie, mais comme DES AFFAIRES DE LA PLUS GRANDE IMPORTANCE pour ses fortunes et son avan","(923598, 923639)","(39477, 39504)"
Sade_120_4,mets pour bien peu de femmes; MAIS JE NE VOUS CACHE PAS QUE vous m’avez plu; votre sort e,"tre pendus.""---""Non pas vous, MAIS JE NE VOUS CACHE PAS, QUE je condamnerais de bon cœur c","(1163438, 1163467)","(39477, 39504)"
Sade_Infortunes_0, alors deviendraient soldats: IL N’EN EST PAS UN SEUL QUI NE préférât la mort à l’idée de ,"évouées au mépris comme elle, IL N'EN EST PAS UNE SEULE QUI NE porte l'emblème de l'impostur","(544323, 544353)","(72527, 72559)"
Sade_Infortunes_1,"s de me parler de sa passion, JE FIS TOUT CE QUE JE PUS POUR lui faire croire que je n’y é","e vais-je devenir, grand Dieu JE FIS TOUT CE QUE JE PUS POUR la calmer, mais rien n'y parv","(773313, 773343)","(72527, 72559)"
Sade_Infortunes_2,"eurs genoux, je vous proteste SUR-TOUT CE QUE J’AI DE PLUS SACRÉ que je ne parlerai jamais de ","oulu m'y rendre, je vous jure SUR TOUT CE QUE J'AI DE PLUS SACRÉ de ne vous y jamais importune","(1185310, 1185344)","(72527, 72559)"
Sade_Infortunes_3,"i quelques années en paix, de PLUS DE CINQUANTE MILLE LIVRES DE RENTES à Londres, qu’il avait choisi",ité dans lequel je suis née à PLUS DE CINQUANTE MILLES LIVRES DE RENTE. T'imagines-tu que dans cette,"(1603015, 1603055)","(72527, 72559)"
Sade_Justine_0,"étrir cette fleur imaginaire, OÙ NOUS AVONS LA FOLIE D’ATTACHER TANT DE PRIX; de cette règle sont pourtant","eut résulter de cette liqueur OÙ NOUS AVONS LA FOLIE D'ATTACHER TANT DE PRIX, elle nous en permet la perte","(434707, 434753)","(74577, 74623)"
Sade_Justine_1,"qu’elle n’est que le résultat DE LA SORTE D’ORGANISATION QUE NOUS AVONS REÇUE DE LA NATURE, que chaque genre d’organisat"," les supposer, qui ne dépende DE LA SORTE D'ORGANISATION QUE NOUS AVONS REÇUE DE LA NATURE Cela posé, je le demande, de ","(460956, 461016)","(74577, 74623)"
Sade_Justine_2,"ans, taillé comme Hercule, et LA FIGURE LA PLUS AGRÉABLE ET LA PLUS animée: on l’appelait Rompa-T","ne personne de quinze ans, de LA FIGURE LA PLUS AGRÉABLE ET LA PLUS délicate : elle leva ses beau","(976857, 976894)","(74577, 74623)"
Sade_Justine_3,"gissant plus qu’en insensé, … IL SE JETTE COMME UN FURIEUX SUR les restes sanglant de celle ","cent des feux, il blasphème ; IL SE JETTE COMME UN FURIEUX SUR sa femme, la pique de sa lanc","(1102485, 1102517)","(74577, 74623)"
Sade_Justine_4,rde en frémissant; un instant IL CROIT SE TROMPER; IL CROIT VOIR dans ses bras celle qu’il aim,"ait sorti pour prendre l'air. IL CROIT SE TROMPER, IL CROIT VOIR un spectre, il recule : rarem","(1103595, 1103629)","(74577, 74623)"
Sade_Justine_5,". Oh! madame, a-t-elle ajouté EN SE JETANT DANS LES BRAS DE la présidente, que de maux on",it la malheureuse prisonnière EN SE JETANT DANS LES BRAS DE Mme de Lorsange... toi... ma ,"(1262049, 1262078)","(74577, 74623)"
Sade_Philosophie_0,e est ouvert à tout le monde; IL NE S’AGIT QUE DE NE PAS SE laisser repousser par la foul,"aient nos modernes décemvirs, IL NE S'AGIT QUE DE NE PAS LUI laisser les moyens de s'étend","(23166, 23195)","(316254, 316284)"
Sade_Philosophie_1," passés à des collatéraux … c’EST TOUT CE QUE JE PUIS VOUS DIRE, qui que ce fut que vous inte","e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","(273076, 273109)","(316254, 316284)"
Sade_Philosophie_2,s gigantesques proportions! … JE N’AI JAMAIS RIEN VU DE SEMBLABLE. Il n’y a pas de filles en Eu,"s... Ah l'insolente créature, JE N'AI JAMAIS RIEN VU DE SEMBLABLE. 
MME DE SAINT-ANGE : C'est d","(894696, 894731)","(316254, 316284)"
Segur_Correspondance_0,"us offrir pour le présent que CE QUE JE VIENS DE VOUS DIRE, acceptez-le, croyez-moi, ou ","hevée. Vous pouvez juger, par CE QUE JE VIENS DE VOUS DIRE, que, si je vous suis inconnu","(82801, 82829)","(325385, 325413)"
Segur_Correspondance_1,"manière plus satisfaisante, à LA LETTRE QUE VOUS M’AVEZ FAIT L’AMITIÉ DE M’ÉCRIRE, mais enchaîné par des consid","is, 1727 J'ai reçu avant-hier LA LETTRE QUE VOUS M'AVEZ FAIT L'AMITIÉ DE M'ÉCRIRE; vous trouverez dans celle-ci","(271903, 271954)","(325385, 325413)"
Segur_Correspondance_2,"mme généreux, répondis-je, de TOUTES LES OBLIGATIONS QUE JE VOUS AI, la plus grande sans doute es","ais soyez assurée que je sens TOUTES LES OBLIGATIONS QUE JE VOUS AI, et que je ne varierai jamais","(674782, 674819)","(325385, 325413)"
Senac_Emigre_0,"us offrir pour le présent que CE QUE JE VIENS DE VOUS DIRE, acceptez-le, croyez-moi, ou ","nt insensibles. Que conclure dE CE QUE JE VIENS DE VOUS DIre, sinon, que rien n'est dura","(82801, 82829)","(445832, 445860)"
Senac_Emigre_1," eu un peu plus d’expérience, CE QUE JE VOYAIS, CE QUE J’ENTENDAIS, ce que j’éprouvais, auraient","mots qu'il le jeta à ses pieds. CE QUE JE VOYAIS, CE QUE J'ENTENDAis était pour moi inexplicable","(92300, 92336)","(445832, 445860)"
Senac_Emigre_2,"il faudrait que je n’eus plus UNE GOUTTE DE SANG DANS LES VEINES, pour qu’une telle infamie se","es Français, tant qu'ils auronT UNE GOUTTE DE SANG DANS LES VEINes, ne souffriront qu'on déchi","(151557, 151591)","(445832, 445860)"
Senac_Emigre_3,n le nourrit ainsi en détail. IL EN EST DE MÊME DE LA table des chefs et des prêtes,"e fait un besoin de sa société. IL EN EST DE MÊME DE la vôtre, elle m'a depuis long","(449881, 449904)","(445832, 445860)"
Senac_Emigre_4,"e la manière dont on en use. 
TOUT CE QUE JE VIENS DE DIRE, continua le Portugais en ter","es sérieuses et composées. MalGRÉ TOUT CE QUE JE VIENS DE dire, j'espère que votre socié","(465907, 465935)","(445832, 445860)"
Souza_Adele_0,"us offrir pour le présent que CE QUE JE VIENS DE VOUS DIRE, acceptez-le, croyez-moi, ou ","attendu. Je lui racontai tout CE QUE JE VIENS DE VOUS DIRE; il s'attendrit avec moi, et,","(82801, 82829)","(82392, 82420)"
Souza_Adele_1,"ais quel épouvantable réveil! IL N’Y AVAIT PAS DEUX HEURES QUE J’ÉTAIS ENDORMI, lorsque ma porte, s’ouvrant ","eptembre, 6 heures du matin. 
IL N'Y AVAIT PAS DEUX HEURES QUE J'ÉTAIS COUCHÉ, lorsque j'ai entendu frapper","(695825, 695873)","(82392, 82420)"
Voisenon_Histoire_0," la veille également de celui OÙ J’AI EU LE BONHEUR DE VOUS RENCONTRER, pendant qu’elle montait dans","tous les jours dans la maison OÙ J'AI EU LE BONHEUR DE VOUS RENCONTRER. C'est bien fait, dit-elle, c","(106537, 106577)","(7806, 7846)"
Voltaire_Homme_0," ne vous ai vu!… Près de sept MOIS, SI VOUS VOULEZ JE VOUS DIRAIS de même en jours, en heures e"," se font ? 
---Non, mon ami ; MAIS, SI VOUS VOULEZ, JE VOUS DIRAI ce que les philosophes ont im","(271424, 271459)","(59055, 59090)"
Voltaire_Princesse_0,"En existe-t-il sous le ciel?… LA CHOSE DU MONDE LA PLUS SIMPLE, est d’être née pour les reve","adame, lui dit le phénix, est LA CHOSE DU MONDE LA PLUS SIMPLE. Il n'est pas plus surprenant","(250874, 250906)","(56210, 56242)"
