,Text in Sade_Justine,Text in B,Location in Sade_Justine,Location in B
Sade_Infortunes_321," sauvais assurément sa tante. CETTE RÉFLEXION, QUI FUT EN MOI L'OUVRAGE D'UN INSTANT, ME DÉTERMINA À TOUT ACCEPTER ; MAIS COMME UN RETOUR SI PROMPT EÛT PU PARAÎTRE SUSPECT, JE MÉNAGEAI quelque temps ma défaite : je","uvais nécessairement sa mère. CETTE RÉFLEXION, QUI FUT EN MOI L'OUVRAGE D'UN INSTANT, ME FIT CHANGER DE RÔLE À LA MINUTE, MAIS COMME UN RETOUR SI PROMPT EÛT PU PARAÎTRE SUSPECT, JE MÉNAGEAI longtemps ma défaite, je mis ","(150822, 150976)","(81, 269)"
Sade_Infortunes_322," ma défaite : je mis le comte DANS LE CAS DE ME RÉPÉTER SOUVENT SES SOPHISMES ; J'EUS PEU À PEU L'AIR DE NE PLUS SAVOIR QU'Y RÉPONDRE : BRESSAC ME CRUT VAINCUE ; JE LÉGITIMAI MA FAIBLESSE PAR LA PUISSANCE DE SON ART, je me rendis à la fin. Le co","ma défaite, je mis le marquis DANS LE CAS DE ME RÉPÉTER SOUVENT SES SOPHISMES, J'EUS PEU À PEU L'AIR DE NE SAVOIR QU'Y RÉPONDRE, LE MARQUIS ME CRUT VAINCUE, JE LÉGITIMAI MA FAIBLESSE PAR LA PUISSANCE DE SON ART, à la fin j'eus l'air de tout","(151020, 151205)","(81, 269)"
Sade_Infortunes_323,"ses barbares desseins avaient ANÉANTI TOUS LES SENTIMENTS QUE MON FAIBLE CŒUR osait concevoir, et je ne voy",es barbares projets n'eussent ANÉANTI TOUS LES SENTIMENTS QUE MON FAIBLE CŒUR avait osé concevoir pour lui.,"(151423, 151470)","(81, 269)"
Sade_Infortunes_324,"us en lui qu'un monstre... 
--TU ES LA PREMIÈRE FEMME QUE J'EMBRASSE, ME DIT LE COMTE, ET EN VÉRITÉ, C'EST DE TOUTE MON ÂME... TU ES DÉLICIEUSE, MON ENFANT ; UN RAYON DE SAGESSE A DONC PÉNÉTRÉ TON esprit Est-il possible que ce","que je l'aimasse encore... 
--TU ES LA PREMIÈRE FEMME QUE J'EMBRASSE, ME DIT LE MARQUIS, ET EN VÉRITÉ C'EST DE TOUTE MON ÂME... TU ES DÉLICIEUSE, MON ENFANT ; UN RAYON DE PHILOSOPHIE A DONC PÉNÉTRÉ TON esprit ; était-il possible qu","(151536, 151702)","(81, 269)"
Sade_Infortunes_325,a donc pénétré ton esprit Est-IL POSSIBLE QUE CETTE TÊTE CHARMANTE SOIT SI longtemps restée dans les tén,nc pénétré ton esprit ; était-IL POSSIBLE QUE CETTE TÊTE CHARMANTE RESTÂT SI longtemps dans les ténèbres ?,"(151714, 151758)","(81, 269)"
Sade_Infortunes_326," nous convînmes de nos faits. DANS DEUX OU TROIS JOURS, PLUS OU MOINS, SUIVANT LA FACILITÉ QUE J'Y TROUVERAIS, JE DEVAIS JETER UN PETIT PAQUET DE POISON, QUE ME REMIT Bressac, dans la tasse de cho","que tout. 
Nous convînmes que DANS DEUX OU TROIS JOURS PLUS OU MOINS, SUIVANT LA FACILITÉ QUE J'Y TROUVERAIS, JE JETTERAIS ADROITEMENT UN PETIT PAQUET DE POISON QUE ME REMIT le marquis dans une tasse de ","(151836, 151972)","(81, 269)"
Sade_Infortunes_327,"le jour même de l'exécution ; IL ME SIGNA CES PROMESSES SANS CARACTÉRISER CE QUI DEVAIT M'EN FAIRE JOUIR, ET NOUS NOUS SÉPARÂMES. 
IL ARRIVA SUR CES ENTREFAITES QUELQUE CHOSE DE TROP SINGULIER, DE TROP CAPABLE DE VOUS dévoiler l'âme atroce du mons","erait le reste de mes jours ; IL ME SIGNA CETTE PROMESSE SANS CARACTÉRISER CE QUI DEVAIT ME FAIRE JOUIR DE CETTE FAVEUR, ET NOUS NOUS SÉPARÂMES. 
IL ARRIVA SUR CES ENTREFAITES QUELQUE CHOSE DE TROP SINGULIER, DE TROP CAPABLE DE VOUS faire voir le caractère de l'","(152186, 152373)","(81, 269)"
Sade_Infortunes_328,"ne minute, en vous le disant, LE RÉCIT QUE VOUS ATTENDEZ SANS DOUTE DU DÉNOUEMENT DE L'AVENTURE OÙ JE M'ÉTAIS ENGAGÉE. 
LE SURLENDEMAIN DE notre pacte criminel, le comt","ur que je n'en interrompe pas LE RÉCIT QUE VOUS ATTENDEZ SANS DOUTE DE LA FIN DE CETTE CRUELLE AVENTURE OÙ JE M'ÉTAIS ENGAGÉE. LE SURLENDEMAIN DE notre entrevue, le marquis re","(152490, 152598)","(81, 269)"
Sade_Infortunes_329,"cte criminel, le comte apprit QU'UN ONCLE, SUR LA SUCCESSION DUQUEL IL NE COMPTAIT NULLEMENT, VENAIT DE LUI LAISSER QUATRE-VINGT MILLE LIVRES DE RENTES... OH CIEL, ME DIS-JE EN APPRENANT cette nouvelle, est-ce donc a"," le marquis reçut la nouvelle QU'UN ONCLE SUR LA SUCCESSION DUQUEL IL NE COMPTAIT NULLEMENT VENAIT DE LUI LAISSER QUATRE-VINGT MILLE LIVRES DE RENTES EN MOURANT. OH CIEL, ME DIS-JE EN L'APPRENANT, est-ce donc ainsi que la jus","(152637, 152793)","(81, 269)"
Sade_Infortunes_330," en apprenant cette nouvelle, EST-CE DONC AINSI QUE LA JUSTICE CÉLESTE PUNIT LE COMPLOT DES FORFAITS ET ME REPRENANT BIENTÔT DE CE BLASPHÈME ENVERS LA PROVIDENCE, JE ME JETTE À GENOUX, J'EN DEMANDE pardon, et me flatte que cet ","el, me dis-je en l'apprenant, EST-CE DONC AINSI QUE LA JUSTICE CÉLESTE PUNIT LE COMPLOT DES FORFAITS ? J'AI PENSÉ PERDRE LA VIE POUR EN AVOIR REFUSÉ UN BIEN INFÉRIEUR À CELUI-CI, ET VOILÀ CET HOMME AU PINACLE POUR EN AVOIR CONÇU UN ÉPOUVANTABLE. MAIS ME REPENTANT AUSSITÔT DE CE BLASPHÈME ENVERS LA PROVIDENCE, JE ME JETAI À GENOUX, J'EN DEMANDAI pardon à Dieu et me flattai q","(152810, 152977)","(81, 269)"
Sade_Infortunes_331,"érèse, me dit-il en accourant LE MÊME SOIR DANS MA CHAMBRE, COMME LES PROSPÉRITÉS PLEUVENT SUR MOI JE TE L'AI DIT souvent, l'idée d'un crime, o",". de Bressac en accourant dès LE MÊME SOIR DANS MA CHAMBRE, COMME LES PROSPÉRITÉS PLEUVENT SUR MOI JE TE L'AI DIT vingt fois, il n'est rien de ","(153141, 153224)","(81, 269)"
Sade_Infortunes_332,"s pas deux minutes, Thérèse ; SONGES-TU QUE J'AI VINGT-HUIT ANS, ET QU'IL EST DUR D'ATTENDRE À MON ÂGE ?... NON, QUE CECI NE CHANGE RIEN À NOS PROJETS, JE T'EN SUPPLIE, ET donne-moi la consolation de v","as deux minutes, mon enfant : SONGES-TU QUE J'AI VINGT-HUIT ANS ET QU'IL EST BIEN DUR D'ATTENDRE À MON ÂGE ? QUE CECI NE CHANGE RIEN À NOS PROJETS, JE T'EN SUPPLIE, ET que nous ayons la consolation","(153601, 153742)","(81, 269)"
Sade_Infortunes_333,"ue de notre retour à Paris... DEMAIN, APRÈS-DEMAIN AU PLUS TARD... IL ME TARDE DÉJÀ DE TE COMPTER UN QUARTIER DE tes rentes... de te mettre en"," à Paris... Tâche que ce soit DEMAIN, APRÈS-DEMAIN AU PLUS TARD, IL ME TARDE DÉJÀ DE TE COMPTER UN QUARTIER DE ta pension et de te mettre en","(153832, 153914)","(81, 269)"
Sade_Infortunes_334," l'acte qui te les assure... 
JE FIS DE MON MIEUX POUR DÉGUISER L'EFFROI QUE M'INSPIRAIT CET ACHARNEMENT, et je repris mes résolutions","ttre en possession du total. 
JE FIS DE MON MIEUX POUR DÉGUISER L'EFFROI QUE M'INSPIRAIT CET ACHARNEMENT dans le crime, je repris mon ","(153988, 154062)","(81, 269)"
Sade_Infortunes_335,"e m'étais chargée, le comte s'APERCEVRAIT BIENTÔT QUE JE LE JOUAIS, ET QUE, SI J'AVERTISSAIS MME DE BRESSAC, QUELQUE PARTI QUE LUI FÎT PRENDRE LA RÉVÉLATION DE CE PROJET, LE jeune comte, se voyant toujou","n'exécutais pas, le marquis s'APERCEVRAIT BIENTÔT QUE JE LE JOUAIS ; SI J'AVERTISSAIS MME DE BRESSAC, QUELQUE PARTI QUE LUI FÎT PRENDRE LA RÉVÉLATION DE CE CRIME, LE jeune homme se voyait toujour","(154202, 154345)","(81, 269)"
Sade_Infortunes_336," toute la vengeance du neveu. IL ME RESTAIT LA VOIE DE LA JUSTICE, MAIS rien au monde n'aurait pu me ","à toute la vengeance du fils. IL ME RESTAIT LA VOIE DE LA JUSTICE, MAIS pour rien au monde je n'eusse","(154518, 154559)","(81, 269)"
Sade_Infortunes_337,"donc à prévenir la marquise ; DE TOUS LES PARTIS POSSIBLES, CELUI-LÀ ME PARUT LE MEILLEUR ET JE M'Y LIVRAI. 
--MADAME, LUI DIS-JE LE LENDEMAIN DE MA DERNIÈRE ENTREVUE AVEC LE COMTE, J'AI QUELQUE CHOSE DE LA PLUS GRANDE IMPORTANCE À VOUS RÉVÉLER, MAIS À QUELQUE POINT QUE CELA vous intéresse, je suis décid","ver, à prévenir la comtesse ; DE TOUS LES PARTIS POSSIBLES, CELUI-LÀ ME PARUT LE MEILLEUR ET JE M'Y LIVRAI. 
--MADAME, LUI DIS-JE, LE LENDEMAIN DE MA DERNIÈRE ENTREVUE AVEC LE MARQUIS, J'AI QUELQUE CHOSE DE LA PLUS GRANDE CONSÉQUENCE À VOUS RÉVÉLER, MAIS À QUELQUE POINT QUE CELA vous touche, je suis décidée ","(154660, 154905)","(81, 269)"
Sade_Infortunes_338,"e la plus grande importance à VOUS RÉVÉLER, MAIS À QUELQUE POINT QUE CELA VOUS INTÉRESSE, JE SUIS DÉCIDÉE AU SILENCE, SI VOUS NE ME DONNEZ, AVANT, VOTRE PAROLE D'HONNEUR DE NE TÉMOIGNER aucun ressentiment à monsieur"," la plus grande conséquence à VOUS RÉVÉLER, MAIS À QUELQUE POINT QUE CELA VOUS TOUCHE, JE SUIS DÉCIDÉE AU SILENCE, SI VOUS NE ME DONNEZ AVANT VOTRE PAROLE D'HONNEUR DE NE TÉMOIGNER à M. votre fils aucun ressent","(154862, 155017)","(81, 269)"
Sade_Infortunes_339,"timent à monsieur votre neveu DE CE QU'IL A L'AUDACE DE PROJETER... VOUS AGIREZ, MADAME, VOUS PRENDREZ LES MEILLEURS MOYENS, MAIS VOUS NE DIREZ MOT. DAIGNEZ ME LE PROMETTRE, OU JE ME TAIS. 
MME DE BRESSAC, QUI CRUT QU'IL NE S'AGISSAIT QUE DE QUELQUES EXTRAVAGANCES ORDINAIRES À SON NEVEU, S'ENGAGEA PAR LE SERMENT QUE J'EXIGEAIS, et je révélai tout. Cette ma","votre fils aucun ressentiment DE CE QU'IL A L'AUDACE DE PROJETER ; VOUS AGIREZ, MADAME, VOUS PRENDREZ LE MEILLEUR PARTI, MAIS VOUS NE DIREZ MOT, DAIGNEZ ME LE PROMETTRE OU JE ME TAIS. 
MME DE BRESSAC, QUI CRUT QU'IL NE S'AGISSAIT QUE DE QUELQUES EXTRAVAGANCES ORDINAIRES À SON FILS, S'ENGAGEA PAR LE SERMENT QUE J'EXIGEAIS, et alors je lui révélai tout","(155060, 155358)","(81, 269)"
Sade_Infortunes_340,"ces ordinaires à son neveu, s'ENGAGEA PAR LE SERMENT QUE J'EXIGEAIS, ET je révélai tout. Cette malheu","nces ordinaires à son fils, s'ENGAGEA PAR LE SERMENT QUE J'EXIGEAIS, ET alors je lui révélai tout. Ce","(155321, 155362)","(81, 269)"
Sade_Infortunes_341,"tout. Cette malheureuse femme FONDIT EN LARMES EN APPRENANT CETTE INFAMIE. 
--LE MONSTRE S'ÉCRIA-T-ELLE, QU'AI-JE JAMAIS FAIT QUE POUR SON BIEN ? SI J'AI VOULU PRÉVENIR SES VICES, OU L'EN CORRIGER, QUEL AUTRE MOTIF QUE SON BONHEUR pouvait me contraindre à cett"," tout. Cette malheureuse mère FONDIT EN LARMES EN APPRENANT CETTE INFAMIE. 
--LE SCÉLÉRAT, S'ÉCRIA-T-ELLE, QU'AI-JE JAMAIS FAIT QUE POUR SON BIEN ? SI J'AI VOULU PRÉVENIR SES VICES OU L'EN CORRIGER, QUELS AUTRES MOTIFS QUE SON BONHEUR et sa tranquillité pouvaient ","(155404, 155604)","(81, 269)"
Sade_Infortunes_342,"ndre à cette sévérité ?... Et CETTE SUCCESSION QUI VIENT DE LUI ÉCHOIR, N'EST-ce pas à mes soins qu'il la d","cette rigueur ? A qui doit-il CETTE SUCCESSION QUI VIENT DE LUI ÉCHOIR, SI ce n'est à mes soins ? Si je ","(155653, 155700)","(81, 269)"
Sade_Infortunes_343,ouve-moi bien la vérité de ce PROJET... METS-MOI DANS LA SITUATION DE N'EN POUVOIR DOUTER ; J'AI BESOIN DE TOUT CE QUI PEUT ACHEVER D'ÉTEINDRE EN moi les sentiments que mon cœ,"e-moi bien la noirceur de son PROJET, METS-MOI DANS LA SITUATION DE N'EN POUVOIR PLUS DOUTER, J'AI BESOIN DE TOUT CE QUI PEUT ACHEVER D'ÉTEINDRE DANS mon cœur les sentiments de la","(155789, 155904)","(81, 269)"
Sade_Infortunes_344," voulut en faire des essais ; NOUS EN FÎMES AVALER UNE LÉGÈRE DOSE À UN CHIEN QUE NOUS ENFERMÂMES, ET QUI MOURUT AU BOUT DE DEUX HEURES DANS DES CONVULSIONS ÉPOUVANTABLES. Mme de Bressac, ne pouvant p",poison dont j'étais chargée ; NOUS EN FÎMES AVALER UNE LÉGÈRE DOSE À UN CHIEN QUE NOUS ENFERMÂMES AVEC SOIN ET QUI MOURUT AU BOUT DE DEUX HEURES DANS DES CONVULSIONS ÉPOUVANTABLES. La comtesse ne pouvant plus ,"(156120, 156260)","(81, 269)"
Sade_Infortunes_345,"pouvantables. Mme de Bressac, NE POUVANT PLUS DOUTER, SE DÉCIDA ; ELLE M'ORDONNA DE LUI DONNER LE RESTE DU POISON, ET ÉCRIVIT aussitôt par un courrier au d","ns épouvantables. La comtesse NE POUVANT PLUS DOUTER SE DÉCIDA SUR-LE-CHAMP AU PARTI QU'ELLE DEVAIT PRENDRE, ELLE M'ORDONNA DE LUI DONNER LE RESTE DU POISON ET ÉCRIVIT dans l'instant par un courrie","(156278, 156373)","(81, 269)"
Sade_Infortunes_346,"u poison, et écrivit aussitôt PAR UN COURRIER AU DUC DE SONZEVAL, SON PARENT, DE SE RENDRE CHEZ LE MINISTRE EN SECRET, D'Y DÉVELOPPER l'atrocité d'un neveu dont el","son et écrivit dans l'instant PAR UN COURRIER AU DUC DE SONZEVAL SON PARENT, DE SE RENDRE CHEZ LE MINISTRE EN SECRET, D'Y DÉVELOPPER la noirceur dont elle était à","(156383, 156486)","(81, 269)"
Sade_Infortunes_347, était à la veille de devenir VICTIME ; DE SE MUNIR D'UNE LETTRE DE CACHET ; D'ACCOURIR À SA TERRE LA DÉLIVRER LE PLUS TÔT POSSIBLE DU SCÉLÉRAT QUI conspirait aussi cruellement ,"elle était à la veille d'être VICTIME, DE SE MUNIR D'UNE LETTRE DE CACHET POUR SON FILS, D'ACCOURIR À SA TERRE AVEC CETTE LETTRE ET UN EXEMPT, ET DE LA DÉLIVRER LE PLUS TÔT POSSIBLE DU MONSTRE QUI conspirait contre ses jours..","(156548, 156665)","(81, 269)"
Sade_Infortunes_348,"il demanda ce qu'on lui avait FAIT ; CEUX À QUI IL S'ADRESSA, IGNORANT TOUT, NE LUI RÉPONDIRENT RIEN de clair ; de ce moment, il f","e qu'avait ce chien et où il éTAIT. CEUX À QUI IL S'ADRESSA, IGNORANT TOUT, NE LUI RÉPONDIRENT PAS. De ce moment sans doute il f","(157044, 157114)","(81, 269)"
Sade_Infortunes_349,"rien de clair ; de ce moment, IL FORMA DES SOUPÇONS ; IL NE DIT MOT, MAIS JE LE VIS troublé ; je fis part de son "," pas. De ce moment sans doute IL FORMA DES SOUPÇONS ; IL NE DIT MOT, MAIS JE LE VIS inquiet, agité, et aux aguets","(157140, 157193)","(81, 269)"
Sade_Infortunes_350,"'elle envoyait en diligence à PARIS PRIER LE DUC DE SONZEVAL DE SE METTRE SUR-LE-CHAMP À LA TÊTE DE LA SUCCESSION DE L'ONCLE DONT ON VENAIT D'HÉRITER, PARCE QUE SI PERSONNE NE PARAISSAIT, IL Y AVAIT DES PROCÈS À CRAINDRE ; ELLE AJOUTA QU'ELLE ENGAGEAIT LE DUC À VENIR LUI RENDRE COMPTE DE TOUT, AFIN QU'ELLE SE DÉCIDÂT à partir elle-même avec son n","lle envoyait en grande hâte à PARIS, PRIER LE DUC DE SONZEVAL DE SE METTRE SUR-LE-CHAMP À LA TÊTE DE LA SUCCESSION DE L'ONCLE DONT ON VENAIT D'HÉRITER, PARCE QUE SI QUELQU'UN NE PARAISSAIT PAS DANS LA MINUTE, IL Y AVAIT DES PROCÈS À CRAINDRE ; ELLE AJOUTA QU'ELLE ENGAGEAIT LE DUC À VENIR LUI RENDRE COMPTE DE TOUT AFIN QU'ELLE SE DÉCIDÂT elle-même à partir avec son f","(157469, 157757)","(81, 269)"
Sade_Infortunes_351,"affaire l'exigeait. Le comte, TROP BON PHYSIONOMISTE POUR NE PAS VOIR DE L'EMBARRAS SUR LE VISAGE DE SA TANTE, POUR NE PAS OBSERVER UN PEU DE CONFUSION DANS LE MIEN, SE PAYA DE TOUT ET N'EN FUT QUE mieux sur ses gardes. Sous le","faire l'exigeait. Le marquis, TROP BON PHYSIONOMISTE POUR NE PAS VOIR DE L'EMBARRAS SUR LE VISAGE DE SA MÈRE, POUR NE PAS OBSERVER UN PEU DE CONFUSION DANS LE MIEN, SE PAYA DE TOUT ET N'EN FUT QUE plus sûrement sur ses gardes.","(157828, 157995)","(81, 269)"
Sade_Infortunes_352,"de tout et n'en fut que mieux SUR SES GARDES. SOUS LE PRÉTEXTE D'UNE PROMENADE, IL S'ÉLOIGNE DU CHÂTEAU ; IL ATTEND LE COURRIER DANS UN LIEU OÙ IL DEVAIT INÉVITABLEMENT PASSER. CET HOMME, BIEN PLUS À LUI QU'À SA TANTE, NE FAIT AUCUNE DIFFICULTÉ DE LUI REMETTRE SES DÉPÊCHES, et Bressac, convaincu de ce ","et n'en fut que plus sûrement SUR SES GARDES. SOUS LE PRÉTEXTE D'UNE PARTIE DE PROMENADE AVEC SES MIGNONS, IL S'ÉLOIGNE DU CHÂTEAU, IL ATTEND LE COURRIER DANS UN LIEU OÙ IL DEVAIT INÉVITABLEMENT PASSER. CET HOMME, BIEN PLUS À LUI QU'À SA MÈRE, NE FAIT AUCUNE DIFFICULTÉ DE LUI REMETTRE SES DÉPÊCHES, et le marquis, convaincu de ","(158002, 158245)","(81, 269)"
Sade_Infortunes_353,"ien plus à lui qu'à sa tante, NE FAIT AUCUNE DIFFICULTÉ DE LUI REMETTRE SES DÉPÊCHES, ET Bressac, convaincu de ce qu'i","bien plus à lui qu'à sa mère, NE FAIT AUCUNE DIFFICULTÉ DE LUI REMETTRE SES DÉPÊCHES, ET le marquis, convaincu de ce q","(158191, 158249)","(81, 269)"
Sade_Infortunes_354,"convaincu de ce qu'il appelle SANS DOUTE MA TRAHISON, DONNE CENT LOUIS AU COURRIER AVEC ORDRE DE NE JAMAIS REPARAÎTRE chez sa tante. Il revient au ","onvaincu de ce qu'il appelait SANS DOUTE MA TRAHISON, DONNE CENT LOUIS AU COURRIER AVEC ORDRE DE NE JAMAIS REPARAÎTRE dans la maison, et y revient ","(158289, 158376)","(81, 269)"
Sade_Infortunes_355,"ce sera pour le lendemain, me FAIT OBSERVER QU'IL EST ESSENTIEL QUE CELA SOIT AVANT QUE LE DUC N'ARRIVE, PUIS SE couche d'un air tranquille et","de si ce sera pour demain, me FAIT OBSERVER QU'IL EST ESSENTIEL QUE CELA SOIT AVANT QUE LE DUC N'ARRIVE, ET SE couche tranquille et sans rie","(158558, 158640)","(81, 269)"
Sade_Infortunes_356, faire part ? Venons plutôt à LA MANIÈRE CRUELLE DONT JE FUS PUNIE DE N'AVOIR PAS VOULU m'en charger. Le lendemain de,ectures horribles et venons à LA MANIÈRE CRUELLE DONT JE FUS PUNIE DE N'AVOIR PAS VOULU participer à cette horreur et,"(158964, 159021)","(81, 269)"
Sade_Infortunes_357,"ec le flegme le plus grand, j'AI TROUVÉ UN MOYEN PLUS SÛR QUE CELUI QUE JE T'AVAIS PROPOSÉ POUR VENIR À BOUT DE NOS PROJETS ; MAIS CELA demande des détails, je n'ose","pparent de la tranquillité, j'AI TROUVÉ UN MOYEN PLUS SÛR QUE CELUI QUE JE T'AVAIS PROPOSÉ POUR VENIR À BOUT DE MES PROJETS, MAIS CELA demande du détail ; je n'ose ","(159296, 159401)","(81, 269)"
Sade_Infortunes_358,"ojets ; mais cela demande des DÉTAILS, JE N'OSE ALLER SI SOUVENT DANS TA CHAMBRE ; TROUVE-TOI À CINQ HEURES PRÉCISES AU COIN DU PARC, JE T'Y PRENDRAI ET NOUS IRONS FAIRE une promenade dans le bois, p","projets, mais cela demande du DÉTAIL ; JE N'OSE ALLER SI SOUVENT DANS TA CHAMBRE, JE CRAINS LES YEUX DE TOUT LE MONDE ; TROUVE-TOI À CINQ HEURES PRÉCISES AU COIN DU PARC, JE T'Y PRENDRAI, ET NOUS IRONS FAIRE ensemble une grande promenade","(159414, 159553)","(81, 269)"
Sade_Infortunes_359,"e une promenade dans le bois, PENDANT LAQUELLE JE T'EXPLIQUERAI TOUT. 
JE VOUS L'AVOUE, MADAME, SOIT PERMISSION DE LA PROVIDENCE, SOIT EXCÈS DE CANDEUR, SOIT AVEUGLEMENT, RIEN NE M'ANNONÇA L'AFFREUX MALHEUR QUI M'ATTENDAIT ; JE ME CROYAIS SI SÛRE DU SECRET ET DES ARRANGEMENTS DE la marquise, que je n'imagina","ensemble une grande promenade PENDANT LAQUELLE JE T'EXPLIQUERAI TOUT. 
JE L'AVOUE, SOIT PERMISSION DE LA PROVIDENCE, SOIT EXCÈS DE CANDEUR, SOIT AVEUGLEMENT, RIEN NE M'ANNONÇAIT L'AFFREUX MALHEUR QUI M'ATTENDAIT ; JE ME CROYAIS SI SÛRE DU SECRET ET DES ARRANGEMENTS DE la comtesse que je n'imaginai","(159582, 159831)","(81, 269)"
Sade_Infortunes_360,"uglement, rien ne m'annonça l'AFFREUX MALHEUR QUI M'ATTENDAIT ; JE ME CROYAIS SI SÛRE DU SECRET ET DES ARRANGEMENTS DE LA MARQUISE, QUE JE N'IMAGINAI JAMAIS QUE LE COMTE EÛT PU LES DÉCOUVRIR ; IL Y AVAIT POURTANT DE L'EMBARRAS DANS MOI. 
LE PARJURE EST VERTU quand on promit le crime, a d","lement, rien ne m'annonçait l'AFFREUX MALHEUR QUI M'ATTENDAIT ; JE ME CROYAIS SI SÛRE DU SECRET ET DES ARRANGEMENTS DE LA COMTESSE QUE JE N'IMAGINAI JAMAIS QUE LE MARQUIS EÛT PU LES DÉCOUVRIR. IL Y AVAIT POURTANT DE L'EMBARRAS DANS MOI : LE PARJURE EST VERTU quand on punit le crime a dit","(159743, 159971)","(81, 269)"
Sade_Infortunes_361,"'imaginai jamais que le comte EÛT PU LES DÉCOUVRIR ; IL Y AVAIT POURTANT DE L'EMBARRAS DANS MOI. 
LE PARJURE EST VERTU QUAND ON PROMIT LE CRIME, A DIT UN DE NOS POÈTES TRAGIQUES ; MAIS LE PARJURE EST TOUJOURS ODIEUX POUR L'ÂME DÉLICATE ET SENSIBLE QUI SE TROUVE OBLIGÉE D'Y AVOIR RECOURS. MON RÔLE M'EMBARRASSAIT. 
Quoi qu'il en fût, je me tr","maginai jamais que le marquis EÛT PU LES DÉCOUVRIR. IL Y AVAIT POURTANT DE L'EMBARRAS DANS MOI : LE PARJURE EST VERTU QUAND ON PUNIT LE CRIME A DIT UN DE NOS POÈTES TRAGIQUES, MAIS LE PARJURE EST TOUJOURS ODIEUX POUR L'ÂME DÉLICATE ET SENSIBLE QUI SE TROUVE OBLIGÉE D'Y AVOIR RECOURS ; MON RÔLE M'EMBARRASSAIT, ça ne fut pas long. Les odie","(159883, 160165)","(81, 269)"
Sade_Infortunes_362,"anter, comme il avait l'usage AVEC MOI. QUAND JE VOULAIS METTRE LA CONVERSATION SUR L'OBJET QUI LUI AVAIT FAIT DÉSIRER NOTRE ENTRETIEN, IL ME DISAIT TOUJOURS D'ATTENDRE, QU'IL CRAIGNAIT QU'ON NE NOUS OBSERVÂT, ET QUE NOUS N'ÉTIONS PAS ENCORE EN SÛRETÉ ; INSENSIBLEMENT NOUS ARRIVÂMES VERS les quatre arbres où j'avais ","ter comme il en avait coutume AVEC MOI. QUAND JE VOULAIS METTRE LA CONVERSATION SUR L'OBJET QUI LUI AVAIT FAIT DÉSIRER NOTRE ENTRETIEN, IL ME DISAIT TOUJOURS D'ATTENDRE, QU'IL CRAIGNAIT QU'ON NE NOUS OBSERVÂT ET QUE NOUS N'ÉTIONS PAS ENCORE EN SÛRETÉ. INSENSIBLEMENT NOUS ARRIVÂMES VERS ce buisson et ce gros chêne, ","(160415, 160673)","(81, 269)"
Sade_Infortunes_363,"s'offrit alors à mes regards, ET JUGEZ SI MA FRAYEUR REDOUBLA, QUAND JE VIS les dispositions de ce lieu f","ards dans toute leur étendue, ET JUGEZ SI MA FRAYEUR REDOUBLA QUAND JE VIS au pied du funeste chêne où j","(160833, 160878)","(81, 269)"
Sade_Infortunes_364," reconnais-tu ce buisson d'où JE T'AI TIRÉE COMME UNE BÊTE SAUVAGE, POUR TE RENDRE À LA VIE QUE TU AVAIS MÉRITÉ DE PERDRE ?... RECONNAIS-TU CES ARBRES OÙ JE MENAÇAI DE TE REMETTRE SI TU ME DONNAIS JAMAIS OCCASION DE ME REPENTIR DE MES BONTÉS ? POURQUOI ACCEPTAIS-TU LES SERVICES QUE JE TE DEMANDAIS contre ma tante si tu avais d"," reconnais-tu ce buisson dont JE T'AI TIRÉE COMME UNE BÊTE SAUVAGE POUR TE RENDRE À LA VIE QUE TU AVAIS MÉRITÉ DE PERDRE ? RECONNAIS-TU CET ARBRE, OÙ JE TE MENAÇAI DE TE REMETTRE SI TU ME DONNAIS JAMAIS SUJET DE ME REPENTIR DE MES BONTÉS ? POURQUOI ACCEPTAIS-TU LES SERVICES QUE JE TE DEMANDAIS contre ma mère si tu avais de","(161308, 161576)","(81, 269)"
Sade_Infortunes_365,"tu me donnais jamais occasion DE ME REPENTIR DE MES BONTÉS ? POURQUOI ACCEPTAIS-TU LES SERVICES QUE JE TE DEMANDAIS CONTRE MA TANTE SI TU AVAIS DESSEIN DE ME TRAHIR, ET COMMENT AS-TU IMAGINÉ de servir la vertu en risquan","si tu me donnais jamais sujet DE ME REPENTIR DE MES BONTÉS ? POURQUOI ACCEPTAIS-TU LES SERVICES QUE JE TE DEMANDAIS CONTRE MA MÈRE SI TU AVAIS DESSEIN DE ME TRAHIR, ET COMMENT AS-TU IMAGINÉ servir la vertu en risquant l","(161491, 161651)","(81, 269)"
Sade_Infortunes_366,", et comment as-tu imaginé de SERVIR LA VERTU EN RISQUANT LA LIBERTÉ DE CELUI À QUI TU DEVAIS le bonheur ? Nécessairement p","hir, et comment as-tu imaginé SERVIR LA VERTU EN RISQUANT LA LIBERTÉ DE CELUI À QUI TU DEVAIS la vie ? Nécessairement placé","(161655, 161718)","(81, 269)"
Sade_Infortunes_367,"cessairement placée entre ces DEUX CRIMES, POURQUOI AS-TU CHOISI LE PLUS ABOMINABLE ? 
--HÉLAS n'avais-je pas choisi le moin","? Nécessairement placée entre DEUX CRIMES, POURQUOI AS-TU CHOISI LE PLUS ABOMINABLE ? TU n'avais qu'à me refuser ce qu","(161764, 161828)","(81, 269)"
