,Text in Lesuire_Crime,Text in B,Location in Lesuire_Crime,Location in B
Prevost_Manon_1, m'amuser aux dépens de ce fat. JE ME CONTENTAI DE LUI DIRE QUE je ne comprenas pas ce qu'il v,modérer jusqu'à l'extrémité : JE ME CONTENTAI DE LUI DIRE QUE JE le croyais trop de mes amis p,"(617553, 617587)","(43032, 43075)"
Prevost_Monde_0,"e à le détruire dans l'esprit DE SON PÈRE ET DE SA MÈRE, afin que l'héritage leur res","qu'elle voyait, par l'exemple DE SON PÈRE ET DE SA MÈRE, qu'il était bien triste de p","(148151, 148176)","(187423, 187448)"
Retif_Paysanne_0," autres, Le Repentir. 
“C'est TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il "," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu","(8437, 8467)","(18833, 18862)"
Retif_Paysanne_1,"e à le détruire dans l'esprit DE SON PÈRE ET DE SA MÈRE, afin que l'héritage leur res","pourrait-il goûter, après la mORT DE SON PÈRE ET DE SA mère, que nous avons tués !apr","(148151, 148176)","(18833, 18862)"
Reveroni_Pauliska_0,"l'ancre, sans faire attention À MOI, SANS QUE JE M'EN FUSSE APERçu. Ma mère dormait profondéme","digne acolyte, placé derrière-MOI, SANS QUE JE M'EN FUSSE APERÇU attacha fortement sur mon col","(388520, 388554)","(296588, 296622)"
Riccoboni_Histoire_0,"e secret qu'elle a “été élevée. JE SUIS SÛRE DE CE QUE JE “VOUS Dis, comme de mon existence. “V","plus, rien ne peut me sauver. JE SUIS SÛRE DE CE QUE JE VOUS DIS. Qu'avez-vous fait, cruelle? ","(227514, 227549)","(138764, 138798)"
Riccoboni_LettresFanni_0,"r, qu'il en jouira noblement. C'EST “TOUT CE QUE JE PUIS FAIre, pour le “présent; mais, pa"," m'inquiéter, me chagriner, c'EST TOUT CE QUE JE PUIS FAIRE. Ah! Pourquoi vous ai-je aimé","(656934, 656964)","(57805, 57834)"
Rousseau_Emile_0,iré qu'il la fixât sur moi. J'AI FAIT CE QUE J'AI PU POUR attirer ses regards. Son œil , seul qui m'en peut guérir. J'AI FAIT CE QUE J'AI PU POUR atteindre à la vérité; mais s,"(44206, 44233)","(803129, 803156)"
Rousseau_Julie_0,"t'aurois pas laissée deux jourS DANS UN LIEU SI PEU DIGNE de toi. 
Je ne veux pas que le",sser volontairement la soirée DANS UN LIEU SI PEU DIGNE DE vous et de n’avoir pas fui de,"(284330, 284358)","(575315, 575343)"
Rousseau_Julie_1,"Vous me voyez “si accablée, quE JE N'AI PAS LA FORCE DE “VOus écrire. Je ne puis me passe","z toutes mes faiblesses, mais JE N’AI PAS LA FORCE DE VOUS les dire. Cher Wolmar, c’est ","(418912, 418941)","(575315, 575343)"
Rousseau_Julie_2,"r, qu'il en jouira noblement. C'EST “TOUT CE QUE JE PUIS FAIRE, POur le “présent; mais, par la s",n de ton crédit renaissant: c’EST TOUT CE QUE JE PUIS FAIRE POUR que la fête ne se fasse pas s,"(656934, 656970)","(575315, 575343)"
Sade_120_0," des autres, Le Repentir. 
“C'EST TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il "," le faire rouer, messieurs, c'EST TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","(8433, 8467)","(428063, 428096)"
Sade_120_1,"ent instruits, repartis-je, de “TOUT CE QUE JE PUIS VOUS DIre; vous me “détaillez exactem","z-vous et soyez docile, c'est TOUT CE QUE JE PUIS VOUS DIRE.""---Grancourt obéit et dans u","(521499, 521528)","(428063, 428096)"
Sade_Aline_0," des autres, Le Repentir. 
“C'EST TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il "," passés à des collatéraux … c’EST TOUT CE QUE JE PUIS VOUS DIRE, qui que ce fut que vous inte","(8433, 8467)","(273076, 273109)"
Sade_Aline_1,"emps, des auteurs de mes jours, DE CE QUE J'AI DE PLUS CHER AU MONde; mais par qui, bon Dieu! vo"," honneurs, achetés aux dépens DE CE QUE J’AI DE PLUS CHER AU MONDE? Dussai je être le plus malhe","(356617, 356653)","(273076, 273109)"
Sade_Justine_0,"silence, un torrent de larmes. 
JE FIS CE QUE JE PUS POUR la consoler, il me semblait qu","le compagne dans les pleurs ; JE FIS CE QUE JE PUS POUR LA calmer, mais il n'est pas ais","(817956, 817984)","(374482, 374510)"
Sade_Philosophie_0," des autres, Le Repentir. 
“C'EST TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ","e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","(8433, 8467)","(343584, 343617)"
Segur_Correspondance_0," autres, Le Repentir. 
“C'est TOUT CE QUE JE PUIS VOUS “DIRE pour le présent.“ Quoi qu'il ",". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","(8437, 8467)","(59642, 59671)"
Segur_Correspondance_1,iré qu'il la fixât sur moi. J'AI FAIT CE QUE J'AI PU POUR attirer ses regards. Son œil ,"re, en me séparant de vous; j'AI FAIT CE QUE J'AI PU, POUR que vous ne vissiez pas coule","(44206, 44233)","(59642, 59671)"
Segur_Correspondance_2," pourtant quelque différence, ENTRE VOTRE FAÇON DE PENSER ET LA MIENNE. Vous me croyez un peu impie,",a qu'il y a tant de sympathie ENTRE VOTRE FAÇON DE PENSER ET LA MIENNE qu'il ne me serait pas possib,"(69433, 69473)","(59642, 59671)"
Senac_Emigre_0,"oi. Vous me voyez “si accablée, QUE JE N'AI PAS LA FORCE DE “VOus écrire. Je ne puis me passe", elle vous instruira de détailS QUE JE N'AI PAS LA FORCE DE VOus faire. L'avis qu'on me donn,"(418908, 418941)","(457665, 457697)"
Senac_Emigre_1,"en se précipitant “sur moi, quE JE VOUS EMBRASSE DE “TOUT MON CŒur! Que je suis heureux, “que ","ue dans tous vos atours. Adieu, JE VOUS EMBRASSE DE TOUT MON CŒur. 
LETTRE CXXXIV. 
La Cesse ","(627603, 627637)","(457665, 457697)"
Souza_Adele_0," 
Le soupirail de la cave étaiT TROP HAUT POUR QUE JE PUSSE Y ATTEINDre, trop étroit pour que je pu","proche; il est toujours resté TROP HAUT POUR QUE JE PUSSE L'ATTEINDRE ."" A ces derniers mots, elle ","(721341, 721380)","(98027, 98066)"
Tiphaigne_Galligenes_0,ssant faire peu d'attention à CE QUI SE PASSAIT AUTOUR DE LUI. Je lui ai adressé la parole ,Duncan prenait plus de part à CE QUI SE PASSAIT AUTOUR DE LUI. Il regardait successivement ,"(44444, 44475)","(1985, 2016)"
