,Text in Anonyme_Etourdi,Text in B,Location in Anonyme_Etourdi,Location in B
Reveroni_Pauliska_0, trois mois elle était sortie DU COUVENT OÙ ELLE AVAIT ÉTÉ ÉLEVÉE avec tout le faste d'une pers,"e ses questions. On s'informa DU COUVENT OÙ ELLE AVAIT ÉTÉ ÉLEVÉE, du caractère et de l'ordre d","(115400, 115435)","(223873, 223908)"
Riccoboni_LettresAdelaide_0," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE ELLE reçoit et donne mille baisers"," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE ELLE se tait, elle est impénétrabl","(62685, 62721)","(11531, 11567)"
Rosny_Firmin_0,"mes questions, mais la parole EXPIRA SUR MES LÈVRES, ET MON SILENCE parla d'une manière bien conf",", le cri de la reconnaissance EXPIRA SUR MES LÈVRES, ET MON SILENCE fut, je crois, plus expressif","(172915, 172952)","(149020, 149057)"
Rousseau_Emile_0,"ns-les dans leurs progrès. 
"" UN JEUNE HOMME ENTRE DANS LE MONDE avec un mérite naissant, qui ",e la vanité qu faut préserver UN JEUNE HOMME ENTRANT DANS LE MONDE: il cède plus aux penchants d,"(105795, 105829)","(914963, 914999)"
Rousseau_Julie_0,"tir le pistolet sur la gorge. JE SUIS CAPABLE DE TOUT, HORS DE RENONCER À TOI. "" Cette lettre, qui me fut r","gis comme une lionne irritée; JE SUIS CAPABLE DE TOUT, HORS DE RENONCER À TOI, et il n’y a rien, non, rien ","(33053, 33100)","(126708, 126755)"
Rousseau_Julie_1,". Il en est ainsi des hommes. LE ZÈLE APPARENT DE LA VÉRITÉ N'EST JAMAIS EN EUX QUE LE MASQUE DE L'INTÉRÊT, ou si tu veux ils ressemblen"," de faire penser à autrui; et LE ZÈLE APPARENT DE LA VÉRITÉ N’EST JAMAIS EN EUX QUE LE MASQUE DE L’INTÉRÊT. 
Vous croiriez que le gens i","(44164, 44240)","(126708, 126755)"
Rousseau_Julie_2,"femmes, elles sont en général FRIVOLES, RUSÉES, ARTIFICIEUSES, ÉTOURDIES, VOLAGES, PARLANT BIEN, MAIS NE PENSANT POINT, SENTANT ENCORE MOINS, ET DÉPENSANT TOUT LEUR MÉRITE EN VAIN BABIL, ne connaissant ni le vrai am","eur caractère; elle les peint FRIVOLES, RUSÉES, ARTIFICIEUSES, ÉTOURDIES, VOLAGES, PARLANT BIEN, MAIS NE PENSANT POINT, SENTANT ENCORE MOINS ET DÉPENSANT AINSI TOUT LEUR MÉRITE EN VAIN BABIL. Tout cela me paraît à moi le","(44434, 44589)","(126708, 126755)"
Rousseau_Julie_3,"eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba"," sentir que je lui convenois, ET POUR LA PREMIÈRE FOIS DE SA VIE il prit un attachement. Ce go","(62682, 62716)","(126708, 126755)"
Sade_120_0,vœu fatal qui la comdamnait à PASSER LE RESTE DE SES JOURS DANS UNE prison. Elle était également ,tre mère s'était déterminée à PASSER LE RESTE DE SES JOURS DANS UN petit appartement secret qu'i,"(191523, 191560)","(204923, 204959)"
Sade_Justine_0,"ré pour désigner également le PLAISIR LE PLUS VIF ET LE PLUS vrai, et la colère la mieux c"," et tu connaîtras de tous les PLAISIRS LE PLUS VIF ET LE PLUS piquant. 
Roland sortit en di","(96325, 96355)","(511104, 511135)"
Sade_Philosophie_0,x pavots de Morphée la source DU TORRENT DE DÉLICES DANS LEQUEL JE paraissais nager encore. Mais,"u n'as pas d'idée, cher ange, DU TORRENT DE DÉLICES DANS LEQUEL JE me suis plongée de cette mani","(3103, 3139)","(86258, 86294)"
Segur_Correspondance_0,"rsées. Je ne suis plus à moi, JE NE SAIS CE QUE JE VEUX. Suspendue entre deux mouveme",lheureuse d'en être éloignée. JE NE SAIS CE QUE JE VEUX. Pourquoi ma passion n'est-el,"(144034, 144059)","(558326, 558351)"
Senac_Emigre_0,"de mieux dans la ville, et de CE QU'IL Y A DE PLUS AIMABLE DANS L'UN et l'autre sexe. 
Nous fîmes ",lus distinguées ; qui a connu CE QU'IL Y A DE PLUS AIMABLE DANS UN pays où le plus grand mérite ,"(224659, 224697)","(114160, 114196)"
