,Text in Arnaud_Sentiment,Text in B,Location in Arnaud_Sentiment,Location in B
Marmontel_Contes_3," sévérité... mais Batilde est TOUT CE QUE JE VOIS, TOUT CE QUE j'aime; Ranulphe m'a parlé av"," la cause de votre infortune, TOUT CE QUE JE VOIS, TOUT CE QUE j'entends m'intéresse à vous.","(487053, 487085)","(117562, 117592)"
Marmontel_Contes_4,"ut des travailleurs... tenez, TOUT CE QUE JE PUIS FAIRE POUR VOUS, est de vous faire la charité","eutenance d'infanterie, c'est TOUT CE QUE JE PUIS FAIRE POUR VOUS. Jacquaut lui répondit avec r","(592347, 592382)","(117562, 117592)"
Marmontel_Contes_5,"mbé dans cet excès de malheur?QUE JE VOUS PLAINS, ET QUE JE suis pénétrée de ne pouvoir v",use fille? Qu'avez-vous fait? QUE JE VOUS PLAINS! ET QUE JE plains cet innocent! Ces dern,"(605694, 605723)","(117562, 117592)"
Marmontel_Incas_0," de l'apercevoir, elle tombe éVANOUIE DANS LES BRAS DE SA MÈRE. 
Nos érudits et nos philosop","de son amante. Hélas! Encore éVANOUIE DANS LES BRAS DE SA MÈRE, ses yeux, obscurcis d'un nua","(37981, 38013)","(426161, 426193)"
Merard_Bergeries_0," Nancy, r'ouvre les yeux... c'EST POUR LA DERNIÈRE FOIS QUE JE t'embrasse! Nancy! Nancy! Éco",", âme „des cœurs sensibles, c'EST POUR LA „DERNIÈRE FOIS QUE JE viens t'importuner; daigne ne","(434676, 434708)","(35274, 35307)"
Merard_Bergeries_1,! Il l'aime! ... Il est aimé! IL NE M'EST PLUS POSSIBLE D'EN DOUTER! Malheureux Archambaud! Le fa,me l'ont fait assez entendre; IL NE M'EST PLUS POSSIBLE D'EN DOUTER. Qu'il soit tout ce que son v,"(463769, 463806)","(35274, 35307)"
Mercier_Jezennemours_0,"porté d'amour:-ah! Thoward, c'EN EST FAIT, JE NE SUIS PLUS à moi; j'ai vu la beauté, la ","m'a conduit jusqu'ici; mais c'EN EST FAIT, JE NE SUIS PLUS curieux d'avancer dans la vie","(3251, 3279)","(362381, 362409)"
Mirabeau_Rideau_0,"r diminuait, s'affaiblissoit; IL NE SE PASSAIT POINT DE JOUR que les plus jolies créatures",es caresses les plus tendres; IL NE SE PASSAIT POINT DE JOUR qu'il ne me prît dans ses bra,"(40838, 40868)","(8907, 8937)"
Morelly_Naufrage_0,"ir ma parole.-Arrêtez... vous PORTEZ À MON CŒUR LES COUPS LES PLUS inattendus, les plus terrible","âme .... ne me déguisez rien, PORTEZ À MON CŒUR LES COUPS LES PLUS terribles, arrachez-moi à une","(899229, 899265)","(424346, 424382)"
Nerciat_Felicia_0,me procurerai ma subsistance; IL ME FAUT SI PEU DE CHOSE POUR vivre! Du moins je vous verra,"ais qu'on fera bien de lire. 
IL FAUT SI PEU DE CHOSE POUR bouleverser une jeune tête qu","(257153, 257184)","(22311, 22339)"
Nerciat_Felicia_1," à se dessiller. 
Son amie la PRESSE DE VENIR SOUPER CHEZ ELLE AVEC un de ses parents, nouvelleme","de la loge, une amie qui nous PRESSA DE VENIR SOUPER CHEZ ELLE, AVEC des gens fort du goût de Sylv","(401097, 401134)","(22311, 22339)"
Prevost_Manon_0,"ir que, si elle eût découvert CE QUI SE PASSAIT DANS SON CŒUR, on l'aurait traitée de femme",e manière qui me fit juger de CE QUI SE PASSAIT DANS SON CŒUR. « Mais quel moyen prendrons-,"(298728, 298759)","(265275, 265306)"
Prevost_Monde_0,"es agréments de Julie; adorée DE SON PÈRE ET DE SA MÈRE, elle les aimait de même.On s","qu'elle voyait, par l'exemple DE SON PÈRE ET DE SA MÈRE, qu'il était bien triste de p","(250164, 250189)","(187423, 187448)"
Prevost_Monde_1,"ir que, si elle eût découvert CE QUI SE PASSAIT DANS SON CŒUR, on l'aurait traitée de femme","pes. Si je ne lisais pas tout CE QUI SE PASSAIT DANS SON CŒUR, j'en connaissais si parfaite","(298728, 298759)","(187423, 187448)"
Retif_AntiJustine_0,"st-ce à vous à m'accabler? Ah!JE SUIS VOTRE FILS; JE LE SENS AU respect, à la tendresse qui m",. à mon insatiable con... que JE SUIS VOTRE FILLE... JE LE SENS AU plaisir... que me fait la cél,"(127490, 127523)","(164629, 164665)"
Retif_Paysanne_0,me-là a fait plus de mariages QUE TOUS TANT QUE NOUS SOMMES NOUS n'avons eu de bonnes fortunes,"est qu'elle a été si aimable, QUE TOUS TANT QUE NOUS SOMMES NOUS en étions fous ; et il n'est ","(32591, 32625)","(42577, 42611)"
Retif_Paysanne_1,ervi mon amour? Tu m'as rendu LE PLUS COUPABLE ET LE PLUS MALHEUREUX DES hommes! Une horrible amertume,"sera portée, le duelliste est LE PLUS COUPABLE ET LE PLUS VIL DES hommes. 
À l'appui de cette a","(36455, 36497)","(42577, 42611)"
Retif_Paysanne_2,"es agréments de Julie; adorée DE SON PÈRE ET DE SA MÈRE, elle les aimait de même.On s","pourrait-il goûter, après la mORT DE SON PÈRE ET DE SA mère, que nous avons tués !apr","(250164, 250189)","(42577, 42611)"
Reveroni_Pauliska_0,"re! C'est-là qu'est mon mal, (EN METTANT LA MAIN SUR SON CŒUR,) ET ce mal ne se guérit point. No"," répondit d'un air suppliant, EN METTANT LA MAIN SUR SON CŒUR, ET me montrant un hameau : quelq","(140856, 140892)","(103230, 103265)"
Reveroni_Pauliska_1,"ait la plume, et la reprenait EN LEVANT LES YEUX AU CIEL, ET les reportant sur le papier i","rochez, mon enfant, me dit-il EN LEVANT LES YEUX AU CIEL, ET commencez... » J'ignorais abs","(425435, 425465)","(103230, 103265)"
Riccoboni_Histoire_0,nte: elle fait un effort pour SE JETER DANS LES BRAS DE SON père; elle s'écrie: eh bien! ,"e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une","(62552, 62581)","(86876, 86904)"
Riccoboni_LettreJuliette_0,"us adroites flatteries, piège DONT IL EST SI DIFFICILE DE SE GARANTIR! Il le pressa, si l'on peut l","es vices où il conduit; vices DONT IL EST SI DIFFICILE DE SE GARANTIR dans nos cercles, au milieu d","(885205, 885244)","(11169, 11208)"
Riccoboni_LettresAdelaide_0,"ffections criminelles; il y a DES MOMENTS OÙ JE SUIS PRÊTE DE quitter ces lieux, de voler v","t quelquefois mon envie; il esT DES MOMENT OÙ JE SUIS PRÊTE À TOut quitter, à me renfermer ave","(128588, 128619)","(126159, 126193)"
Riccoboni_LettresAdelaide_1,x! Je te vois! Je te possède! JE SUIS LE PLUS HEUREUX DES HOMMES! Bientôt perdant cette erreur,"r que je sens? ... je l'épouse; JE SUIS LE PLUS HEUREUX DES HOMMes? "" Madame De Termes s'étonn","(434501, 434535)","(126159, 126193)"
Riccoboni_LettresAdelaide_2,"un siège.-Ranulphe, elle vous AIME, JE N'EN PUIS PLUS DOUTER! ... JE N'EN doute point; mais je me comba","raison, mon cher comte, je suiS AIMÉE, JE N'EN PUIS PLUS DOUTER, JE N'en veux plus douter! Aimable, ","(462084, 462127)","(126159, 126193)"
Riccoboni_LettresFanni_0,"e baisers et de larmes, voilà LES MOMENTS LES PLUS DOUX DE MA VIE! Je sens tout le prix d'un ef","r, quand nous nous rappellons LES MOMENT LES PLUS DOUX DE NOTRE VIE; pouvons-nous, sans frémir, é","(143738, 143773)","(14338, 14375)"
Riccoboni_LettresFanni_1,rouble vous instruit assez de CE QUI SE PASSE DANS MON CŒUR. Il y a long-temps que je brû,"vilain visage qui décèle tout CE QUI SE PASSE DANS MON CŒUR; ma joie me trahiroit, on la ","(304195, 304224)","(14338, 14375)"
Riccoboni_MissJenny_0,"ais à Mélanie; son âme a volé AUX PIEDS DE LA MAÎTRESSE DE SON sort; il lui parle du cœur, i",ait la terminer et le ramener AUX PIEDS DE LA MAÎTRESSE DE SON cœur. Son impatience augmenta,"(149781, 149813)","(69179, 69211)"
Riccoboni_MissJenny_1, sa colère.-Mon père est mort AVEC DES SENTIMENTS DE HAINE CONTRE SON MALHEUREUX FILS!-Il vous a deshérité.-Que me ,"l est mort sans me pardonner! AVEC DES SENTIMENT DE HAINE CONTRE SON MALHEUREUX FILS!-non, mon frère, reprit Sir C","(411421, 411476)","(69179, 69211)"
Riccoboni_MissJenny_2,"t qu'un enfant inspire... ah! CE N'EST PAS POUR MOI QUE JE m'abaisserois... Richard, dai","eur de mes derniers instants. CE N'EST PAS POUR MOI QUE JE vous implore, c'est pour l'in","(591612, 591640)","(69179, 69211)"
Rosny_Firmin_0,rouble vous instruit assez de CE QUI SE PASSE DANS MON CŒUR. Il y a long-temps que je brû,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,"(304195, 304224)","(58607, 58636)"
Rousseau_Emile_0,"n'ai jamais vu mon papa; tout CE QUE JE SAIS BIEN, C'EST QUE c'est lui qui nous a tous ren","ur des idées que je n'ai pas. CE QUE JE SAIS BIEN, C'EST QUE l'identité du moi ne se prolo","(83938, 83968)","(768728, 768758)"
Rousseau_Emile_1,"e de toutes les législations, DE TOUS LES PAYS, DE TOUS LES âges; nous le sçavons: l'huma"," est de toutes les religions, DE TOUS LES PAYS, DE TOUS LES hommes. Quant au culte extéri","(1185521, 1185550)","(768728, 768758)"
Rousseau_Julie_0,", je n'ai jamais vu mon papa; TOUT CE QUE JE SAIS BIEN, C'EST QUE c'est lui qui nous a tous ren","ce que j’aurois été moi-même. TOUT CE QUE JE SAIS BIEN, C’EST QUE, si sa mauvaise étoile me l’e","(83933, 83968)","(1320895, 1320930)"
Sade_120_0,me procurerai ma subsistance; IL ME FAUT SI PEU DE CHOSE POUR vivre! Du moins je vous verra,"la le motif de ses plaintes ; IL FAUT SI PEU DE CHOSES POUR déplaire à un libertin, tant ","(257153, 257184)","(248396, 248425)"
Sade_120_1," société, et sentit le besoin DE DÉCOUVRIR CE QUI SE PASSAIT DANS son cœur. Bell, au milieu des","l m'a toujours été impossible DE DÉCOUVRIR CE QUI SE PASSAIT DANS cet infernal cabinet, mais le","(546601, 546636)","(248396, 248425)"
Sade_Aline_0,"tre dans ton cœur, il te dira QUE TU AS FAIT UNE BONNE ACTION, ET son suffrage ne doit-il pas t","âme sensible; mais ne dis pas QUE TU AS FAIT UNE BONNE ACTION, ET si tu m’en vois faire une con","(240027, 240062)","(474382, 474417)"
Sade_Aline_1,"ntence allait être prononcée. LE PÈRE ET LA MÈRE DU JEUNE HOMME accourent, tombent aux genoux",t aussi simple que naturelle: LE PÈRE ET LA MÈRE DU JEUNE HOMME le conduisaient à la maison d,"(1120406, 1120439)","(474382, 474417)"
Sade_Justine_0," dit: oui, je viens d'immoler CE QUE J'AVAIS DE PLUS CHER; ET il veut ramasser son épée et ","vec effroi de m'avoir arraché CE QUE J'AVAIS DE PLUS CHER, ET de m'avoir réduite, par l'enc","(941544, 941575)","(451622, 451653)"
Segur_Correspondance_0,"-votre bonheur! Ah! Monsieur! IL N'EST PAS EN MON POUVOIR DE faire votre bonheur, ni le mi","ns sentir qu'elle pourra; car IL N'EST PAS EN MON POUVOIR DE la gâter, en la flattant de s","(184098, 184128)","(63785, 63815)"
Segur_Correspondance_1," si dénaturé par son alliage! JE VOUS AVOUERAI QUE, DEPUIS QUELQUE TEMPS, JE SUIS bien fatigué, bien excédé de ","et, pour changer de discours, JE VOUS AVOUERAI QUE, DEPUIS QUELQUE TEMPS JE SUIS moins empressée de mon retour","(733369, 733420)","(63785, 63815)"
Segur_Correspondance_2,"Julie, peuvent enfin éclater. JE NE DOUTE POINT QUE VOUS NE soyez instruite des raisons q"," pour le cardinal de Fleuri ; JE NE DOUTE POINT QUE VOUS NE la trouviez bien. 
Monseigneu","(776236, 776265)","(63785, 63815)"
Segur_Correspondance_3,"deux cœurs réunis par l'amour LE PLUS VIF ET LE PLUS TENDRE, et que lie encore davantage ","aire, puisque c'est l'intérêt LE PLUS VIF ET LE PLUS TENDRE qui le dicte à ma plume; et i","(795750, 795779)","(63785, 63815)"
Senac_Emigre_0,"amour; je le sais: mais c'est TOUT CE QUI EST EN MON POUVOIR. Si vous m'aimiez, si vous av","iscrétion, et tout ce que j'ai, TOUT CE QUI EST EN MON POUVOir est à ses ordres. J'en étai","(20197, 20227)","(337704, 337734)"
Senac_Emigre_1," sévérité... mais Batilde est TOUT CE QUE JE VOIS, TOUT CE QUE j'aime; Ranulphe m'a parlé av","érêt à moi ? mais expliquez-moI TOUT CE QUE JE VOIS, TOUT CE Que j'entends depuis mon réveil","(487053, 487085)","(337704, 337734)"
Senac_Emigre_2,"ai pas, je viens expirer ici, ET VOUS PARLER POUR LA DERNIÈRE FOIS d'un amour qui a pu vous affl","ur moi de ne plus rien ménager, ET, VOUS PARLANT POUR LA DERNIÈRE FOis, de vous dire que je vous a","(680819, 680855)","(337704, 337734)"
Senac_Emigre_3,"'il ne sera point votre mari; JE VOUS EN CONJURE AU NOM DE l'amitié qui nous unissait, a","a calmer. Ne perdez pas de temPS, JE VOUS EN CONJURE, AU NOm de votre tendre amitié pour ","(690397, 690425)","(337704, 337734)"
Souza_Adele_0,nte: elle fait un effort pour SE JETER DANS LES BRAS DE SON père; elle s'écrie: eh bien! ," vis s'élancer de la voiture, SE JETER DANS LES BRAS DE SON amie, l'embrasser, lui demand","(62552, 62581)","(5248, 5277)"
Souza_Adele_1,me procurerai ma subsistance; IL ME FAUT SI PEU DE CHOSE POUR vivre! Du moins je vous verra," ils paraissaient heureux; et IL FAUT SI PEU DE CHOSE POUR troubler le bonheur, que j'ai","(257153, 257184)","(5248, 5277)"
Souza_Adele_2,moiselle.-Et quelle raison...-JE N'AI PAS EU LE TEMPS DE poursuivre ma route; j'ai ren, vous l'eussiez dirigée; mais JE N'AI PAS EU LE TEMPS DE vous consulter. Entraîné par ,"(794608, 794634)","(5248, 5277)"
Tiphaigne_Galligenes_0,"ir que, si elle eût découvert CE QUI SE PASSAIT DANS SON CŒUR, on l'aurait traitée de femme","aient de voir, dans ses yeux, CE QUI SE PASSAIT DANS SON CŒUR. Almont, comme un homme qui a","(298728, 298759)","(69080, 69111)"
Voltaire_Candide_0,"e peut, toujours dans le sein DE TON PÈRE ET DE TA MÈRE; songe que le premier des bie", et tu fais par là la fortune DE TON PÈRE ET DE TA MÈRE. » Hélas ! je ne sais pas si ,"(12766, 12791)","(100547, 100572)"
Voltaire_Princesse_0,"ts de larmes; D'Estival était TOUT CE QU'ELLE VOYAIT, TOUT CE QU'ELLE aimait, tout ce qui remplissa"," avait vu dans cette journée, TOUT CE QU'ELLE VOYAIT, TOUT CE QU'ELLE entendait, et surtout ce qu'e","(128259, 128298)","(39013, 39052)"
