,Text in Arnaud_Epoux,Text in B,Location in Arnaud_Epoux,Location in B
Lesuire_Crime_1,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","ent instruits, repartis-je, de “TOUT CE QUE JE PUIS VOUS DIre; vous me “détaillez exactem","(93940, 93969)","(79005, 450546)"
Lesuire_Crime_2,"es larmes: je voudrais donner JUSQU'À LA DERNIÈRE GOUTTE DE MON SANG, ma vie, et racheter votre bo","es liens; car je me défendrois “JUSQU'À LA DERNIÈRE GOUTTE DE MON SAng, “plutôt que de m'en laisse","(159914, 159952)","(79005, 450546)"
Loaisel_Ainsi_0,que je m'interrogeai sur tout CE QUE JE VENAIS DE VOIR ET d'entendre. Mademoiselle * n',"es années; je les comparois à CE QUE JE VENAIS DE VOIR, ET ces idées m'oppressaient. Mad","(89968, 89995)","(87895, 87923)"
Louvet_Annee_0,'est témoin que je répandrois JUSQU'À LA DERNIÈRE GOUTTE DE MON SANG POUR lui. Qu'il me prive de ses bi,iens; je jure que je verserai JUSQU'À LA DERNIÈRE GOUTTE DE MON SANG POUR chasser de la Pologne des étr,"(39936, 39979)","(323944, 323987)"
Louvet_Annee_1,"e porter, à moi qui voudrais, AU PRIX DE TOUT MON SANG, ACHETER le moindre de tes plaisirs? S","riminel; je voudrais pouvoir, AU PRIX DE TOUT MON SANG, ACHETER les pleurs que vous avez vers","(56895, 56928)","(323944, 323987)"
Louvet_Annee_2,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","l pas vrai?-mais, monsieur...-TOUT CE QUE JE PUIS VOUS DIRE, ma belle dame, c'est qu'à ce","(93940, 93969)","(323944, 323987)"
Louvet_Fin_0,"i dis-je, qu'avez-vous fait? éTAIT-CE-LÀ CE QUE VOUS M'AVIEZ PROMIS? Songez-vous que notre vie ne",-vous un père qui vous aime? ÉTOIT-CE LÀ CE QUE VOUS M'AVIEZ PROMIS? Étoit-ce ici que je devais r,"(231996, 232033)","(354664, 354701)"
Marmontel_Belisaire_0,"chère Agathe, je t'en conjure PAR TOUT CE QU'IL Y A DE PLUS SACRÉ, par notre amour, ne m'accomp","xe protégé, reprit Justinien, PAR TOUT CE QU'IL Y A DE PLUS INVIOLABLE parmi les hommes, la liberté,","(178973, 179008)","(158814, 158854)"
Marmontel_Contes_0," enfin se retira brusquement, LA PÂLEUR DE LA MORT SUR LE VISAGE, ET dans un état qui ne permettai","ambeaux, consumé de langueur, LA PÂLEUR DE LA MORT SUR LE VISAGE, ET le feu du désespoir dans les ","(75846, 75884)","(165226, 165264)"
Marmontel_Contes_1,"chagrin que tu me dissimules? AU NOM DE L'AMOUR LE PLUS TENDRE, le plus passionné, ne m'offr","ère? Je frémis: rassurez-moi, AU NOM DE L'AMOUR LE PLUS TENDRE. "" -vous lui répondîtes, sans","(83863, 83895)","(165226, 165264)"
Marmontel_Contes_2,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê",encore plus malheureux: c'est TOUT CE QUE JE PUIS VOUS DIRE. Ne vous offensez pas de mon ,"(93940, 93969)","(165226, 165264)"
Marmontel_Contes_3,: vous avez un cœur sensible. JE NE VOUS FERAI POINT L'ÉLOGE DE celle qui m'a captivé: jesero, vous éprouvez est accablant. JE NE VOUS FERAI POINT L'ÉLOGE DE la médiocrité. Quand on s'est,"(135414, 135447)","(165226, 165264)"
Marmontel_Incas_0," elle se jette dans mes bras, EN POUSSANT UN CRI LAMENTABLE, ET TOMBE à mes pieds, sans connaissanc","itaire lève les mains au ciel EN POUSSANT UN CRI LAMENTABLE, ET TOMBE oppressé de douleur. Bien-tôt","(255021, 255060)","(144820, 144859)"
Merard_Bergeries_0,e ne rien dire à ton père sur TOUT CE QUE JE VIENS DE TE révéler? Songe qu'il y va de ,"Marton; repasse en ton esprit TOUT CE QUE JE VIENS DE TE dire. 
marton, seule. 
Ah! po","(57948, 57974)","(100828, 100854)"
Mercier_An_0,"eul, que je m'interrogeai sur TOUT CE QUE JE VENAIS DE VOIR et d'entendre. Mademoiselle *",i avec plusieurs personnes de TOUT CE QUE JE VENAIS DE VOIR d'entendre : ils étaient surp,"(89963, 89992)","(286134, 286163)"
Mercier_Jezennemours_0,us sur-tout que j'ai aimé dès LE PREMIER INSTANT QUE JE VOUS AI vu: c'est cette tendre impres,"is cessé de vous aimer depuis LE PREMIER INSTANT QUE JE VOUS AI vue, j'ai traîné une vie horr","(172924, 172957)","(369349, 369382)"
Nerciat_Aphrodites_0,à me sacrifier ta vie; hélas! EST-CE LÀ LE PRIX DE TANT d'amour? Que j'étais pénétré ,"t faiblement. 
Barbare! l'oserAS-TU!... EST-CE LÀ LE PRix de tant de sacrifices arrac","(211473, 211498)","(604787, 604812)"
Nerciat_Felicia_0,e ne rien dire à ton père sur TOUT CE QUE JE VIENS DE TE révéler? Songe qu'il y va de ," persécuter. Si vous aviez su TOUT CE QUE JE VIENS DE VOUS révéler, auriez-vous eu la cr","(57948, 57974)","(421103, 421131)"
Nerciat_Felicia_1,bitre de mon sort! Quel trait POUR UN CŒUR TEL QUE LE MIEN! J'allai vingt fois jusqu'à s,"vanouit. 
---Quel coup mortel POUR UN CŒUR TEL QUE LE MIEN, dit milord Sydney sortant du","(81276, 81304)","(421103, 421131)"
Prevost_Manon_0,"era funeste à tous deux! Oui, MONSIEUR, AJOUTA-T-IL, EN SE TOURNANT DE mon côté, vous serez, n'en do","l'honneur de voir ici souvent MONSIEUR, AJOUTA-T-IL EN SE TOURNANT VERS moi ; faites bien votre profi","(139473, 139513)","(113357, 113398)"
Puget_Periphas_0,ce qui ne payait que trop les SERVICES QUE J'AVAIS EU LE BONHEUR DE LUI RENDRE; je me félicitais avec lui de,'était pas moins sensible aux SERVICES QUE J'AVAIS EU LE BONHEUR DE LUI RENDRE. Oubliant auprès de moi son r,"(219800, 219848)","(115883, 115931)"
Retif_Paysanne_0,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE mes yeux ne s'arrêtaient que "," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE si j'ai fait manquer le maria","(93940, 93980)","(18833, 18873)"
Retif_Paysanne_1,"ses anathêmes, et s'écrieroit DANS LE FOND DE MON CŒUR, SI j'étais assez lâche, assez pe","s il n'y a plus rien de caché DANS LE FOND DE MON CŒUR, SI ce n'est un trésor inépuisabl","(146870, 146898)","(18833, 18873)"
Retif_Paysanne_2,"ola mon sang, car je me défis DE TOUT CE QUE JE POSSÉDAIS; JE ne m'étais conservé qu'un hab","aire d'une séance. Ah Dieu !... DE TOUT CE QUE JE POSSÉDAIS, il ne me reste plus que le fon","(206087, 206118)","(18833, 18873)"
Riccoboni_LettresAdelaide_0,ouve! Je ne puis la soutenir: JE TOMBE SANS CONNAISSANCE AUX PIEDS DE mon oncle; ses domestiques mo,"e veux fuir, mon cœur se serre, JE TOMBE SANS CONNAISSANCE AUX PIEDS de M De Sancerre. Revenue d'un","(41891, 41930)","(82219, 82258)"
Rosny_Firmin_0,"e j'eusse obtenu un sentiment DE LA FEMME LA PLUS ADORABLE?-UN sentiment, monsieur... ayez p","dans ma chambre, je suis aimé DE LA FEMME LA PLUS ADORABLE, D'UN ange sans doute envoyé du cie","(12678, 12710)","(185349, 185383)"
Rousseau_Julie_0,"rsonne un fonds de tristesse, DONT JE NE POUVAIS DÉMÊLER LA CAUSE. Quelquefois il me semblait q","blait malgré moi. Cet effroi, DONT JE NE POUVAIS DÉMÊLER LA CAUSE, croissait à mesure que j’app","(84577, 84612)","(834612, 834647)"
Rousseau_Julie_1,"ut donc assez pénétrante pour LIRE AU FOND DE MON CŒUR, ET y saisir ces mouvement confus",ins point que son œil éclairé LISE AU FOND DE MON CŒUR ET quand un tendre souvenir y ve,"(208419, 208447)","(834612, 834647)"
Sade_120_0,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","(93940, 93969)","(428067, 428096)"
Sade_Aline_0,"ttre: "" vous avez donc résolu DE ME RENDRE LE PLUS MALHEUREUX DES HOMMES? Quoi! C'est vous que j'adore","s donne ceux de me retenir et DE ME RENDRE LE PLUS MALHEUREUX DES HOMMES! 
Huit jours se passèrent enc","(19871, 19913)","(707639, 707681)"
Sade_Aline_1,"amant, qui sans doute allait êTRE LE PLUS MALHEUREUX DES HOMMES! JE cherchais en vain à me rassur","lus cher au monde? Dussai je êTRE LE PLUS MALHEUREUX DES HOMMES, JE m’en croirais toujours le plu","(93698, 93735)","(707639, 707681)"
Sade_Aline_2,"te Laurence? ... mademoiselle,IL NE M'EST PAS POSSIBLE DE VOUS obéir; demandez ma vie: mais ","s plus maîtresse de mon cœur; IL NE M’EST PAS POSSIBLE DE VOUS le refuser. … Ensuite, pour g","(304768, 304800)","(707639, 707681)"
Sade_Philosophie_0," Je ne sais, réplique-t-elle, CE QUE JE DIS, NI CE QUE JE veux! Je sais... que je suis ","ors de moi... Je ne sais plus CE QUE JE DIS, NI CE QUE JE fais... quelle ivresse s'empa","(85222, 85249)","(34368, 34395)"
Sade_Philosophie_1,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","us ferez sera bienfait, c'est TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","(93940, 93969)","(34368, 34395)"
Segur_Correspondance_0,"es esprits. Il est nécessaire QUE JE VOUS FASSE LE PORTRAIT DE ma femme. Je vous l'avouerai,","Espagne! Mais il est plaisant QUE JE VOUS FASSE LE PORTRAIT DE la reine. 
Cette galerie est ","(5456, 5488)","(12585, 12617)"
Segur_Correspondance_1,"ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê",". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","(93940, 93969)","(12585, 12617)"
Senac_Emigre_0, ce monde entier; tu me tiens LIEU DE TOUT CE QUE J'AI PERDU; conserve-moi ton amour: le r,"ous seul me restez, et me teneZ LIEU DE TOUT CE QUE J'AI PERdu. J'ai peu vécu avec mon pèr","(162446, 162476)","(637229, 637259)"
Voisenon_Histoire_0,enté de remonter; j'éprouvais UNE ESPÈCE DE FRÉMISSEMENT DONT JE NE cherchais point à démêler la , assez obscur; je fus saisi d'UNE ESPÈCE DE FRÉMISSEMENT DONT JE NE pouvais me rendre raison à mo,"(88974, 89011)","(22206, 22243)"
