,Text in Segur_Correspondance,Text in B,Location in Segur_Correspondance,Location in B
Sade_120_0,". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","faire rouer, messieurs, c'est TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","(59642, 59671)","(428067, 428096)"
Sade_Aline_0,". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","sés à des collatéraux … c’est TOUT CE QUE JE PUIS VOUS DIRE, qui que ce fut que vous inte","(59642, 59671)","(273080, 273109)"
Sade_Aline_1,"mble. Adieu, ma très-aimable; JE NE VOUS EN DIRAI PAS DAVANTAGE aujourd'hui; je vous supplie ","ous m’arracheriez la vie, que JE NE VOUS EN DIRAIS PAS DAVANTAGE. Gardez mon or, si c’est lui ","(197249, 197282)","(273080, 273109)"
Sade_Aline_2,"strations; et après avoir été CONVAINCU DE LA VÉRITÉ DE CE QUE JE LUI disais, il a tiré des conséqu","la fin de notre entretien, si CONVAINCU DE LA VÉRITÉ DE CE QUE JE LUI annonçais, qu’il me donna vin","(238605, 238644)","(273080, 273109)"
Sade_Justine_0,aissant fort aise de me voir. JE FIS CE QUE JE PUS POUR qu'elle ne le témoignât que d,"le compagne dans les pleurs ; JE FIS CE QUE JE PUS POUR la calmer, mais il n'est pas ","(11143, 11168)","(374482, 374507)"
Sade_Philosophie_0,". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","us ferez sera bienfait, c'est TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","(59642, 59671)","(343588, 343617)"
Senac_Emigre_0,on; je lui fis voir la lettre QUE VOUS M'AVEZ FAIT L'HONNEUR DE M'ÉCRIRE; elle lui fit un vrai plaisir, la lettre noble et touchante QUE VOUS M'AVEZ FAIT L'HONNEUR DE M'ÉCRIRE. Je serais bien affligé si j',"(221246, 221288)","(206287, 206329)"
Senac_Emigre_1," dit: Pour Dieu! Monseigneur, VOTRE ALTESSE A LA BONTÉ D'ÊTRE TROP INSOLENTE. 
C'est Briole qui m'a écrit ","it trop vivement : pour dieu, VOTRE ALTESSE A LA BONTÉ D'ÊTRE TROP INSOLENTE . Je suis persuadée, mon cous","(302590, 302636)","(206287, 206329)"
Senac_Emigre_2,"hevée. Vous pouvez juger, par CE QUE JE VIENS DE VOUS DIRE, que, si je vous suis inconnu","nt insensibles. Que conclure dE CE QUE JE VIENS DE VOUS DIre, sinon, que rien n'est dura","(325385, 325413)","(206287, 206329)"
Senac_Emigre_3,"r de son âge. 
Ah! 
dit-elle, JE NE LAISSE AU MONDE QUE DES MOURANT. 
Ce mot est bien philosophiq","avec plus de vérité que Ninon : JE NE LAISSE AU MONDE QUE DES MOURAnt . 
LETTRE CXXIV. 
Le Comte ","(342976, 343013)","(206287, 206329)"
Senac_Emigre_4,"t je n'ai pas été plus touché DE LA PEINTURE QUE VOUS FAITES DE vos transports, que de l'empr","de réflexions sur les heureux, ET DE LA PEINTURE QUE VOUS ME FAITEs de votre âme, je vous dirai,","(556697, 556730)","(206287, 206329)"
Tiphaigne_Amilec_0,"s raisons sont si bonnes, que JE NE DOUTE PAS QUE JE NE l'obtienne. J'ai vu une lettr"," ce cornet. Mais de ce petit nOMBRE MÊME, JE NE DOUTE Pas que je ne fois encore oblig","(150136, 150161)","(29018, 29043)"
Voltaire_Candide_0,"adame; dites-vous souvent que JE VOUS AIME DE TOUT MON CŒUR. 
LETTRE XX. 
Madrid, 29 août"," en physique et en morale.--- JE VOUS AIME DE TOUT MON CŒUR, disait Cunégonde ; mais j'ai","(80630, 80659)","(42745, 42774)"
Voltaire_Micromegas_0,té; mais l'affaire est faite. IL SAIT BEAUCOUP DE CHOSES; IL EN ignore d'autres qu'il faut ig, plus cultivé que nous ayons; IL SAIT BEAUCOUP DE CHOSES: IL EN a inventé quelques-unes; il n,"(367103, 367136)","(1989, 2022)"
Voltaire_Princesse_0, elle trouvera un homme qui a DES CHOSES DE LA DERNIÈRE CONSÉQUENCE À LUI apprendre. Comme c'était préc,"la entrer au plus vite ; j'ai DES CHOSES DE LA DERNIÈRE CONSÉQUENCE À LUI dire, et je veux que vous y s","(535213, 535256)","(64271, 64314)"
